year,list1_annual_additional_duty,list2_annual_additional_duty,list3_annual_additional_duty,list4a_annual_additional_duty
2012,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0
2018,0.1226027397260274,0.08972602739726028,0.027123287671232878,0.0
2019,0.25,0.25,0.19698630136986303,0.05013698630136987
2020,0.25,0.25,0.25,0.08401639344262295
2021,0.25,0.25,0.25,0.075
2022,0.25,0.25,0.25,0.075
