test_id,hypothesis,outcome,expected_direction,alternative,multiplicity_family,estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,n_obs,n_countries,n_years,treatment,control_strategy,pvalue_for_fdr,qvalue_bh_full_reported_family,fdr_significant_0_05
H1_frozen_controls_x_year,H1 frozen-control sensitivity,Adverse forward-GVC deviation stability,positive,greater,full_reported_family,0.365274203882862,0.13919150004839223,2.6242565368996553,0.005284495520999787,0.08786594433811873,0.6426824634276054,0.01,999,999,814,74,11,s_tariff_weighted_us_diversion,frozen_pre_shock_controls_by_year,0.01,0.33,0
H2_frozen_controls_x_year,H2 frozen-control sensitivity,Log export recovery,positive,greater,full_reported_family,0.06406046298139959,0.031195497866473305,2.053516288010495,0.020759454390198953,0.0024901758834123683,0.1256307500793868,0.136,999,999,1925,175,11,s_tariff_weighted_us_diversion,frozen_pre_shock_controls_by_year,0.136,0.6411428571428572,0
H3_frozen_controls_x_year,H3 frozen-control sensitivity,Partner diversification excluding US and China,positive,greater,full_reported_family,-0.011945688670770498,0.008209923591517761,-1.4550304320873844,0.9262687416611746,-0.02814954458440054,0.004258167242859545,0.721,999,999,1925,175,11,s_tariff_weighted_us_diversion,frozen_pre_shock_controls_by_year,0.721,0.993,0
