tariff_list,expected_official_hts8_line_count,extracted_hts8_line_count_after_chapter_98_99_exclusion,difference_from_official_count,source_file,source_sha256,source_notice
list1,818,817,-1,ustr_2018_list1_notice.pdf,3e27dfb420dc308a079e7a71f2715fa29ed00fbbd84dbec4514f2cd66b9cf301,"83 FR 28710 (June 20, 2018)"
list2,279,279,0,ustr_2018_list2_notice.pdf,97a1883d0617b038e4b5bd2f6e36400168fcc27d67fe6562149cc85866c08729,"83 FR 40823 (August 16, 2018)"
list3,5733,5741,8,ustr_2018_list3_notice.pdf,1673a0954c3d0f50db8f275c9aafe4a6c576b487897d0821d7af128b25b19cdc,"83 FR 47974 (September 21, 2018), with later amendments"
list4a,3233,3233,0,ustr_2019_list4_original_notice.pdf,d0df1ca6ee0f9c08f31af519cab32ad2adb1607fd8a53880463bebb9136d939c,"84 FR 43304 (August 20, 2019), Annex A only"
