test_id,hypothesis,outcome,expected_direction,alternative,multiplicity_family,estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,n_obs,n_countries,n_years,treatment,pvalue_for_fdr,test_type,equivalence_bound_abs_sd,tost_p_lower,tost_p_upper,tost_pvalue,equivalent_within_bound_0_05,mde_80pct_power_abs_sd,gpr_sample,wald_chi2,df,n_country_clusters,n_entity_outcome_panels,n_year_outcome_fixed_effects,gpr_column,spec,exposure,threshold_eci_pre,test,threshold_type,group_dimension,target_group,reference_group,contrast,available_groups,control_strategy,qvalue_bh_full_reported_family,fdr_significant_0_05
H6_winsorized_ratio_tariff_weighted_H6a_beta_low_lt_0,H6 capability-conversion threshold,Winsorized export-recovery ratio,negative,less,full_reported_family,0.09981888661142793,0.05500953303378698,1.8145743311458207,0.9645453283896335,-0.008575721136843587,0.20821349435969944,0.755,999.0,999.0,2507,228.0,11.0,,0.755,,,,,,,,,,,,,,,winsorized_ratio_tariff_weighted,s_tariff_weighted_us_diversion,0.09166666666666667,H6a_beta_low_lt_0,pre_specified_pre_shock_median,,,,,,,0.993,0
H6_winsorized_ratio_tariff_weighted_H6b_beta_high_minus_low_gt_0,H6 capability-conversion threshold,Winsorized export-recovery ratio,positive,greater,full_reported_family,-0.23616176255891347,0.12506905972094035,-1.8882508838384817,0.9698662122895635,-0.4826065317150132,0.010283006597186256,0.934,999.0,999.0,2507,228.0,11.0,,0.934,,,,,,,,,,,,,,,winsorized_ratio_tariff_weighted,s_tariff_weighted_us_diversion,0.09166666666666667,H6b_beta_high_minus_low_gt_0,pre_specified_pre_shock_median,,,,,,,0.993,0
H6_exclude_microeconomies_log_H6a_beta_low_lt_0,H6 capability-conversion threshold,Log export recovery excluding bottom baseline-export decile,negative,less,full_reported_family,0.11291748894965162,0.04791168433449698,2.356783956107961,0.9903093134652657,0.018451894797553006,0.20738308310175024,0.835,999.0,999.0,2255,205.0,11.0,,0.835,,,,,,,,,,,,,,,exclude_microeconomies_log,s_tariff_weighted_us_diversion,0.09166666666666667,H6a_beta_low_lt_0,pre_specified_pre_shock_median,,,,,,,0.993,0
H6_exclude_microeconomies_log_H6b_beta_high_minus_low_gt_0,H6 capability-conversion threshold,Log export recovery excluding bottom baseline-export decile,positive,greater,full_reported_family,-0.25712724004050697,0.09961346889950629,-2.581249733406095,0.9947272650129285,-0.4535312207364666,-0.06072325934454731,0.972,999.0,999.0,2255,205.0,11.0,,0.972,,,,,,,,,,,,,,,exclude_microeconomies_log,s_tariff_weighted_us_diversion,0.09166666666666667,H6b_beta_high_minus_low_gt_0,pre_specified_pre_shock_median,,,,,,,0.993,0
H6_weighted_log_tariff_weighted_H6a_beta_low_lt_0,H6 capability-conversion threshold,Export-size-weighted log export recovery,negative,less,full_reported_family,0.10398564877765623,0.04148144854492198,2.5067988805898582,0.993558207653435,0.022247719079266523,0.18572357847604593,0.9,999.0,999.0,2507,228.0,11.0,,0.9,,,,,,,,,,,,,,,weighted_log_tariff_weighted,s_tariff_weighted_us_diversion,0.09166666666666667,H6a_beta_low_lt_0,pre_specified_pre_shock_median,,,,,,,0.993,0
H6_weighted_log_tariff_weighted_H6b_beta_high_minus_low_gt_0,H6 capability-conversion threshold,Export-size-weighted log export recovery,positive,greater,full_reported_family,-0.27160607523784247,0.0687025501924743,-3.95336234938764,0.9999485150492197,-0.40698235583352094,-0.13622979464216403,0.993,999.0,999.0,2507,228.0,11.0,,0.993,,,,,,,,,,,,,,,weighted_log_tariff_weighted,s_tariff_weighted_us_diversion,0.09166666666666667,H6b_beta_high_minus_low_gt_0,pre_specified_pre_shock_median,,,,,,,0.993,0
H6_covered_basket_log_H6a_beta_low_lt_0,H6 capability-conversion threshold,"Log export recovery, covered-US-basket sensitivity",negative,less,full_reported_family,0.041896329246012685,0.04606831976392444,0.9094390561824052,0.8179585008867616,-0.04887989034787988,0.13267254883990526,0.809,999.0,999.0,2507,228.0,11.0,,0.809,,,,,,,,,,,,,,,covered_basket_log,s_tariff_weighted_us_covered_basket,0.09166666666666667,H6a_beta_low_lt_0,pre_specified_pre_shock_median,,,,,,,0.993,0
H6_covered_basket_log_H6b_beta_high_minus_low_gt_0,H6 capability-conversion threshold,"Log export recovery, covered-US-basket sensitivity",positive,greater,full_reported_family,-0.03912747079047436,0.10666430112416982,-0.3668281737947673,0.6429555495629631,-0.24930622424392757,0.17105128266297887,0.646,999.0,999.0,2507,228.0,11.0,,0.646,,,,,,,,,,,,,,,covered_basket_log,s_tariff_weighted_us_covered_basket,0.09166666666666667,H6b_beta_high_minus_low_gt_0,pre_specified_pre_shock_median,,,,,,,0.993,0
H6_china_network_log_H6a_beta_low_lt_0,H6 capability-conversion threshold,"Log export recovery, China-network channel sensitivity",negative,less,full_reported_family,-0.021094501919518765,0.03534738863597891,-0.5967768124756856,0.27562555861700533,-0.09074545357855847,0.04855644973952093,0.278,999.0,999.0,2507,228.0,11.0,,0.278,,,,,,,,,,,,,,,china_network_log,s_tariff_weighted_china_network,0.09166666666666667,H6a_beta_low_lt_0,pre_specified_pre_shock_median,,,,,,,0.86075,0
H6_china_network_log_H6b_beta_high_minus_low_gt_0,H6 capability-conversion threshold,"Log export recovery, China-network channel sensitivity",positive,greater,full_reported_family,0.05448320961865187,0.09732226575476058,0.5598226592457523,0.28807619961097786,-0.1372873479532687,0.2462537671905724,0.308,999.0,999.0,2507,228.0,11.0,,0.308,,,,,,,,,,,,,,,china_network_log,s_tariff_weighted_china_network,0.09166666666666667,H6b_beta_high_minus_low_gt_0,pre_specified_pre_shock_median,,,,,,,0.86075,0
