test_id,hypothesis,outcome,test_type,treatment,multiplicity_family,equivalence_bound_abs_sd,tost_p_lower,tost_p_upper,tost_pvalue,equivalent_within_bound_0_05,mde_80pct_power_abs_sd,pvalue_for_fdr,n_obs,n_countries,qvalue_bh_full_reported_family,fdr_significant_0_05
H1_gvc_adverse_deviation_stability_equivalence_bound_0.10,H1 practical-equivalence diagnostic,Adverse forward-GVC deviation stability,cluster_tost_equivalence,s_tariff_weighted_us_diversion,full_reported_family,0.1,0.0011037141369141042,0.6205441793163275,0.6205441793163275,0,0.1984938973282434,0.6205441793163275,858,78,0.993,0
H1_gvc_adverse_deviation_stability_equivalence_bound_0.20,H1 practical-equivalence diagnostic,Adverse forward-GVC deviation stability,cluster_tost_equivalence,s_tariff_weighted_us_diversion,full_reported_family,0.2,8.264259827769888e-06,0.1327703851982715,0.1327703851982715,0,0.1984938973282434,0.1327703851982715,858,78,0.6411428571428572,0
H2_log_export_recovery_equivalence_bound_0.10,H2 practical-equivalence diagnostic,Log export recovery,cluster_tost_equivalence,s_tariff_weighted_us_diversion,full_reported_family,0.1,0.011479562849652618,0.3658331203163454,0.3658331203163454,0,0.21372365675577942,0.3658331203163454,2507,228,0.929076923076923,0
H2_log_export_recovery_equivalence_bound_0.20,H2 practical-equivalence diagnostic,Log export recovery,cluster_tost_equivalence,s_tariff_weighted_us_diversion,full_reported_family,0.2,0.00019103093116065194,0.04916424974034883,0.04916424974034883,1,0.21372365675577942,0.04916424974034883,2507,228,0.4714285714285715,0
H3_partner_diversification_excl_us_china_equivalence_bound_0.10,H3 practical-equivalence diagnostic,Partner diversification excluding US and China,cluster_tost_equivalence,s_tariff_weighted_us_diversion,full_reported_family,0.1,0.1118777501211591,0.003411970797053019,0.1118777501211591,0,0.14245566334482923,0.1118777501211591,2507,228,0.6411428571428572,0
H3_partner_diversification_excl_us_china_equivalence_bound_0.20,H3 practical-equivalence diagnostic,Partner diversification excluding US and China,cluster_tost_equivalence,s_tariff_weighted_us_diversion,full_reported_family,0.2,0.0007983135543940457,2.201724503594723e-06,0.0007983135543940457,1,0.14245566334482923,0.0007983135543940457,2507,228,0.05268869459000702,0
