dv,spec,coef_z_eci_pe,se,pvalue,n_obs,n_countries
DV1_GVC_Linkage_Change,OLS_FE_cluster,0.35190352067303227,0.4249759994718575,0.40763932671851133,679,76
DV1_GVC_Linkage_Change,RLM_Huber_FE,0.1765628662994401,0.1157676772590595,0.12722213362036203,679,76
DV1_GVC_Linkage_Change,Trimmed_5_95_FE_cluster,0.005277105635314777,0.08556572010740347,0.9508231397215713,611,76
DV2_Export_Recovery,OLS_FE_cluster,-0.1030868624149686,0.07736823487694293,0.18272272769443443,1729,180
DV2_Export_Recovery,RLM_Huber_FE,-0.08842395692062832,0.015276564532392864,7.114062340635657e-09,1729,180
DV2_Export_Recovery,Trimmed_5_95_FE_cluster,-0.056203934423371196,0.027030445386011032,0.03759138460378709,1555,179
DV3_Partner_Diversification,OLS_FE_cluster,0.0005757448508210013,0.012420918880851315,0.9630290252515152,1729,180
DV3_Partner_Diversification,RLM_Huber_FE,0.003991701951411102,0.00202799862081837,0.04903396849382873,1729,180
DV3_Partner_Diversification,Trimmed_5_95_FE_cluster,0.007283344650483442,0.00813057023956843,0.37036091508522295,1555,172
