dv,dv_column,cluster_label,effect_post_exposed_eci,se,pvalue,ci_low,ci_high,is_reference_cluster,n_obs,n_countries,years_min,years_max,delta_vs_reference_coef,delta_vs_reference_se,delta_vs_reference_pvalue
DV1_GVC_Linkage_Change,delta_tiva_fexgr_dva_share,C0,1.1185255865912747,0.24461563085529195,4.8174536619942875e-06,0.6390789501149025,1.597972223067647,True,679,76,2013,2021,,,
DV1_GVC_Linkage_Change,delta_tiva_fexgr_dva_share,C1,-0.736810675501379,0.3058701550997952,0.01600067308827831,-1.3363161794969776,-0.13730517150578048,False,679,76,2013,2021,-1.8553362620926537,0.3998481613188721,3.48237212826994e-06
DV2_Export_Recovery,export_recovery_index,C0,-0.09285227898818289,0.21747837823821686,0.669416130048279,-0.519109900335088,0.33340534235872216,True,1729,180,2012,2021,,,
DV2_Export_Recovery,export_recovery_index,C1,-0.11822874529521475,0.19233911194854192,0.5387600950378086,-0.49521340471435693,0.2587559141239274,False,1729,180,2012,2021,-0.025376466307031862,0.39267574930311056,0.9484729928210014
DV3_Partner_Diversification,partner_diversification_1_minus_hhi,C0,0.00556351582320083,0.02347758625333857,0.8126789996775418,-0.040452553233342764,0.05157958487974443,True,1729,180,2012,2021,,,
DV3_Partner_Diversification,partner_diversification_1_minus_hhi,C1,-0.00680357297266884,0.01323126856302495,0.6071092788644009,-0.032736859356197745,0.01912971341086006,False,1729,180,2012,2021,-0.01236708879586967,0.031876302721647994,0.6980373146343961
