dv,event_time,coef,se,pvalue,ci_low,ci_high,n_obs,n_countries
DV1_GVC_Linkage_Change,-6,,,,,,679,76
DV1_GVC_Linkage_Change,-5,-0.8092264603582006,1.3732209024267028,0.5556662074495986,-3.500739429114538,1.8822865083981366,679,76
DV1_GVC_Linkage_Change,-4,-1.1350398683317071,1.2393625605795575,0.3597584132224688,-3.5641904870676395,1.2941107504042255,679,76
DV1_GVC_Linkage_Change,-3,-0.0036394614409272913,1.5562605642820722,0.9981340737450306,-3.0539101674337887,3.046631244551934,679,76
DV1_GVC_Linkage_Change,-2,-0.7305708366085479,1.505026809896077,0.6273781076753544,-3.680423384004859,2.219281710787763,679,76
DV1_GVC_Linkage_Change,0,-1.5934725149279603,1.4408841803521615,0.26877019539665137,-4.417605508418196,1.2306604785622761,679,76
DV1_GVC_Linkage_Change,1,-0.3118578638148034,1.5670780006943847,0.8422580814926746,-3.3833307451757975,2.7596150175461904,679,76
DV1_GVC_Linkage_Change,2,-1.3922347489155988,1.5519414000522516,0.36966964346653375,-4.434039893018012,1.6495703951868144,679,76
DV1_GVC_Linkage_Change,3,-0.27779645881971393,1.580366573727373,0.8604669703328485,-3.375314943325365,2.8197220256859374,679,76
DV1_GVC_Linkage_Change,4,,,,,,679,76
DV2_Export_Recovery,-6,0.3480397327752762,0.41230963119041814,0.3986010966214555,-0.4600871443579433,1.1561666099084957,1729,180
DV2_Export_Recovery,-5,0.2626051625740966,0.4195180948964962,0.5313355245860585,-0.559650303423036,1.0848606285712292,1729,180
DV2_Export_Recovery,-4,0.1774727260563807,0.4213338597463061,0.6735970794449009,-0.6483416390463792,1.0032870911591407,1729,180
DV2_Export_Recovery,-3,0.2509416035916135,0.4573896239108504,0.5832534894799378,-0.6455420592736534,1.1474252664568803,1729,180
DV2_Export_Recovery,-2,0.28539067782615146,0.448670544774783,0.5247238189865259,-0.5940035899324232,1.1647849455847261,1729,180
DV2_Export_Recovery,0,0.19755101846295464,0.46634046299236825,0.6718431679894941,-0.7164762890020872,1.1115783259279963,1729,180
DV2_Export_Recovery,1,0.12781025968688672,0.4474442879967218,0.7751499720425735,-0.7491805447866879,1.0048010641604614,1729,180
DV2_Export_Recovery,2,0.12686750003394953,0.45203805486471577,0.778973737533732,-0.7591270875008933,1.0128620875687924,1729,180
DV2_Export_Recovery,3,0.12705083997822317,0.4798896174496099,0.7912019545818134,-0.8135328102230122,1.0676344901794586,1729,180
DV2_Export_Recovery,4,,,,,,1729,180
DV3_Partner_Diversification,-6,0.05585891247329386,0.054925302879023315,0.30915447355288306,-0.051794681169591836,0.16351250611617957,1729,180
DV3_Partner_Diversification,-5,0.07040724775471678,0.05002070951217912,0.15926081912832457,-0.027633342889154297,0.16844783839858785,1729,180
DV3_Partner_Diversification,-4,0.0749456511177269,0.0499502953299653,0.1335096378553575,-0.02295692772900508,0.17284822996445887,1729,180
DV3_Partner_Diversification,-3,0.06582985337794099,0.047155622428855445,0.1627106350771409,-0.02659516658261568,0.15825487333849766,1729,180
DV3_Partner_Diversification,-2,0.054885461634028895,0.04554669148477676,0.22818890698749728,-0.03438605367613355,0.14415697694419133,1729,180
DV3_Partner_Diversification,0,0.06964402336416314,0.04469104892252142,0.11915174815891441,-0.017950432523978835,0.1572384792523051,1729,180
DV3_Partner_Diversification,1,0.06453127818935796,0.04390796059278211,0.14164457471007405,-0.021528324572494983,0.1505908809512109,1729,180
DV3_Partner_Diversification,2,0.06690470732747945,0.04341675492249122,0.12331965615796837,-0.018192132320603335,0.15200154697556223,1729,180
DV3_Partner_Diversification,3,0.06356942372522054,0.04424394939788513,0.1507766469490725,-0.023148717094634327,0.1502875645450754,1729,180
DV3_Partner_Diversification,4,,,,,,1729,180
