sample,dv,coef_z_eci_pe,se,pvalue,n_obs,n_countries,year_min,year_max
full_sample,DV1_GVC_Linkage_Change,0.35190352067303227,0.4249759994718575,0.40763932671851133,679,76,2013,2021
full_sample,DV2_Export_Recovery,-0.1030868624149686,0.07736823487694293,0.18272272769443443,1729,180,2012,2021
full_sample,DV3_Partner_Diversification,0.0005757448508210013,0.012420918880851315,0.9630290252515152,1729,180,2012,2021
core_economies_excl_q1,DV1_GVC_Linkage_Change,0.35190352067303227,0.4249759994718575,0.40763932671851133,679,76,2013,2021
core_economies_excl_q1,DV2_Export_Recovery,-0.10000276824142741,0.061806970248773685,0.1056657693744134,1529,158,2012,2021
core_economies_excl_q1,DV3_Partner_Diversification,-0.001306197322709215,0.011781986512027375,0.9117242492727813,1529,158,2012,2021
