dv,eci_regime,coef_z_eci_pe,se,pvalue,n_obs,n_countries
DV1_GVC_Linkage_Change,low_eci,1.2507071073808966,0.5285274449658474,0.0179620478819122,226,28
DV1_GVC_Linkage_Change,mid_eci,0.5825289402585536,0.9842472802854428,0.5539495496697275,226,29
DV1_GVC_Linkage_Change,high_eci,-0.40164726050690674,0.6312256285938603,0.5245825639505195,227,29
DV2_Export_Recovery,mid_eci,0.05535005003810732,0.33804013811825945,0.8699373226095204,576,85
DV2_Export_Recovery,high_eci,0.09215487797851403,0.17266332545449295,0.593531230477232,577,68
DV2_Export_Recovery,low_eci,-0.5313205976308419,0.1799840491394054,0.003156792781546081,576,75
DV3_Partner_Diversification,mid_eci,-0.0074232175973763526,0.04384196085946816,0.865546797073068,576,85
DV3_Partner_Diversification,high_eci,0.0286484774280708,0.024015136775352566,0.23289515283177742,577,68
DV3_Partner_Diversification,low_eci,0.012050600390374033,0.050106301990602425,0.809942125502103,576,75
