country_iso3_code,pre_eci,pre_coi,pre_log_gdp_pc,pre_trade_open,pre_wgi,pre_rents,pre_tariff,pre_us_china_intensity,cluster,pc1,pc2,cluster_label,dv1_post_mean,dv1_pre_mean,dv1_change_post_minus_pre,dv2_post_mean,dv2_pre_mean,dv2_change_post_minus_pre,dv3_post_mean,dv3_pre_mean,dv3_change_post_minus_pre
ABW,0.7775,-0.18816666666666668,10.20600366294618,147.49417315646417,1.1874318444444445,0.0029421955344923166,9.937999999999999,0.4475506686847455,1,1.4914708765986973,2.2013810865210055,C1,,,,0.3836652510429196,2.026249207803404,-1.6425839567604843,0.7691451551018528,0.8590439986346396,-0.08989884353278688
AFG,-1.1355,-0.902,6.344663402816585,,-1.620635702777774,0.6035520361715639,5.47,0.112989740455886,0,-2.210496882314847,-1.2170068786315857,C0,,,,1.8500707174397455,0.9033875313920577,0.9466831860476878,0.6951426642862244,0.7213218040589086,-0.026179139772684157
AGO,-1.3419999999999999,-1.2181666666666666,8.186393368102179,62.75478529014425,-1.0854345361111093,24.39940425844375,8.838,0.4702183907848021,0,-3.0305927658015563,0.934802423600894,C0,0.2782499999999999,0.7213999999999998,-0.44314999999999993,1.090406751226385,1.583894007273017,-0.4934872560466319,0.6609336164019499,0.7447114709887187,-0.08377785458676879
AIA,0.9676666666666667,-0.18116666666666667,,,,,,0.5144204805249987,1,0.3095082532798132,1.4386038495099596,C1,,,,0.9770146234333179,0.7001994232469749,0.276815200186343,0.5079887251769828,0.7259621035410557,-0.21797337836407293
ALB,-0.37166666666666665,-0.2705,8.331957451299331,74.97024318204193,-0.14534936111111094,2.3526214989521397,1.0716666666666665,0.10813723774581659,1,0.08501583400110918,-1.1136950048175387,C1,,,,1.5130053525344995,1.0510947729901627,0.4619105795443368,0.7896496399136279,0.7645424207015,0.025107219212127885
AND,1.0168333333333333,0.46866666666666673,10.54132630147989,,1.4183335555555556,0.0,,0.0075082148144855,1,2.52056895028842,-0.5925424069370517,C1,,,,1.2088942329392747,2.0170988563807537,-0.808204623441479,0.8190169996523567,0.7062670939482544,0.11274990570410237
ANS,,,,,,,,0.0,1,0.24159349420422455,-1.2535874788690862,C1,,,,,,,,,
ARE,0.5958333333333333,0.14766666666666667,10.699022767025442,161.45152298853068,0.6589269138888889,19.958312519625533,3.485,0.1716374011784639,1,1.48245264065374,-0.1232132980834211,C1,-0.6717499999999994,-0.16000000000000023,-0.5117499999999992,1.6365825684666788,1.1700992611649115,0.46648330730176735,0.9507395238523154,0.944882988844067,0.0058565350082484535
ARG,0.327,0.23749999999999996,9.51796809459904,27.022830015763166,-0.1559441805555554,2.135645671955334,6.954999999999999,0.22967574386156,1,0.2493939609219216,0.2417470616404561,C1,0.016000000000000014,0.1544000000000004,-0.13840000000000038,1.2429321551808301,1.14668153213253,0.09625062304830001,0.9476596431639717,0.9382050701408552,0.009454573023116475
ARM,0.04016666666666667,-0.49366666666666664,8.143360166075654,77.37633490419019,-0.2144482638888887,0.6869836626978382,2.3850000000000002,0.1037333032830861,1,0.06974909875361304,-1.0145469875703201,C1,,,,2.1168788138444143,0.8883009416869343,1.22857787215748,0.8348742103026282,0.8943571302777761,-0.059482919975147874
ASM,0.7356666666666666,-0.24383333333333335,9.41245158699119,168.00779427435035,0.8843861305555555,0.0,,0.0,1,1.8959962656238978,-0.7777038374234048,C1,,,,0.6284809512683782,1.3620445150863698,-0.7335635638179916,0.8295926627087978,0.8338020950831017,-0.004209432374303823
ATA,1.0886666666666667,-0.3236666666666667,,,,,,0.0,1,0.7291533646472769,-1.219724834651417,C1,,,,1.0861432866508165,1.5127505239606565,-0.42660723730983996,0.786791291830009,0.6615781616249837,0.12521313020502522
ATF,0.387,-0.7173333333333334,,,,,,0.140026886326793,1,0.10862651998877164,-0.533589661496313,C1,,,,1.5909533416588313,0.900688307625877,0.6902650340329542,0.4000126580926602,0.3780012264602532,0.022011431632406986
ATG,0.36066666666666664,-0.24666666666666667,9.694585690293566,132.8269880992365,0.637255125,0.0,12.181666666666667,0.38489995213551725,1,0.6293309702380471,1.8921244465447462,C1,,,,0.7242481239061015,1.3360479860832548,-0.6117998621771533,0.793898702338136,0.683855938382968,0.11004276395516799
AUS,0.2568333333333333,-0.09249999999999999,10.946579550967622,41.793872901472746,1.5869149638888889,4.627647393704632,1.5883333333333332,0.36654466641764766,1,1.7120800359264257,0.889139017387903,C1,1.8880000000000008,-0.6234000000000002,2.511400000000001,1.522272736770946,1.1043416060366555,0.41793113073429056,0.8092119738895553,0.8386838065137057,-0.029471832624150318
AUT,1.4245,0.2755,10.696607943089171,104.26167474886716,1.4855256361111113,0.1694567743032855,1.8416666666666666,0.08637945461232592,1,2.9763833397037285,-0.36733933905389676,C1,-0.06350000000000033,0.3512,-0.41470000000000035,1.2387204207130276,1.0551139644314376,0.18360645628159,0.8928903537571865,0.8862945264930326,0.006595827264153864
AZE,-0.9633333333333334,-1.248,8.585507227554196,79.25054697049167,-0.6760239111111103,20.994422223987815,4.98,0.060275544627893606,0,-1.700355378527206,-1.3444369156870408,C0,,,,1.415744693995332,1.3953890828268518,0.02035561116848017,0.8030412596369199,0.885894704548686,-0.08285344491176616
BDI,-0.8966666666666666,-0.7271666666666667,5.55483038993643,,-1.247976680555553,17.646930282535667,6.082,0.1005692265587808,0,-2.7060307501756786,-1.5315671138723708,C0,,,,0.9599932925044381,1.1684170276487194,-0.20842373514428125,0.8126046392804521,0.6797155007721923,0.13288913850825979
BEL,1.1755,1.0573333333333332,10.614301807080388,159.59316534277966,1.2899539277777778,0.048896884083803514,1.8416666666666666,0.0903829733039886,1,3.338243243862013,-0.27603482802836377,C1,-0.3205,0.4509999999999998,-0.7714999999999999,1.3042358602784017,1.0745016726727903,0.22973418760561137,0.9114307662863913,0.916536511780803,-0.005105745494411673
BEN,-1.0353333333333332,-0.8253333333333334,6.904366802590474,58.737507005729775,-0.26942074444444425,4.006631432883075,12.298333333333332,0.3868031863114347,0,-2.1673117825597634,1.0816959506202903,C0,,,,1.5710944925500208,1.1071326762012212,0.4639618163487995,0.8232373546508085,0.8866606011905874,-0.06342324653977893
BES,0.6718333333333334,-0.758,,,,,,0.0024471579998479,1,0.34081370606740924,-1.2363840268194906,C1,,,,2.03529287269193,1.388322705253108,0.646970167438822,0.634438297484943,0.47760007415035277,0.1568382233345902
BFA,-1.312,-1.0771666666666666,6.447721023706862,60.0581926816049,-0.4567162833333329,11.670520913742749,7.938333333333333,0.0511027976891728,0,-2.323310718607079,-1.3095552269352813,C0,,,,1.919767295463632,1.007934206930709,0.9118330885329231,0.498889826712225,0.616710616544045,-0.11782078983182004
BGD,-0.8908333333333333,-1.0493333333333335,7.0873334404112756,40.390213797126734,-0.955606630555555,1.0133015091343687,11.8675,0.2735443648874374,0,-2.3628584026047212,0.39130582904571626,C0,0.0005000000000002086,0.010199999999999853,-0.009699999999999645,1.2740320039437756,0.8828754561722224,0.3911565477715532,0.9270583220810575,0.9200243045180901,0.0070340175629673984
BGR,0.6656666666666667,1.6133333333333333,8.879600199286097,127.180828072228,0.0331873166666667,0.9052266812802868,1.8416666666666666,0.0450697029393897,1,1.964558506541455,-1.0400289186083735,C1,0.3072499999999998,0.12180000000000035,0.18544999999999945,1.4191384663480133,1.0285561517990103,0.39058231454900305,0.942483237868353,0.9446589557470374,-0.0021757178786844245
BHR,0.5790000000000001,-0.4736666666666667,10.081292782568426,158.19294761574432,-0.19793244999999934,17.328466890707634,4.016666666666667,0.1326843463902821,1,0.6275842277309767,-0.48967899389189823,C1,,,,1.420521094016673,1.1566651793558675,0.2638559146608055,0.9196951105296615,0.8880916225295669,0.031603488000094604
BHS,0.5016666666666666,-0.4378333333333333,10.333141426404827,75.7603570776402,0.7512369222222222,0.015785106032619633,19.177500000000002,0.3367431975320754,1,0.12566135127293582,2.348927806114823,C1,,,,0.9578660312712257,1.578657754418846,-0.6207917231476203,0.7974331350273305,0.8557703109624911,-0.058337175935160634
BIH,0.41566666666666663,0.5943333333333333,8.427501254327863,89.96842197950387,-0.3083765166666664,1.4276207907717948,2.061666666666667,0.0176326778355894,1,0.886875874546222,-1.3983095896237676,C1,,,,1.4286454792102512,0.9910976346546608,0.43754784455559037,0.9122414249155661,0.9156966815258442,-0.0034552566102780125
BLM,0.718,-0.4194,,,,,,0.0,1,0.5103303889537614,-1.235300975582385,C1,,,,6.313429777044906,0.7072723694518018,5.606157407593104,0.22833128030087968,0.6750400145653501,-0.44670873426447044
BLR,0.9086666666666666,0.5055,8.702734093488298,126.340760456883,-0.6003764222222213,1.4106421383098133,2.186666666666667,0.0394857241820794,1,1.1704417986863198,-1.1999989892884684,C1,0.37849999999999984,0.45279999999999987,-0.07430000000000003,1.1117792082703308,1.1881460190923367,-0.07636681082200591,0.774215529808042,0.7277870758781275,0.04642845392991446
BLZ,-0.3535,-0.6016666666666667,8.698355115481851,104.20497261874283,-0.17222169166666643,1.839787961229862,9.868333333333334,0.3456807806300158,0,-0.6165723906196737,1.0713439701652443,C0,,,,0.7583331135290675,1.0671219514118782,-0.30878883788281064,0.8877309960787438,0.8470406871764357,0.04069030890230818
BMU,0.7636666666666666,-0.42883333333333334,11.5720310916245,74.16783226145068,1.0193070527777779,0.0,18.031666666666666,0.2914330399941181,1,0.9003343241452133,2.248032448479681,C1,,,,0.8087508861047019,0.8742019833881867,-0.06545109728348475,0.5995284276473056,0.6635853280507725,-0.0640569004034669
BOL,-1.256,-1.0828333333333333,7.981364746309542,70.22568838599626,-0.5829804027777775,7.825214535752665,4.696666666666666,0.1775280985556328,0,-1.5667788662814774,-0.6711031763466815,C0,,,,1.2508852406030084,1.273745894743441,-0.02286065414043259,0.9075772584672835,0.8483023726615114,0.059274885805772115
BRA,0.6516666666666667,0.5093333333333333,9.104637344842866,25.232113190041716,-0.06271535555555537,3.0751397315857347,8.416666666666666,0.3483768623059676,1,0.19592193905917762,0.9490262005861028,C1,0.5487500000000001,-0.6572000000000002,1.2059500000000003,1.3617355784723868,1.0917867688888159,0.2699488095835709,0.8859724460950161,0.9303834475826099,-0.044411001487593804
BRB,0.4748333333333334,0.29716666666666663,9.938310997294444,,1.0202798222222222,0.25412386028177475,11.315000000000001,0.4117735856399054,1,0.955131738415941,1.971198954770686,C1,,,,0.9158436827568577,1.2209706235937474,-0.30512694083688974,0.9323734424573678,0.8980239630847762,0.034349479372591585
BRN,0.30833333333333335,-0.871,10.344488853357378,96.89905878353882,0.6582656222222223,20.08397147804145,0.33,0.1550617847976029,1,0.7127417369654451,-0.7283700786115318,C1,-2.6472499999999988,3.5438,-6.191049999999999,1.7580001718127005,1.581259369883317,0.17674080192938346,0.8516144997791675,0.7885533080008099,0.06306119177835756
