country_iso3_code,year,design,incumbent_period,model_period,incumbent_partner_diversification,incumbent_partner_entropy,portfolio_reallocation,incumbent_retention_rate,continuing_export_share
ABW,2012,sensitivity_2012_2022,2012-2017,2012-2022,0.8771478903821928,2.4280531668193026,0.48866302280760987,0.6086956521739131,1.0
ABW,2013,sensitivity_2012_2022,2012-2017,2012-2022,0.9040044667142965,2.64495124092771,0.4537402708499976,0.5543478260869565,1.0
ABW,2014,sensitivity_2012_2022,2012-2017,2012-2022,0.8697416593563565,2.456280908311989,0.4030871127836671,0.6195652173913043,1.0
ABW,2015,sensitivity_2012_2022,2012-2017,2012-2022,0.8612118694047429,2.4105192875904145,0.30124465269292955,0.5108695652173914,1.0
ABW,2016,sensitivity_2012_2022,2012-2017,2012-2022,0.8027755400607377,2.1602367875794135,0.44356390230533305,0.5978260869565217,1.0
ABW,2017,sensitivity_2012_2022,2012-2017,2012-2022,0.8875593745650858,2.5586421401310515,0.3872703378058371,0.5869565217391305,1.0
ABW,2018,sensitivity_2012_2022,2012-2017,2012-2022,0.7278460471095605,1.7952670080350388,0.6439983927641321,0.5217391304347826,0.9991906463167443
ABW,2019,sensitivity_2012_2022,2012-2017,2012-2022,0.784841272195613,2.0787575522474966,0.7117430062798151,0.5,0.9982207865514334
ABW,2020,sensitivity_2012_2022,2012-2017,2012-2022,0.5839784995521651,1.577268699791205,0.7585776833418205,0.43478260869565216,0.9995163682911828
ABW,2021,sensitivity_2012_2022,2012-2017,2012-2022,0.6106361873487682,1.6654111078803384,0.7832510529851803,0.4673913043478261,0.9993832669436562
ABW,2022,sensitivity_2012_2022,2012-2017,2012-2022,0.8530073162302187,2.3055065718047243,0.8653948523714274,0.42391304347826086,0.9996797977753261
AFG,2012,sensitivity_2012_2022,2012-2017,2012-2022,0.7313865155454277,1.804656022071792,0.24896420131521926,0.6428571428571429,1.0
AFG,2013,sensitivity_2012_2022,2012-2017,2012-2022,0.7206091121105107,1.9050293457402343,0.08614474221692664,0.6984126984126984,1.0
AFG,2014,sensitivity_2012_2022,2012-2017,2012-2022,0.6565417256099592,1.6238416471660295,0.12429697524941634,0.7063492063492064,1.0
AFG,2015,sensitivity_2012_2022,2012-2017,2012-2022,0.6522170983439284,1.5538132146554013,0.13136000513317028,0.6825396825396826,1.0
AFG,2016,sensitivity_2012_2022,2012-2017,2012-2022,0.7260550716563732,1.7123234857472824,0.11282047241727468,0.7222222222222222,1.0
AFG,2017,sensitivity_2012_2022,2012-2017,2012-2022,0.6742043383020719,1.571001917418194,0.109472808359856,0.6904761904761905,1.0
AFG,2018,sensitivity_2012_2022,2012-2017,2012-2022,0.6639849442517833,1.589904829874461,0.1111505707052595,0.7777777777777778,0.9992736475170428
AFG,2019,sensitivity_2012_2022,2012-2017,2012-2022,0.7116345088647786,1.5596401136942601,0.2688282585561092,0.6904761904761905,0.9993475169141129
AFG,2020,sensitivity_2012_2022,2012-2017,2012-2022,0.7141928940022519,1.50858896379196,0.22227352542701898,0.6428571428571429,0.9998724552931327
AFG,2021,sensitivity_2012_2022,2012-2017,2012-2022,0.7280522561611973,1.6656289791926042,0.1647506244118314,0.6984126984126984,0.9997425266417905
AFG,2022,sensitivity_2012_2022,2012-2017,2012-2022,0.5316277874093425,1.2644373693939115,0.22906442941732674,0.6031746031746031,0.9996884024182633
AGO,2012,sensitivity_2012_2022,2012-2017,2012-2022,0.8983200438783674,2.6550042888205816,0.1662099937754746,0.4675324675324675,1.0
AGO,2013,sensitivity_2012_2022,2012-2017,2012-2022,0.9008548312603586,2.7397445825037146,0.1731977840744093,0.538961038961039,1.0
AGO,2014,sensitivity_2012_2022,2012-2017,2012-2022,0.9119964476325972,2.7457381329183956,0.14936390860440807,0.4805194805194805,1.0
AGO,2015,sensitivity_2012_2022,2012-2017,2012-2022,0.9193691036588051,2.8222581991060993,0.1594078403438099,0.7337662337662337,1.0
AGO,2016,sensitivity_2012_2022,2012-2017,2012-2022,0.9100167997747222,2.7850147774441307,0.15650320576458682,0.7662337662337663,1.0
AGO,2017,sensitivity_2012_2022,2012-2017,2012-2022,0.8794162379752245,2.698059644824288,0.21140175720918414,0.8376623376623377,1.0
