outcome_key,outcome,exposure_level,exposure_z,integration_level,integration_z,marginal_effect_per_eci_sd,se,p_cluster,bootstrap_ci_low_95,bootstrap_ci_high_95,equivalent_hhi_reduction
diversification,Partner diversification excluding US and China,low,-0.7869712830202916,low,-0.6574929040946631,0.015747213860957388,0.009235362599078936,0.08990100084198897,0.00037133923867101637,0.032409310955682086,0.015747213860957388
diversification,Partner diversification excluding US and China,low,-0.7869712830202916,median,-0.25046525355164084,0.006205773386503308,0.008203493070504041,0.450350785567196,-0.008834197498147215,0.02133619951564029,0.006205773386503308
diversification,Partner diversification excluding US and China,low,-0.7869712830202916,high,0.285572031207291,-0.00635987869583535,0.009650393708756306,0.510720035996023,-0.023974149329852756,0.011224244603614203,-0.00635987869583535
diversification,Partner diversification excluding US and China,median,-0.17388743963675996,low,-0.6574929040946631,0.005289746525705895,0.005482801738566907,0.3359449286659844,-0.004473376658500413,0.015033325476855743,0.005289746525705895
diversification,Partner diversification excluding US and China,median,-0.17388743963675996,median,-0.25046525355164084,0.001934704107559676,0.005108558858881875,0.7053434728818893,-0.007861676332394346,0.011544889922824889,0.001934704107559676
diversification,Partner diversification excluding US and China,median,-0.17388743963675996,high,0.285572031207291,-0.0024837373071079226,0.006887427694761412,0.7188071221586557,-0.015260440451205478,0.010292604273240549,-0.0024837373071079226
diversification,Partner diversification excluding US and China,high,0.5524588675299027,low,-0.6574929040946631,-0.007099656429942035,0.009194724949097142,0.4410414352507946,-0.022393053735134127,0.008798563691860802,-0.007099656429942035
diversification,Partner diversification excluding US and China,high,0.5524588675299027,median,-0.25046525355164084,-0.0031254119465392617,0.008370364959880071,0.709297458774089,-0.01718691777548305,0.010996690654027658,-0.0031254119465392617
diversification,Partner diversification excluding US and China,high,0.5524588675299027,high,0.285572031207291,0.0021084910057767824,0.008394274937228358,0.8019598943176345,-0.013243400033661907,0.016967565561715626,0.0021084910057767824
entropy,Destination entropy excluding US and China,low,-0.7869712830202916,low,-0.6574929040946631,0.0383007546204687,0.0258970368984891,0.14089813074603566,-0.00837326755176178,0.08405409877207697,
entropy,Destination entropy excluding US and China,low,-0.7869712830202916,median,-0.25046525355164084,0.0070329515700651,0.023515556915156936,0.7652266630260667,-0.03714793221968042,0.050452025981651896,
entropy,Destination entropy excluding US and China,low,-0.7869712830202916,high,0.285572031207291,-0.034145352226138063,0.029772834014220734,0.25296056080496415,-0.08975854566613826,0.02516007373383418,
entropy,Destination entropy excluding US and China,median,-0.17388743963675996,low,-0.6574929040946631,0.021838724257770187,0.020316019070087347,0.28383548214033977,-0.015879618100199833,0.056559191578439715,
entropy,Destination entropy excluding US and China,median,-0.17388743963675996,median,-0.25046525355164084,0.007975935464069822,0.018971455202558246,0.6746818093805355,-0.02514840299721167,0.040956166726642665,
entropy,Destination entropy excluding US and China,median,-0.17388743963675996,high,0.285572031207291,-0.010280739860684923,0.02394719573793642,0.6682119867484322,-0.052424679440229056,0.03397579502642076,
entropy,Destination entropy excluding US and China,high,0.5524588675299027,low,-0.6574929040946631,0.0023354620344148464,0.02435136053627761,0.9237012539147772,-0.04034313980620782,0.04794235677422657,
entropy,Destination entropy excluding US and China,high,0.5524588675299027,median,-0.25046525355164084,0.009093128286095459,0.022402096901140124,0.6852943431183918,-0.029640501450711187,0.04729706541944594,
entropy,Destination entropy excluding US and China,high,0.5524588675299027,high,0.285572031207291,0.01799267371998746,0.02386714221104272,0.4519135281262461,-0.024929697839612408,0.062257681365658235,
