country_iso3_code,pre_export_intensity,pre_import_intensity,pre_total_trade_intensity,pre_log_total_trade_openness,pre_wdi_total_openness,pre_real_gdp_usd,pre_total_minus_wdi_openness,pre_wdi_compatible_export_intensity,pre_wdi_compatible_import_intensity,pre_wdi_compatible_sum,in_primary_sample
KEN,7.7727902803399305,23.836135827737348,31.60892610807728,3.481932538719827,37.0624873801639,73025000668.10657,-5.4535612720866204,9.113847800104294,27.948639580059602,37.062487380163894,1
KGZ,17.14323466363304,114.96948352588909,132.11271818952216,4.8897626320412355,105.80086351509901,6981303682.314587,26.311854674423145,13.728950972399291,92.0719125426997,105.800863515099,1
KHM,50.508473748613305,70.58841611282912,121.09688986144243,4.8045466632388,121.98986790557835,26150361559.78628,-0.8929780441359156,50.88092722906134,71.10894067651701,121.98986790557835,1
KIR,55.25062050594067,74.2184328153676,129.46905332130828,4.866659341842538,107.240054738097,203174876.5444491,22.22899858321128,45.7644465250426,61.47560821305439,107.240054738097,1
KNA,7.514848545754706,37.47745541763752,44.99230396339223,3.8251307379932986,,983051384.9560503,,,,,0
KOR,32.632268240108154,25.099456677426787,57.73172491753494,4.071920058916141,72.82668013819473,1589930020449.3938,-15.094955220659791,41.16453760390432,31.662142534290407,72.82668013819473,1
KWT,34.3660000859557,25.338536165268312,59.704536251224006,4.100078567882777,97.56590242627306,114968288926.43071,-37.86136617504905,56.15904622488222,41.406856201390845,97.56590242627306,1
LAO,29.104920157833657,41.025544799458146,70.1304649572918,4.263571747246462,80.4451063120467,15456532082.777685,-10.314641354754897,33.38561062908108,47.05949568296562,80.4451063120467,1
LBN,5.561922885210602,36.383401900425426,41.945324785636025,3.759680932595865,69.33936322830677,50599417062.46,-27.39403844267074,9.1943546308531,60.14500859745367,69.33936322830677,1
LBR,36.010026683976996,275.1970375367499,311.20706422072686,5.741233382157464,,3219621822.3480473,,,,,0
LBY,23.414606574876483,20.66391784476811,44.078524419644594,3.8078076220007815,48.52134986210773,53430998547.35632,-4.442825442463139,25.774644965130854,22.746704896976883,48.52134986210774,1
LCA,5.262233883976177,82.7145559148771,87.97678979885326,4.470676158219724,,1870012942.1290963,,,,,0
LKA,11.496814180787899,20.709354469230703,32.206168650018604,3.502195233876336,46.84330587818823,89882141401.3511,-14.637137228169628,16.721914026710174,30.121391851478055,46.84330587818823,1
LSO,36.06090114496998,59.963869504626,96.024770649596,4.572605895999334,137.46826405137367,2390884818.156124,-41.44349340177767,51.624486546462514,85.84377750491113,137.46826405137364,1
LTU,52.1145629455537,60.175178537476334,112.28974148303003,4.728918637621002,139.26813925393432,42936637147.95401,-26.978397770904294,64.6354521223665,74.63268713156783,139.26813925393435,1
LUX,23.79433598875335,34.189304731693895,57.98364072044725,4.076648753748969,351.1211252395606,62342117783.73258,-293.1374845191134,144.08708944267906,207.03403579688154,351.12112523956057,1
LVA,40.21588907810406,70.6278595596787,110.84374863778275,4.716528253925447,126.14151205484966,27098815299.809128,-15.297763417066903,45.76616290305603,80.37534915179363,126.14151205484966,1
MAC,2.7164107579227483,24.49653772865244,27.212948486575186,3.333676367898193,115.86511070431901,46205835177.228874,-88.65216221774382,11.565715980405061,104.29939472391398,115.86511070431904,1
MAR,21.069454189739602,32.898525294840034,53.967979484579644,4.005677802180432,70.8615647285762,111084084855.9104,-16.893585243996554,27.664820994245396,43.19674373433079,70.86156472857618,1
MDA,27.028359907110367,52.84329200392411,79.87165191103448,4.390336811711738,88.86482981694574,8152763611.775548,-8.993177905911267,30.071627992017252,58.793201824928495,88.86482981694574,1
MDG,20.705599617478413,25.167231038182525,45.87283065566094,3.843948556437798,62.466159608980526,11778835030.517586,-16.593328953319585,28.195323288719717,34.270836320260806,62.46615960898052,1
MDV,6.059971299838691,36.441030972053184,42.50100227189188,3.7706510896354613,143.33760983839866,4408604951.011998,-100.83660756650679,20.43767806348032,122.89993177491833,143.33760983839863,1
MEX,31.866063350324435,30.31417402797682,62.18023737830125,4.145725088332227,74.35180137528151,1235335544149.627,-12.171563996980261,38.10373380244224,36.24806757283927,74.35180137528151,1
MHL,274.38952194966015,8840.42002513918,9114.809547088838,9.116771960426576,126.65381114854067,189000000.0000001,8988.155735940298,3.812748748573703,122.84106239996699,126.65381114854068,1
