excluded_region,estimate,se,p_cluster,n_obs,n_countries
East Asia & Pacific,0.016846870189429777,0.010528536346207772,0.11169126167406528,1650,150
Europe & Central Asia,0.02962208616951824,0.007741217463365944,0.00020158941429779565,1430,130
Latin America & Caribbean,0.02936354470406405,0.006823033875081034,2.976184928225526e-05,1705,155
"Middle East, North Africa, Afghanistan & Pakistan",0.024452020825949092,0.011579115474577049,0.036282251317457125,1749,159
North America,0.024821551822051036,0.0063838495067818505,0.0001424325851346575,1969,179
South Asia,0.025479242389616824,0.006336432532053199,8.61983855504022e-05,1925,175
Sub-Saharan Africa,0.011591047850369282,0.007525136947509557,0.12579126656065423,1518,138
