country_iso3_code,pre_established_destinations,pre_destination_entropy,pre_outside_us_china_share
ABW,52.0,2.3764660717669597,0.9075042496788337
AFG,88.0,1.6123795392736255,0.9704171315600587
AGO,120.0,2.768444207124839,0.4353500688841271
AIA,39.333333333333336,2.0536751705543623,0.7517326285944215
ALB,131.0,2.181666908173142,0.9021925309516721
AND,96.66666666666667,2.575076290904827,0.9262883195811666
ANS,,,
ARE,201.33333333333334,3.4962457921312406,0.922706647038074
ARG,183.66666666666666,3.6254097496983992,0.856598314650866
ARM,99.33333333333333,2.6084445325273338,0.8355977016507165
ASM,50.333333333333336,2.6655829768755184,1.0
ATA,16.333333333333332,1.6623418613175172,1.0
ATF,11.333333333333334,0.8241187146467959,0.9922218970694643
ATG,80.66666666666667,1.8092695693097482,0.9550432256285806
AUS,209.0,3.0698702970814007,0.6068727822800339
AUT,208.0,3.030320685753606,0.903751333137452
AZE,106.66666666666667,2.709881284161939,0.9599470947527008
BDI,62.0,2.1108662618721645,0.9401639921549498
BEL,214.33333333333334,3.079985242292859,0.9214295988109948
BEN,90.0,2.5693922434544763,0.930008659108636
BES,8.666666666666666,1.0493127858626876,1.0
BFA,89.66666666666667,1.7885960879882328,0.9855451135985229
BGD,179.33333333333334,3.195256729601406,0.8041895768161383
BGR,189.66666666666666,3.3819845497721643,0.9568665956896645
BHR,144.66666666666666,2.793132933663514,0.9017396849130167
BHS,97.66666666666667,2.4714638907831916,0.7350966681398694
BIH,140.0,2.9023060727655685,0.9793001033162124
BLM,16.333333333333332,1.580170530620735,1.0
BLR,153.0,2.170337023042747,0.9668357249340649
BLZ,104.0,2.8752432145056566,0.7166784140790808
BMU,53.333333333333336,1.251143511114731,0.8349464464018445
BOL,110.66666666666667,2.490398290145317,0.8361123155332183
BRA,209.0,3.952885449011024,0.6673789822894199
BRB,107.33333333333333,3.2841050202884787,0.7697401456671384
BRN,77.0,1.9777994260547536,0.9558546088211692
BTN,36.333333333333336,0.8025953031203947,0.9861749536392399
BVT,7.0,1.0985824758494933,1.0
BWA,81.0,2.121648750248866,0.9202619245333609
