estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,test_id,outcome_key,outcome,term,pvalue_for_fdr,n_obs,n_countries,n_years,moderator,moderator_label,family_component
0.06974781371825096,0.01734181575901031,4.021944108246681,8.48363569813966e-05,0.03552840833454395,0.10396721910195797,0.011,999,999,market_connectivity_alternative_diversification_destination_entropy,destination_entropy,Destination entropy excluding US and China,post_x_eci_x_exposure_x_openness,0.011,1991,181,11,openness,Pre-shock trade openness,alternative_diversification
0.042079189342090845,0.12071345057856737,0.3485874120937604,0.7278064626457963,-0.19611631209886196,0.2802746907830437,0.695,999,999,market_connectivity_alternative_diversification_effective_destinations,effective_destinations,Effective number of destinations excluding US and China,post_x_eci_x_exposure_x_openness,0.695,1991,181,11,openness,Pre-shock trade openness,alternative_diversification
-0.0007543368627688425,0.002025458007474991,-0.3724277965699353,0.7100124901259184,-0.004751033033955571,0.0032423593084178865,0.714,999,999,market_connectivity_alternative_diversification_new_destination_export_share,new_destination_export_share,Export share through new non-US/China destinations,post_x_eci_x_exposure_x_openness,0.714,1991,181,11,openness,Pre-shock trade openness,alternative_diversification
-0.003738950302704991,0.4944456218944246,-0.0075619039529150524,0.9939749053643789,-0.9793942917575625,0.9719163911521526,0.994,999,999,market_connectivity_alternative_diversification_persistent_new_destinations,persistent_new_destinations,Persistent new non-US/China destination count,post_x_eci_x_exposure_x_openness,0.994,1810,181,10,openness,Pre-shock trade openness,alternative_diversification
