country_iso3_code,year,design,incumbent_period,model_period,incumbent_partner_diversification,incumbent_partner_entropy,portfolio_reallocation,incumbent_retention_rate,continuing_export_share
ABW,2015,primary_2015_2022,2015-2017,2015-2022,0.8612118694047428,2.4105192875904153,0.2950330039990333,0.6351351351351351,1.0
ABW,2016,primary_2015_2022,2015-2017,2015-2022,0.8027755400607377,2.1602367875794135,0.40783465017346754,0.7432432432432432,1.0
ABW,2017,primary_2015_2022,2015-2017,2015-2022,0.8875593745650858,2.5586421401310515,0.271796409259095,0.7297297297297297,1.0
ABW,2018,primary_2015_2022,2015-2017,2015-2022,0.7274259670662779,1.789657380362712,0.749537481704948,0.6081081081081081,0.9984198935197611
ABW,2019,primary_2015_2022,2015-2017,2015-2022,0.7844921755754136,2.0733887529033406,0.8287544105474636,0.5945945945945946,0.9974110248998591
ABW,2020,primary_2015_2022,2015-2017,2015-2022,0.5796722888334691,1.5517556135390504,0.8359851806613154,0.5135135135135135,0.9943549868044065
ABW,2021,primary_2015_2022,2015-2017,2015-2022,0.6096042285400901,1.6559576033618353,0.8706268595159198,0.527027027027027,0.9980607337502857
ABW,2022,primary_2015_2022,2015-2017,2015-2022,0.8520014085576137,2.2904240978552375,0.9667465686383452,0.5135135135135135,0.9962365190487072
AFG,2015,primary_2015_2022,2015-2017,2015-2022,0.6522170983439284,1.5538132146554011,0.09470912345173771,0.7747747747747747,1.0
AFG,2016,primary_2015_2022,2015-2017,2015-2022,0.7260550716563733,1.712323485747282,0.1201355937187293,0.8198198198198198,1.0
AFG,2017,primary_2015_2022,2015-2017,2015-2022,0.6742043383020719,1.5710019174181933,0.057833450720486054,0.7837837837837838,1.0
AFG,2018,primary_2015_2022,2015-2017,2015-2022,0.6636407873195986,1.5853750719488158,0.06258080020664704,0.8018018018018018,0.9987622174988302
AFG,2019,primary_2015_2022,2015-2017,2015-2022,0.7111039896378222,1.5524527733337836,0.284419975000579,0.7207207207207207,0.9984290355865537
AFG,2020,primary_2015_2022,2015-2017,2015-2022,0.7140964068659963,1.507040562344678,0.232052864581253,0.6936936936936937,0.9997036985109227
AFG,2021,primary_2015_2022,2015-2017,2015-2022,0.7276502304041114,1.6599896607808065,0.1784108841501296,0.7567567567567568,0.9990039674488776
AFG,2022,primary_2015_2022,2015-2017,2015-2022,0.5311896835567811,1.2606953833813368,0.23418675962189156,0.6396396396396397,0.9992210155901476
AGO,2015,primary_2015_2022,2015-2017,2015-2022,0.9193691036588051,2.8222581991061,0.17045198774814263,0.7687074829931972,1.0
AGO,2016,primary_2015_2022,2015-2017,2015-2022,0.9100167997747222,2.7850147774441303,0.1023717487973719,0.8027210884353742,1.0
AGO,2017,primary_2015_2022,2015-2017,2015-2022,0.8794162379752245,2.698059644824288,0.17016046004044344,0.8775510204081632,1.0
AGO,2018,primary_2015_2022,2015-2017,2015-2022,0.8893128700843831,2.736140857125579,0.24188897735353826,0.7414965986394558,0.9999587875535386
AGO,2019,primary_2015_2022,2015-2017,2015-2022,0.885659808099425,2.734519789770863,0.30604954094981,0.7482993197278912,0.9966921184354793
AGO,2020,primary_2015_2022,2015-2017,2015-2022,0.9055326778597123,2.793873395462299,0.32694902567109674,0.7414965986394558,0.985391301656352
AGO,2021,primary_2015_2022,2015-2017,2015-2022,0.9134564763010878,2.918960830132133,0.41807911057081715,0.7278911564625851,0.9951337203601768
AGO,2022,primary_2015_2022,2015-2017,2015-2022,0.9132227140232788,2.792727072876349,0.3444342675004223,0.6870748299319728,0.9963926398039195
AIA,2015,primary_2015_2022,2015-2017,2015-2022,0.9159601477880233,2.868132559464865,0.738383979024146,0.5625,1.0
AIA,2016,primary_2015_2022,2015-2017,2015-2022,0.8444490558410108,2.503868109527202,0.9026334858443807,0.578125,1.0
AIA,2017,primary_2015_2022,2015-2017,2015-2022,0.24373549009881235,0.7890248426710202,0.4405118808994801,0.703125,1.0
AIA,2018,primary_2015_2022,2015-2017,2015-2022,0.2071999792280913,0.5818840761551288,0.47726170498607656,0.546875,0.9893565895026138
AIA,2019,primary_2015_2022,2015-2017,2015-2022,0.335982304983782,0.9347873338206257,1.1946183219344197,0.453125,0.6988745257632486
AIA,2020,primary_2015_2022,2015-2017,2015-2022,0.37105083933614724,0.9409252489340624,1.3310988220573763,0.34375,0.9893690421191587
AIA,2021,primary_2015_2022,2015-2017,2015-2022,0.3039975045018055,0.9008757712009672,1.3116656055134093,0.453125,0.9871402041952303
AIA,2022,primary_2015_2022,2015-2017,2015-2022,0.36353539279589264,1.0396683612729933,1.3022663418011649,0.390625,0.9277678939648213
ALB,2015,primary_2015_2022,2015-2017,2015-2022,0.7262310020083116,2.217788170224647,0.06375080488577956,0.8410596026490066,1.0
ALB,2016,primary_2015_2022,2015-2017,2015-2022,0.6994581148904505,2.154420660065477,0.037335344101092474,0.8675496688741722,1.0
ALB,2017,primary_2015_2022,2015-2017,2015-2022,0.6996969890991839,2.1727918942293023,0.05886910337508381,0.8940397350993378,1.0
ALB,2018,primary_2015_2022,2015-2017,2015-2022,0.7228058038417964,2.2062472237645347,0.08707202401643237,0.8344370860927153,0.9999006326324721
ALB,2019,primary_2015_2022,2015-2017,2015-2022,0.7493470247388209,2.325504019162193,0.10960626215118519,0.8609271523178808,0.9999068461469145
ALB,2020,primary_2015_2022,2015-2017,2015-2022,0.7498286474306616,2.3128916400702026,0.12440312335386261,0.8145695364238411,0.999854779286806
ALB,2021,primary_2015_2022,2015-2017,2015-2022,0.7598907949625624,2.3671666505408706,0.1365267384451392,0.8410596026490066,0.9994260082725822
ALB,2022,primary_2015_2022,2015-2017,2015-2022,0.8137379244824865,2.460062685195597,0.22457082844162018,0.7814569536423841,0.9997617635751527
AND,2015,primary_2015_2022,2015-2017,2015-2022,0.8199496384556667,2.5466144717324295,0.22836271974875763,0.71875,1.0
AND,2016,primary_2015_2022,2015-2017,2015-2022,0.8636508471652096,2.6743358120891347,0.19827082903701684,0.78125,1.0
AND,2017,primary_2015_2022,2015-2017,2015-2022,0.8327794322726905,2.5042785888929155,0.2493025457422836,0.765625,1.0
AND,2018,primary_2015_2022,2015-2017,2015-2022,0.7497789941124412,2.1629899350749646,0.3901796226150599,0.703125,0.9946977083811561
AND,2019,primary_2015_2022,2015-2017,2015-2022,0.7412489353061172,2.161403024356674,0.36624305863056733,0.671875,0.9924741534396924
AND,2020,primary_2015_2022,2015-2017,2015-2022,0.7791447765910103,2.3225852330686125,0.41403719574594894,0.65625,0.9898777139869701
AND,2021,primary_2015_2022,2015-2017,2015-2022,0.8321821896180572,2.528808788842238,0.41946444818429607,0.6953125,0.988756797254716
AND,2022,primary_2015_2022,2015-2017,2015-2022,0.8149423791221395,2.481530289121127,0.41228715456667764,0.6875,0.9883449000402537
ANS,2016,primary_2015_2022,2015-2017,2015-2022,,,,,
ANS,2020,primary_2015_2022,2015-2017,2015-2022,,,,,
ANS,2021,primary_2015_2022,2015-2017,2015-2022,,,,,
ANS,2022,primary_2015_2022,2015-2017,2015-2022,,,,,
ARE,2015,primary_2015_2022,2015-2017,2015-2022,0.946710852784203,3.4704165348432037,0.06710574464055631,0.9481132075471698,1.0
ARE,2016,primary_2015_2022,2015-2017,2015-2022,0.9474995497421124,3.477754279001137,0.066340342484465,0.9386792452830188,1.0
ARE,2017,primary_2015_2022,2015-2017,2015-2022,0.9521358506162718,3.5405665625493823,0.08278696204235785,0.9622641509433962,1.0
ARE,2018,primary_2015_2022,2015-2017,2015-2022,0.9513033679610887,3.561700152555486,0.1273749480003663,0.9622641509433962,0.9999990599252335
ARE,2019,primary_2015_2022,2015-2017,2015-2022,0.9478304679172211,3.5418162208867034,0.15486242634217395,0.9716981132075472,0.999974630415783
ARE,2020,primary_2015_2022,2015-2017,2015-2022,0.9493014143450358,3.559950726488288,0.21377659937082488,0.9575471698113207,0.9993359901084742
