country_iso3_code,year,indicator,value
AFE,2017,NV.IND.MANF.ZS,10.5726460213838
AFE,2016,NV.IND.MANF.ZS,10.5331716441802
AFE,2015,NV.IND.MANF.ZS,10.2441306960853
AFE,2014,NV.IND.MANF.ZS,9.93206964807728
AFE,2013,NV.IND.MANF.ZS,10.0741607297415
AFE,2012,NV.IND.MANF.ZS,10.5077235385771
AFW,2017,NV.IND.MANF.ZS,10.1256610799631
AFW,2016,NV.IND.MANF.ZS,10.0100555553058
AFW,2015,NV.IND.MANF.ZS,10.2514476169946
AFW,2014,NV.IND.MANF.ZS,10.4841379472421
AFW,2013,NV.IND.MANF.ZS,10.0463053926782
AFW,2012,NV.IND.MANF.ZS,8.80974856362803
ARB,2017,NV.IND.MANF.ZS,10.6374667606036
ARB,2016,NV.IND.MANF.ZS,10.9498650897006
ARB,2015,NV.IND.MANF.ZS,10.7245826434345
ARB,2014,NV.IND.MANF.ZS,9.89370654717061
ARB,2013,NV.IND.MANF.ZS,9.36350103066339
ARB,2012,NV.IND.MANF.ZS,9.27024754746887
CSS,2017,NV.IND.MANF.ZS,10.0296974676359
CSS,2016,NV.IND.MANF.ZS,10.0413389484803
CSS,2015,NV.IND.MANF.ZS,9.05256519595283
CSS,2014,NV.IND.MANF.ZS,9.9069867755365
CSS,2013,NV.IND.MANF.ZS,9.96925682616879
CSS,2012,NV.IND.MANF.ZS,11.6697404820427
CEB,2017,NV.IND.MANF.ZS,18.0881846743222
CEB,2016,NV.IND.MANF.ZS,18.7845180174361
CEB,2015,NV.IND.MANF.ZS,18.7163218522733
CEB,2014,NV.IND.MANF.ZS,18.4516078834701
CEB,2013,NV.IND.MANF.ZS,17.309048462297
CEB,2012,NV.IND.MANF.ZS,17.9188228120922
EAR,2017,NV.IND.MANF.ZS,16.9351189890366
EAR,2016,NV.IND.MANF.ZS,17.0768980715591
EAR,2015,NV.IND.MANF.ZS,17.1459613872578
EAR,2014,NV.IND.MANF.ZS,16.7136086006629
EAR,2013,NV.IND.MANF.ZS,16.5072061192392
EAR,2012,NV.IND.MANF.ZS,16.5809961819196
EAS,2017,NV.IND.MANF.ZS,23.7043783019205
EAS,2016,NV.IND.MANF.ZS,23.5009319081513
EAS,2015,NV.IND.MANF.ZS,23.9685668946526
EAS,2014,NV.IND.MANF.ZS,24.2442895430469
EAS,2013,NV.IND.MANF.ZS,23.9358334742465
EAS,2012,NV.IND.MANF.ZS,24.0122221647289
EAP,2017,NV.IND.MANF.ZS,26.5654226084453
EAP,2016,NV.IND.MANF.ZS,26.4868257499659
EAP,2015,NV.IND.MANF.ZS,27.2767915272976
EAP,2014,NV.IND.MANF.ZS,28.413252964579
EAP,2013,NV.IND.MANF.ZS,28.5705626200176
EAP,2012,NV.IND.MANF.ZS,29.2351375196249
TEA,2017,NV.IND.MANF.ZS,26.5741987553319
TEA,2016,NV.IND.MANF.ZS,26.4955103333809
TEA,2015,NV.IND.MANF.ZS,27.2857826614218
TEA,2014,NV.IND.MANF.ZS,28.4226360630622
TEA,2013,NV.IND.MANF.ZS,28.5799947194606
TEA,2012,NV.IND.MANF.ZS,29.2447193350418
EMU,2017,NV.IND.MANF.ZS,14.9933847876983
EMU,2016,NV.IND.MANF.ZS,15.0181705680704
EMU,2015,NV.IND.MANF.ZS,14.9591036460031
EMU,2014,NV.IND.MANF.ZS,14.3624220782035
EMU,2013,NV.IND.MANF.ZS,14.1714498838663
EMU,2012,NV.IND.MANF.ZS,14.2666454535341
ECS,2017,NV.IND.MANF.ZS,14.1867087381733
ECS,2016,NV.IND.MANF.ZS,14.2071493389353
ECS,2015,NV.IND.MANF.ZS,14.1190386364075
ECS,2014,NV.IND.MANF.ZS,13.6492142276415
ECS,2013,NV.IND.MANF.ZS,13.4558274004621
ECS,2012,NV.IND.MANF.ZS,13.5388458928543
ECA,2017,NV.IND.MANF.ZS,15.7461893829633
ECA,2016,NV.IND.MANF.ZS,15.9410125486302
ECA,2015,NV.IND.MANF.ZS,15.4866433577789
ECA,2014,NV.IND.MANF.ZS,15.3859848082692
ECA,2013,NV.IND.MANF.ZS,15.0103406701469
ECA,2012,NV.IND.MANF.ZS,14.9099241624768
TEC,2017,NV.IND.MANF.ZS,14.6734004068092
TEC,2016,NV.IND.MANF.ZS,14.8133958169614
TEC,2015,NV.IND.MANF.ZS,14.7737572843462
TEC,2014,NV.IND.MANF.ZS,14.0155984864302
TEC,2013,NV.IND.MANF.ZS,13.4240965271207
TEC,2012,NV.IND.MANF.ZS,13.7026567098921
EUU,2017,NV.IND.MANF.ZS,15.1873962194017
EUU,2016,NV.IND.MANF.ZS,15.2601459869414
EUU,2015,NV.IND.MANF.ZS,15.1936356344791
EUU,2014,NV.IND.MANF.ZS,14.6027260190265
EUU,2013,NV.IND.MANF.ZS,14.3536544381506
EUU,2012,NV.IND.MANF.ZS,14.4975616492626
HPC,2017,NV.IND.MANF.ZS,10.3298282157436
HPC,2016,NV.IND.MANF.ZS,10.6088063349306
