dv,coef_within,p_within,coef_between,p_between,sign_opposite,n_obs,n_countries
H1_DV1_Stability,0.4377056798827893,0.37155858474494663,-0.20509197499633486,0.18106928931820143,1,679,76
H2_DV2_ExportRecovery,0.24577528561122605,0.4730794117230095,-0.1521397057483494,0.04792846709556517,1,1729,180
H3_DV3_Diversification,0.0132199341358595,0.5719325351128622,-0.0020016579484844216,0.8713371150372033,1,1729,180
