analysis,outcome_key,outcome,entity,post_start,estimate,se,p_wild_bootstrap,n_obs,n_countries
regime_slope,diversification,Partner diversification excluding US and China,regime_R1,2019,-0.016407718177416195,0.011122361893023153,0.498,2222,202
regime_slope,diversification,Partner diversification excluding US and China,regime_R2,2019,0.0243301985079672,0.019067150303068946,0.275,2222,202
regime_difference,gvc,Adverse forward-GVC deviation stability,R2_minus_R1,2019,-0.33530976018319175,0.29667616103772154,0.301,847,77
regime_difference,gvc,Adverse forward-GVC deviation stability,regime_omnibus,2019,,,0.301,847,77
regime_difference,recovery,Log export recovery,R2_minus_R1,2019,-0.15969932365995473,0.12162638990779073,0.254,2222,202
regime_difference,recovery,Log export recovery,regime_omnibus,2019,,,0.254,2222,202
regime_difference,diversification,Partner diversification excluding US and China,R2_minus_R1,2019,0.040737916685383395,0.02207403802568053,0.121,2222,202
regime_difference,diversification,Partner diversification excluding US and China,regime_omnibus,2019,,,0.121,2222,202
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_log_real_gdp_pc,2018,-0.2693677546800636,0.1918177957277619,0.239,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_real_gdp_pc_growth_mean,2018,0.4836165444707452,0.1917575253326627,0.076,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_real_gdp_pc_growth_slope,2018,-0.1426908805698779,0.4712264404328196,0.796,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_real_gdp_pc_growth_volatility,2018,-0.7250845262789083,0.4744276513759343,0.165,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_manufacturing_value_added_share,2018,0.0695251673599967,0.1304283726375691,0.627,836,76
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_trade_openness,2018,-0.1784083326051279,0.3135182205161774,0.572,814,74
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_resource_rents,2018,0.0753471383355341,0.3605763651092378,0.833,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_institutional_quality,2018,-0.2481643819135081,0.1603108126341078,0.17,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_export_concentration,2018,-0.3431201203383731,0.3659517999832418,0.465,847,77
continuous_moderator,gvc,Adverse forward-GVC deviation stability,z_pre_log_population,2018,0.0496748640138666,0.3440731069649876,0.896,847,77
continuous_moderator,recovery,Log export recovery,z_pre_log_real_gdp_pc,2018,0.017465387620477,0.0366156550666295,0.679,2222,202
continuous_moderator,recovery,Log export recovery,z_pre_real_gdp_pc_growth_mean,2018,-0.058264540111736,0.0259172696600371,0.069,2222,202
continuous_moderator,recovery,Log export recovery,z_pre_real_gdp_pc_growth_slope,2018,-0.0088845581254,0.0114573408021876,0.462,2222,202
continuous_moderator,recovery,Log export recovery,z_pre_real_gdp_pc_growth_volatility,2018,0.0503973204751028,0.0202507709637274,0.036,2222,202
continuous_moderator,recovery,Log export recovery,z_pre_manufacturing_value_added_share,2018,-0.0377945418993897,0.0277945270522571,0.445,2079,189
