test_id,test_type,estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,pvalue_for_fdr,n_obs,n_countries,n_years,outcome_key,outcome,regime,post_start
regime_slope_2018_gvc_R1,regime_specific_slope,0.25593228628504,0.24064652200080106,1.0635195728454703,0.2909139383680604,-0.22335680019020754,0.7352213727602875,0.37,999,999,0.37,847,77,11,gvc,Adverse forward-GVC deviation stability,R1,2018
regime_slope_2018_gvc_R2,regime_specific_slope,-0.09282579900756482,0.284518803745692,-0.3262554101363866,0.7451278305326954,-0.6594941073567253,0.47384250934159566,0.756,999,999,0.756,847,77,11,gvc,Adverse forward-GVC deviation stability,R2,2018
regime_slope_2018_recovery_R1,regime_specific_slope,0.02847901982007655,0.032392705571826774,0.8791800288780413,0.38035351078934354,-0.035394099579822834,0.09235213921997593,0.566,999,999,0.566,2222,202,11,recovery,Log export recovery,R1,2018
regime_slope_2018_recovery_R2,regime_specific_slope,-0.10514205392497541,0.10705991319349306,-0.9820861122402422,0.3272380537013871,-0.3162466991725877,0.10596259132263686,0.433,999,999,0.433,2222,202,11,recovery,Log export recovery,R2,2018
regime_slope_2018_diversification_R1,regime_specific_slope,-0.018030173846911007,0.012780371052835533,-1.4107707649779635,0.15985802310600572,-0.04323097605908465,0.007170628365262638,0.516,999,999,0.516,2222,202,11,diversification,Partner diversification excluding US and China,R1,2018
regime_slope_2018_diversification_R2,regime_specific_slope,0.025450044553201056,0.017428265336773607,1.460274104244988,0.14577602468728185,-0.008915645287695114,0.05981573439409722,0.224,999,999,0.224,2222,202,11,diversification,Partner diversification excluding US and China,R2,2018
