estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,pvalue_for_fdr,n_obs,n_countries,n_years,placebo_start,outcome_key,outcome,actual_estimate_2018,actual_p_wild_2018,magnitude_ratio_to_actual,test_id
-0.03131434881019971,0.30842322434015806,-0.10153045017019637,0.9193967776904304,-0.645592436906784,0.5829637392863847,0.918,999,999,0.918,462,77,6,2014,gvc,Adverse forward-GVC deviation stability,0.23079135951473873,0.372,0.13568250074890661,placebo_2014_gvc
-0.006531014037558977,0.03179117440116069,-0.205434815183189,0.8374403272532325,-0.06921801231517294,0.05615598424005499,0.853,999,999,0.853,1212,202,6,2014,recovery,Log export recovery,-0.052508028999043645,0.398,0.12438124534588661,placebo_2014_recovery
-0.0080424239886782,0.008973275179592309,-0.8962640538394364,0.37118389935623636,-0.025736255573179913,0.009651407595823511,0.513,999,999,0.513,1212,202,6,2014,diversification,Partner diversification excluding US and China,-0.013137820287150031,0.459,0.6121581672527835,placebo_2014_diversification
0.16489683498768595,0.31924293834889905,0.5165246123861665,0.6069878161849688,-0.47093058114429653,0.8007242511196684,0.597,999,999,0.597,462,77,6,2015,gvc,Adverse forward-GVC deviation stability,0.23079135951473873,0.372,0.7144844388212694,placebo_2015_gvc
0.026980313015864194,0.023958139976903478,1.1261438927176401,0.2614473757011601,-0.020261222025136052,0.07422184805686444,0.222,999,999,0.222,1212,202,6,2015,recovery,Log export recovery,-0.052508028999043645,0.398,0.5138321420588002,placebo_2015_recovery
-0.011356290987931722,0.00927419192739255,-1.2245046335939436,0.22219512254280838,-0.029643481201247414,0.0069308992253839675,0.431,999,999,0.431,1212,202,6,2015,diversification,Partner diversification excluding US and China,-0.013137820287150031,0.459,0.8643968892647432,placebo_2015_diversification
