test_id,hypothesis,outcome,expected_direction,alternative,multiplicity_family,estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,n_obs,n_countries,n_years,treatment,pvalue_for_fdr,test_type,equivalence_bound_abs_sd,tost_p_lower,tost_p_upper,tost_pvalue,equivalent_within_bound_0_05,mde_80pct_power_abs_sd,gpr_sample,wald_chi2,df,n_country_clusters,n_entity_outcome_panels,n_year_outcome_fixed_effects,gpr_column,spec,exposure,threshold_eci_pre,test,threshold_type,group_dimension,target_group,reference_group,contrast,available_groups,control_strategy,qvalue_bh_full_reported_family,fdr_significant_0_05,qvalue_final_confirmatory_family
H1_gvc_adverse_deviation_stability,H1,Adverse forward-GVC deviation stability,positive,greater,final_confirmatory_family,0.1434462673777329,0.0825565025051424,1.7375526218397843,0.0431439190782014,-0.020944731103524,0.30783726585899,0.05,999.0,999.0,858,78.0,11.0,s_tariff_weighted_us_diversion,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.4714285714285715,0,0.35000000000000003
H2_log_export_recovery,H2,Log export recovery,positive,greater,final_confirmatory_family,0.036835988878521,0.0378515425778459,0.9731700842248042,0.1657523178713696,-0.0377493217779535,0.1114212995349957,0.298,999.0,999.0,2507,228.0,11.0,s_tariff_weighted_us_diversion,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,0.86075,0,0.5215
H3_partner_diversification_excl_us_china,H3,Partner diversification excluding US and China,positive,greater,final_confirmatory_family,-0.0064064371382462,0.0084832129000971,-0.7551899514596532,0.7745410747470907,-0.0231223495272194,0.0103094752507269,0.629,999.0,999.0,2507,228.0,11.0,s_tariff_weighted_us_diversion,0.629,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0,0.8806
H4_gvc_adverse_deviation_stability,H4,Adverse forward-GVC deviation stability,positive,greater,final_confirmatory_family,-0.1607849694754699,0.0871656984884856,-1.8445899277306796,0.9655284996828748,-0.3343540497177656,0.0127841107668257,0.952,999.0,999.0,858,78.0,11.0,s_tariff_weighted_us_diversion,0.952,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0,0.952
H4_log_export_recovery,H4,Log export recovery,positive,greater,final_confirmatory_family,-0.0525472191465279,0.0312730261283573,-1.6802729269259915,0.9528601028735963,-0.114169763700809,0.0090753254077531,0.925,999.0,999.0,2507,228.0,11.0,s_tariff_weighted_us_diversion,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,0,0.952
H4_partner_diversification_excl_us_china,H4,Partner diversification excluding US and China,positive,greater,final_confirmatory_family,0.0044183015372043,0.0064241623333849,0.6877630588883914,0.2461520744645424,-0.0082403144850545,0.0170769175594633,0.279,999.0,999.0,2507,228.0,11.0,s_tariff_weighted_us_diversion,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,0.86075,0,0.5215
H4_omnibus,H4,H4 outcome-specific interactions jointly equal zero,,,final_confirmatory_family,,,,0.1273725198039622,,,,,,5872,,,,0.1273725198039622,stacked_country_clustered_wald,,,,,,,,5.696035270258174,3.0,228.0,534.0,33.0,,,,,,,,,,,,,0.6411428571428572,0,0.4458038193138677
