outcome_key,outcome,regime_left,regime_right,n_countries_used,n_country_year_observations,effective_number_of_clusters,contrast_estimate,contrast_se,mde_80pct,mde_90pct
gvc,Adverse forward-GVC deviation stability,R2,R1,76,836,76,-0.39096582473212976,0.3824914324078671,1.0709760107420279,1.2392722410014894
recovery,Log export recovery,R2,R1,200,2200,200,-0.16912049539193766,0.11449082712765744,0.32057431595744085,0.3709502798936101
diversification,Partner diversification excluding US and China,R2,R1,200,2200,200,0.04431065965342388,0.021385878588445668,0.05988046004764787,0.06929024662656397
