outcome_key,regime,excluded_country,estimate,p_cluster
gvc,R1,ABW,0.25593228628504,0.2909139383680604
gvc,R1,AFG,0.25593228628504,0.2909139383680604
gvc,R1,AGO,0.4096678561091779,0.06828366357917147
gvc,R1,ALB,0.25593228628504,0.2909139383680604
gvc,R1,AND,0.25593228628504,0.2909139383680604
gvc,R1,ARE,0.2559322862850367,0.2911109291327309
gvc,R1,ARG,0.25798615003730974,0.2860006007718579
gvc,R1,ARM,0.25593228628504,0.2909139383680604
gvc,R1,ASM,0.25593228628504,0.2909139383680604
gvc,R1,ATG,0.25593228628504,0.2909139383680604
gvc,R1,AUS,0.25593228628503195,0.2911109291327337
gvc,R1,AUT,0.25593228628504017,0.29111092913272596
gvc,R1,AZE,0.25593228628504,0.2909139383680604
gvc,R1,BDI,0.25593228628504,0.2909139383680604
gvc,R1,BEL,0.2559322862850296,0.2911109291327365
gvc,R1,BEN,0.25593228628504,0.2909139383680604
gvc,R1,BFA,0.25593228628504,0.2909139383680604
gvc,R1,BGD,0.2567171366723304,0.2892779275031253
gvc,R1,BGR,0.25593228628502557,0.2911109291327377
gvc,R1,BHR,0.25593228628504,0.2909139383680604
gvc,R1,BHS,0.25593228628504,0.2909139383680604
gvc,R1,BIH,0.25593228628504,0.2909139383680604
gvc,R1,BLR,0.2852298266407272,0.24269225154862784
gvc,R1,BLZ,0.25593228628504,0.2909139383680604
gvc,R1,BMU,0.25593228628504,0.2909139383680604
gvc,R1,BOL,0.25593228628504,0.2909139383680604
gvc,R1,BRA,0.2550629381325042,0.292905897388685
gvc,R1,BRB,0.25593228628504,0.2909139383680604
gvc,R1,BRN,0.25593228628503406,0.2911109291327357
gvc,R1,BTN,0.25593228628504,0.2909139383680604
gvc,R1,BWA,0.25593228628504,0.2909139383680604
gvc,R1,CAF,0.25593228628504,0.2909139383680604
gvc,R1,CAN,0.2559322862850288,0.2911109291327384
gvc,R1,CHE,0.2559322862850219,0.29111092913274195
gvc,R1,CHL,0.25593228628503195,0.2911109291327336
gvc,R1,CIV,0.05946176266956517,0.7711976341204171
gvc,R1,CMR,0.2543212921731537,0.3015550615439444
gvc,R1,COD,0.3005898097070516,0.22341475017729284
