estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,pvalue_for_fdr,n_obs,n_countries,n_years,test_id,analysis,outcome_key,outcome,entity,moderator,moderator_label,post_start
0.032136849118617965,0.016093408595018382,1.9968951219299642,0.04718562364242821,0.00040327853243596334,0.06387041970479997,0.066,999,999,0.066,2222,202,11,post_continuous_2019_recovery_pre_export_concentration,continuous_moderator,recovery,Log export recovery,z_pre_export_concentration,z_pre_export_concentration,Export concentration,2019
0.11446631054649804,0.06366714244002496,1.7978867302600612,0.07369571389923682,-0.011074885199096482,0.24000750629209255,0.07,999,999,0.07,2222,202,11,post_continuous_2019_recovery_pre_log_population,continuous_moderator,recovery,Log export recovery,z_pre_log_population,z_pre_log_population,Log population,2019
0.016012615297423732,0.007740096771741275,2.068787480265754,0.03984554078741996,0.0007504099168953535,0.03127482067795211,0.101,999,999,0.101,2222,202,11,post_continuous_2019_diversification_pre_log_real_gdp_pc,continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_log_real_gdp_pc,z_pre_log_real_gdp_pc,Log real GDP per capita,2019
-0.0046836759910227396,0.011234624301968062,-0.4168965392284868,0.6771989756980742,-0.026836518329599553,0.017469166347554077,0.783,999,999,0.783,2222,202,11,post_continuous_2019_diversification_pre_real_gdp_pc_growth_mean,continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_real_gdp_pc_growth_mean,z_pre_real_gdp_pc_growth_mean,Mean real GDP-per-capita growth,2019
0.0023542749734834115,0.0035459761010268845,0.6639286070770848,0.5074968492519281,-0.004637810154690305,0.009346360101657127,0.645,999,999,0.645,2222,202,11,post_continuous_2019_diversification_pre_real_gdp_pc_growth_slope,continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_real_gdp_pc_growth_slope,z_pre_real_gdp_pc_growth_slope,Real GDP-per-capita growth trend,2019
-0.008393852842964619,0.004635121517799583,-1.8109240093773005,0.07164566390725229,-0.017533554665122707,0.000745848979193468,0.565,999,999,0.565,2222,202,11,post_continuous_2019_diversification_pre_real_gdp_pc_growth_volatility,continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_real_gdp_pc_growth_volatility,z_pre_real_gdp_pc_growth_volatility,GDP-per-capita growth volatility,2019
0.003841566303440052,0.008510777857185285,0.4513766388811079,0.6522383627988756,-0.012947327658574224,0.02063046026545433,0.857,999,999,0.857,2079,189,11,post_continuous_2019_diversification_pre_manufacturing_value_added_share,continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_manufacturing_value_added_share,z_pre_manufacturing_value_added_share,Manufacturing value-added share,2019
0.026372509752265794,0.005985950558077119,4.405734644212881,1.811849890783714e-05,0.014560400989305815,0.03818461851522577,0.01,999,999,0.01,1980,180,11,post_continuous_2019_diversification_pre_trade_openness,continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_trade_openness,z_pre_trade_openness,Trade openness,2019
-0.022667236573505254,0.010405167418108393,-2.1784595732747993,0.030535328193901666,-0.043184525547687716,-0.0021499475993227955,0.129,999,999,0.129,2222,202,11,post_continuous_2019_diversification_pre_resource_rents,continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_resource_rents,z_pre_resource_rents,Natural-resource-rent dependence,2019
0.011846865961301046,0.005494047091207511,2.1563095045654728,0.03228389050156457,0.0010114840301619858,0.022682247892440104,0.304,999,999,0.304,2156,196,11,post_continuous_2019_diversification_pre_institutional_quality,continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_institutional_quality,z_pre_institutional_quality,Institutional quality,2019
-0.0022666883581931715,0.003628897090906374,-0.6246218345164014,0.5329276614115992,-0.009422280121389588,0.0048889034050032445,0.616,999,999,0.616,2222,202,11,post_continuous_2019_diversification_pre_export_concentration,continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_export_concentration,z_pre_export_concentration,Export concentration,2019
-0.019663650196220298,0.011702490982919525,-1.6802961202807636,0.09445315463307628,-0.04273904913660313,0.0034117487441625363,0.112,999,999,0.112,2222,202,11,post_continuous_2019_diversification_pre_log_population,continuous_moderator,diversification,Partner diversification excluding US and China,z_pre_log_population,z_pre_log_population,Log population,2019
