test_id,outcome_key,outcome,regime,event_year,estimate,se,p_cluster,n_obs,n_countries
event_diversification_R1_2014,diversification,Partner diversification excluding US and China,R1,2014,0.0057051065522999,0.016117597229543267,0.723923721253965,1473,134
event_diversification_R1_2015,diversification,Partner diversification excluding US and China,R1,2015,0.02127121131731001,0.01666393268172803,0.2040095509919579,1473,134
event_diversification_R1_2016,diversification,Partner diversification excluding US and China,R1,2016,-0.0038260329055403554,0.019742416419116334,0.8466300389436706,1473,134
event_diversification_R1_2018,diversification,Partner diversification excluding US and China,R1,2018,0.024075070837310506,0.014113425755247436,0.09037441641190304,1473,134
event_diversification_R1_2019,diversification,Partner diversification excluding US and China,R1,2019,0.01178585691260931,0.013717666677143402,0.39179064794717017,1473,134
event_diversification_R1_2020,diversification,Partner diversification excluding US and China,R1,2020,0.0156746122406387,0.016256511456955447,0.33669295660357423,1473,134
event_diversification_R1_2021,diversification,Partner diversification excluding US and China,R1,2021,0.010747141546634836,0.01868340415765203,0.5661117178583422,1473,134
event_diversification_R1_2022,diversification,Partner diversification excluding US and China,R1,2022,0.013197840285143717,0.02109774346104667,0.5326775231338585,1473,134
event_diversification_R2_2012,diversification,Partner diversification excluding US and China,R2,2012,0.012073069732383843,0.022041071299261326,0.5851735715005629,1034,94
event_diversification_R2_2013,diversification,Partner diversification excluding US and China,R2,2013,0.02364439319089325,0.01754449955425743,0.1810348520275642,1034,94
event_diversification_R2_2014,diversification,Partner diversification excluding US and China,R2,2014,0.011861791948748474,0.010211573512387995,0.24836948787860327,1034,94
event_diversification_R2_2015,diversification,Partner diversification excluding US and China,R2,2015,0.01543189363900966,0.013760651358109378,0.2649833393360685,1034,94
event_diversification_R2_2016,diversification,Partner diversification excluding US and China,R2,2016,-0.0005920938967431955,0.00575161349325523,0.9182290998913113,1034,94
event_diversification_R2_2018,diversification,Partner diversification excluding US and China,R2,2018,0.02112843737464562,0.019345933575860022,0.2775934425553264,1034,94
event_diversification_R2_2019,diversification,Partner diversification excluding US and China,R2,2019,0.0024174203680579695,0.02877297235338434,0.933223461939504,1034,94
event_diversification_R2_2020,diversification,Partner diversification excluding US and China,R2,2020,0.01939467403040033,0.021914140373758127,0.37842292625934415,1034,94
event_diversification_R2_2021,diversification,Partner diversification excluding US and China,R2,2021,-0.0021454388416169007,0.023246237314565946,0.92666466088792,1034,94
event_diversification_R2_2022,diversification,Partner diversification excluding US and China,R2,2022,0.009450813356256976,0.021994043784249673,0.6684087383103989,1034,94
