analysis,outcome_key,entity,estimate_2018,se_2018,p_wild_2018,estimate_2019,se_2019,p_wild_2019,sign_stability,n_obs_2018,n_obs_2019,n_countries_2018,n_countries_2019,pvalue_for_fdr
regime_difference,diversification,R2_minus_R1,0.0443106596534238,0.0213858785884456,0.091,0.0409707312218874,0.0217485147637208,0.117,True,2200,2200,200,200,0.117
regime_difference,diversification,regime_omnibus,,,0.091,,,0.117,False,2200,2200,200,200,0.117
regime_difference,gvc,R2_minus_R1,-0.3909658247321297,0.3824914324078671,0.348,-0.389666025457096,0.3051050321690515,0.249,True,836,836,76,76,0.249
regime_difference,gvc,regime_omnibus,,,0.348,,,0.249,False,836,836,76,76,0.249
regime_difference,recovery,R2_minus_R1,-0.1691204953919376,0.1144908271276574,0.203,-0.2088025700652754,0.1229996329237581,0.172,True,2200,2200,200,200,0.172
regime_difference,recovery,regime_omnibus,,,0.203,,,0.172,False,2200,2200,200,200,0.172
regime_slope,diversification,regime_R1,-0.0178120187656477,0.0129209458516596,0.562,-0.0161195561699151,0.0113022962681005,0.506,True,2200,2200,200,200,0.506
regime_slope,diversification,regime_R2,0.026498640887776,0.0170412722910649,0.164,0.0248511750519722,0.0185810654564225,0.245,True,2200,2200,200,200,0.245
regime_slope,gvc,regime_R1,0.2586986087629148,0.2431441038299819,0.388,0.1825463482903654,0.1680953156056665,0.41,True,836,836,76,76,0.41
regime_slope,gvc,regime_R2,-0.1322672159692149,0.2952636798492764,0.682,-0.2071196771667306,0.2546233404978977,0.433,True,836,836,76,76,0.433
regime_slope,recovery,regime_R1,0.0279121726150021,0.030995623670487,0.535,0.0386307528176402,0.0338694022240304,0.494,True,2200,2200,200,200,0.494
regime_slope,recovery,regime_R2,-0.1412083227769354,0.1102153383592895,0.303,-0.1701718172476352,0.1182445486792774,0.226,True,2200,2200,200,200,0.226
