test_id,outcome_key,regime,n_countries,exposed_countries,n_observations,estimate,se,mde_80pct,adequate_exposed_count_rule_10
regime_slope_gvc_R1,gvc,R1,135,48,858,0.38774197344412326,0.2675215331383827,0.7494843727674116,1
regime_slope_gvc_R2,gvc,R2,94,29,858,-0.13599125688629649,0.3033864988476103,0.8499631305465122,1
regime_slope_recovery_R1,recovery,R1,135,48,2507,-0.030262712355280226,0.0639019282839016,0.1790266976890937,1
regime_slope_recovery_R2,recovery,R2,94,29,2507,-0.13872849932877332,0.11217750753064562,0.314274846902613,1
regime_slope_diversification_R1,diversification,R1,135,48,2507,-0.010112026794302625,0.01574463216018817,0.044109928724609226,1
regime_slope_diversification_R2,diversification,R2,94,29,2507,0.023995645265110138,0.018385869611868794,0.051509580526764034,1
