estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,pvalue_for_fdr,n_obs,n_countries,n_years,outcome_key,outcome,sample_type,model,term,common_sample_n_countries,common_sample_n_obs
0.10686505700753884,0.22917716951354342,0.4662988780006883,0.6424291134626583,-0.3501012402056237,0.5638313542207014,,0,0,,792,72,11,gvc,Adverse forward-GVC deviation stability,common_sample,A_FE,eci_exposure_post,72,792
0.15648613849434678,0.2037081091232472,0.7681880665814328,0.444923002261489,-0.24969629466832494,0.5626685716570186,,0,0,,792,72,11,gvc,Adverse forward-GVC deviation stability,common_sample,A_FE,eci_exposure_post_x_moderator,72,792
0.06258150827340567,0.2980747793264608,0.2099523764298906,0.8343061567288972,-0.5317627210866392,0.6569257376334506,,0,0,,792,72,11,gvc,Adverse forward-GVC deviation stability,common_sample,B_structural_x_year,eci_exposure_post,72,792
0.2165525829316485,0.2524661338518881,0.857749035990274,0.3939172996226476,-0.2868505902679498,0.7199557561312467,,0,0,,792,72,11,gvc,Adverse forward-GVC deviation stability,common_sample,B_structural_x_year,eci_exposure_post_x_moderator,72,792
0.09690856660432455,0.227922949327508,0.42518125923806943,0.6719904475346428,-0.35755688658707463,0.5513740197957238,,0,0,,792,72,11,gvc,Adverse forward-GVC deviation stability,common_sample,C_region_x_year,eci_exposure_post,72,792
0.10380863752420862,0.23564910062644598,0.44052210362036315,0.6608973409567261,-0.3660623238086798,0.5736795988570971,,0,0,,792,72,11,gvc,Adverse forward-GVC deviation stability,common_sample,C_region_x_year,eci_exposure_post_x_moderator,72,792
0.2251665408107411,0.2812515471714676,0.8005877410283765,0.42604119475276814,-0.3356331163681278,0.78596619798961,,0,0,,792,72,11,gvc,Adverse forward-GVC deviation stability,common_sample,D_country_trends,eci_exposure_post,72,792
-0.1719578925820695,0.2969233087363889,-0.5791323467122456,0.5643328085334771,-0.7640061547957712,0.42009036963163215,,0,0,,792,72,11,gvc,Adverse forward-GVC deviation stability,common_sample,D_country_trends,eci_exposure_post_x_moderator,72,792
0.0754011346999869,0.2407372828148611,0.31320921220986825,0.7550399630843637,-0.40461537376188206,0.5554176431618558,,0,0,,792,72,11,gvc,Adverse forward-GVC deviation stability,common_sample,E_residual_density,eci_exposure_post,72,792
0.12064649929586403,0.21176803107689215,0.5697106342366557,0.5706722198724763,-0.30160696179163143,0.5428999603833595,,0,0,,792,72,11,gvc,Adverse forward-GVC deviation stability,common_sample,E_residual_density,eci_exposure_post_x_moderator,72,792
