estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,test_id,hypothesis,outcome,test_type,expected_direction,alternative,pvalue_for_fdr,n_obs,n_countries,n_years,within_r2,inference,outcome_key,moderator,moderator_label,model,focal_term,focal_label,regime,regime_reference,regime_left,regime_right,wald_chi2,wald_df,available_regimes,placebo_post_start,qvalue_bh_full_structural_family,fdr_significant_0_05
0.05222114200716419,0.02098362326175261,2.488661817635137,0.013634846645170211,0.01084486761512534,0.09359741639920305,0.042,999,999,continuous_recovery_z_pre_real_gdp_pc_growth_volatility,Continuous structural effect modification,Log export recovery,coefficient,two-sided,two-sided,0.042,2222,202,11.0,0.04087009674470965,wild_cluster_bootstrap,recovery,z_pre_real_gdp_pc_growth_volatility,GDP-per-capita growth volatility,,,,,,,,,,,,0.504,0
-0.039327161148100774,0.02876472319451896,-1.3672010984480623,0.17318611560663735,-0.09606831257327296,0.01741399027707141,0.407,999,999,continuous_recovery_z_pre_manufacturing_value_added_share,Continuous structural effect modification,Log export recovery,coefficient,two-sided,two-sided,0.407,2090,190,11.0,0.026478556331508973,wild_cluster_bootstrap,recovery,z_pre_manufacturing_value_added_share,Manufacturing value-added share,,,,,,,,,,,,0.789415883135952,0
-0.1158059633313657,0.036091918491880905,-3.2086397224192154,0.0015790088216585977,-0.187023649363331,-0.0445882772994004,0.026,999,999,continuous_recovery_z_pre_trade_openness,Continuous structural effect modification,Log export recovery,coefficient,two-sided,two-sided,0.026,1991,181,11.0,0.04093964432151265,wild_cluster_bootstrap,recovery,z_pre_trade_openness,Trade openness,,,,,,,,,,,,0.504,0
0.021361649318861073,0.05552424626189777,0.38472650701284733,0.7008448003045549,-0.08811980376119612,0.13084310239891828,0.762,999,999,continuous_recovery_z_pre_resource_rents,Continuous structural effect modification,Log export recovery,coefficient,two-sided,two-sided,0.762,2233,203,11.0,0.015387598370617983,wild_cluster_bootstrap,recovery,z_pre_resource_rents,Natural-resource-rent dependence,,,,,,,,,,,,0.8623179263502064,0
-0.02792584838936224,0.025459126446262186,-1.0968894965153924,0.274028694457972,-0.07813325787235167,0.022281561093627195,0.441,999,999,continuous_recovery_z_pre_institutional_quality,Continuous structural effect modification,Log export recovery,coefficient,two-sided,two-sided,0.441,2178,198,11.0,0.0669151059975398,wild_cluster_bootstrap,recovery,z_pre_institutional_quality,Institutional quality,,,,,,,,,,,,0.789415883135952,0
0.015554515293300306,0.025080088429091475,0.6201937978519227,0.5357523050747687,-0.033865034330827506,0.06497406491742812,0.59,999,999,continuous_recovery_z_pre_export_concentration,Continuous structural effect modification,Log export recovery,coefficient,two-sided,two-sided,0.59,2507,228,11.0,0.0267668937183988,wild_cluster_bootstrap,recovery,z_pre_export_concentration,Export concentration,,,,,,,,,,,,0.789415883135952,0
0.1236158290622294,0.06549064192936242,1.887534240320323,0.06049447894971572,-0.005502027913434987,0.2527336860378938,0.062,999,999,continuous_recovery_z_pre_log_population,Continuous structural effect modification,Log export recovery,coefficient,two-sided,two-sided,0.062,2277,207,11.0,0.05841196570646323,wild_cluster_bootstrap,recovery,z_pre_log_population,Log population,,,,,,,,,,,,0.5292,0
0.017657941636716492,0.008618929594644146,2.0487395149032475,0.0417806520369644,0.0006633311819342902,0.034652552091498694,0.13,999,999,continuous_diversification_z_pre_log_real_gdp_pc,Continuous structural effect modification,Partner diversification excluding US and China,coefficient,two-sided,two-sided,0.13,2233,203,11.0,0.020498107870249305,wild_cluster_bootstrap,diversification,z_pre_log_real_gdp_pc,Log real GDP per capita,,,,,,,,,,,,0.78,0
-0.004157502798721766,0.011595817824276359,-0.3585346770469134,0.7203195097693625,-0.027022559710598484,0.018707554113154952,0.792,999,999,continuous_diversification_z_pre_real_gdp_pc_growth_mean,Continuous structural effect modification,Partner diversification excluding US and China,coefficient,two-sided,two-sided,0.792,2222,202,11.0,0.017249372658661333,wild_cluster_bootstrap,diversification,z_pre_real_gdp_pc_growth_mean,Mean real GDP-per-capita growth,,,,,,,,,,,,0.8647692307692307,0
0.005004374850117021,0.0037679095873903432,1.328156829151268,0.18563244024635375,-0.002425326828545093,0.012434076528779134,0.48,999,999,continuous_diversification_z_pre_real_gdp_pc_growth_slope,Continuous structural effect modification,Partner diversification excluding US and China,coefficient,two-sided,two-sided,0.48,2222,202,11.0,0.047946064659759036,wild_cluster_bootstrap,diversification,z_pre_real_gdp_pc_growth_slope,Real GDP-per-capita growth trend,,,,,,,,,,,,0.789415883135952,0
-0.00980465563071808,0.005253602457162815,-1.8662728500422245,0.06345975200743909,-0.020163900747860092,0.0005545894864239283,0.602,999,999,continuous_diversification_z_pre_real_gdp_pc_growth_volatility,Continuous structural effect modification,Partner diversification excluding US and China,coefficient,two-sided,two-sided,0.602,2222,202,11.0,0.039444765606538534,wild_cluster_bootstrap,diversification,z_pre_real_gdp_pc_growth_volatility,GDP-per-capita growth volatility,,,,,,,,,,,,0.789415883135952,0
0.0056964364228617205,0.009879682153460372,0.576580939991732,0.5649086252726189,-0.013792175976123023,0.025185048821846464,0.83,999,999,continuous_diversification_z_pre_manufacturing_value_added_share,Continuous structural effect modification,Partner diversification excluding US and China,coefficient,two-sided,two-sided,0.83,2090,190,11.0,0.013890727487841037,wild_cluster_bootstrap,diversification,z_pre_manufacturing_value_added_share,Manufacturing value-added share,,,,,,,,,,,,0.8825316455696203,0
0.02479100176847779,0.0063970832220007,3.875360208417666,0.00014898901254875824,0.012168079977072173,0.037413923559883405,0.009,999,999,continuous_diversification_z_pre_trade_openness,Continuous structural effect modification,Partner diversification excluding US and China,coefficient,two-sided,two-sided,0.009,1991,181,11.0,0.040330468713531964,wild_cluster_bootstrap,diversification,z_pre_trade_openness,Trade openness,,,,,,,,,,,,0.37799999999999995,0
-0.026704352880995187,0.01188482099074013,-2.246929331270657,0.025726186530437917,-0.05013857413138775,-0.0032701316306026247,0.13,999,999,continuous_diversification_z_pre_resource_rents,Continuous structural effect modification,Partner diversification excluding US and China,coefficient,two-sided,two-sided,0.13,2233,203,11.0,0.025764275945518444,wild_cluster_bootstrap,diversification,z_pre_resource_rents,Natural-resource-rent dependence,,,,,,,,,,,,0.78,0
0.014314115871837093,0.00640297268641727,2.2355422352810996,0.02650414463280957,0.0016869476830971841,0.026941284060577,0.301,999,999,continuous_diversification_z_pre_institutional_quality,Continuous structural effect modification,Partner diversification excluding US and China,coefficient,two-sided,two-sided,0.301,2178,198,11.0,0.02540778703274993,wild_cluster_bootstrap,diversification,z_pre_institutional_quality,Institutional quality,,,,,,,,,,,,0.789415883135952,0
-0.005087706824544961,0.004946821786624181,-1.028479909727438,0.30481876671320884,-0.014835268339608017,0.0046598546905180956,0.501,999,999,continuous_diversification_z_pre_export_concentration,Continuous structural effect modification,Partner diversification excluding US and China,coefficient,two-sided,two-sided,0.501,2507,228,11.0,0.019277245149388333,wild_cluster_bootstrap,diversification,z_pre_export_concentration,Export concentration,,,,,,,,,,,,0.789415883135952,0
-0.02185634454368831,0.012395072585563879,-1.7633091208472351,0.07933093750782289,-0.0462938086172886,0.0025811195299119856,0.115,999,999,continuous_diversification_z_pre_log_population,Continuous structural effect modification,Partner diversification excluding US and China,coefficient,two-sided,two-sided,0.115,2277,207,11.0,0.01694290024588818,wild_cluster_bootstrap,diversification,z_pre_log_population,Log population,,,,,,,,,,,,0.78,0
0.21709855679800086,0.2327286744799344,0.932839742602147,0.3538186363947211,-0.246323439193081,0.6805205527890827,,0,0,adjustment_A_FE_gvc_eci_exposure_post,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.3538186363947211,858,78,11.0,0.033616529142886264,country_clustered,gvc,,,A_FE,eci_exposure_post,ECI x exposure x post,,,,,,,,,0.789415883135952,0
0.17959433933314797,0.16612252282923173,1.081095665262469,0.2830289230983141,-0.15119786442356695,0.5103865430898629,,0,0,adjustment_A_FE_gvc_eci_exposure_post_x_moderator,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.2830289230983141,858,78,11.0,0.033616529142886264,country_clustered,gvc,,,A_FE,eci_exposure_post_x_moderator,ECI x exposure x post x COI,,,,,,,,,0.789415883135952,0
0.057579408120055756,0.31072827326074665,0.18530469569384236,0.8535110747088117,-0.561846083756997,0.6770048999971086,,0,0,adjustment_B_structural_x_year_gvc_eci_exposure_post,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.8535110747088117,803,73,11.0,0.22263888188211445,country_clustered,gvc,,,B_structural_x_year,eci_exposure_post,ECI x exposure x post,,,,,,,,,0.8851225959943233,0
0.2164022405595258,0.2519212039188883,0.8590076468084894,0.39318721158497866,-0.2857935011223739,0.7185979822414256,,0,0,adjustment_B_structural_x_year_gvc_eci_exposure_post_x_moderator,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.39318721158497866,803,73,11.0,0.22263888188211445,country_clustered,gvc,,,B_structural_x_year,eci_exposure_post_x_moderator,ECI x exposure x post x COI,,,,,,,,,0.789415883135952,0
0.20719917512040983,0.2302867594415925,0.8997441955535513,0.3710616795528019,-0.2513603468174087,0.6657586970582284,,0,0,adjustment_C_region_x_year_gvc_eci_exposure_post,Progressive confounding adjustment,Adverse forward-GVC deviation stability,coefficient,two-sided,two-sided,0.3710616795528019,858,78,11.0,0.09788708507641042,country_clustered,gvc,,,C_region_x_year,eci_exposure_post,ECI x exposure x post,,,,,,,,,0.789415883135952,0
