sample,country_iso3_code,primary_structural_profile,alternative_structural_profile,reassigned_vs_primary
cleaned_primary,SGP,R2,R2,False
cleaned_primary,SLB,R1,R1,False
cleaned_primary,SLE,R1,R1,False
cleaned_primary,SLV,R1,R1,False
cleaned_primary,SMR,R2,R2,False
cleaned_primary,SOM,R1,R1,False
cleaned_primary,SRB,R1,R1,False
cleaned_primary,SSD,R1,R1,False
cleaned_primary,STP,R1,R1,False
cleaned_primary,SUR,R2,R2,False
cleaned_primary,SVK,R2,R2,False
cleaned_primary,SVN,R2,R2,False
cleaned_primary,SWE,R2,R2,False
cleaned_primary,SWZ,R1,R1,False
cleaned_primary,SXM,R2,R2,False
cleaned_primary,SYC,R2,R2,False
cleaned_primary,SYR,R1,R1,False
cleaned_primary,TCA,R2,R2,False
cleaned_primary,TCD,R1,R1,False
cleaned_primary,TGO,R1,R1,False
cleaned_primary,THA,R1,R1,False
cleaned_primary,TJK,R1,R1,False
cleaned_primary,TKM,R1,R1,False
cleaned_primary,TLS,R1,R1,False
cleaned_primary,TON,R2,R2,False
cleaned_primary,TTO,R2,R2,False
cleaned_primary,TUN,R1,R1,False
cleaned_primary,TUR,R1,R1,False
cleaned_primary,TUV,R2,R2,False
cleaned_primary,TZA,R1,R1,False
cleaned_primary,UGA,R1,R1,False
cleaned_primary,UKR,R1,R1,False
cleaned_primary,URY,R2,R2,False
cleaned_primary,UZB,R1,R1,False
cleaned_primary,VCT,R2,R2,False
cleaned_primary,VEN,R1,R1,False
cleaned_primary,VNM,R1,R1,False
cleaned_primary,VUT,R2,R2,False
cleaned_primary,WSM,R2,R2,False
cleaned_primary,YEM,R1,R1,False
cleaned_primary,ZMB,R1,R1,False
cleaned_primary,ZWE,R1,R1,False
complete_case,ABW,R2,R2,False
complete_case,AGO,R1,R1,False
complete_case,ALB,R1,R1,False
complete_case,ARE,R2,R2,False
complete_case,ARG,R1,R1,False
complete_case,ARM,R1,R1,False
complete_case,ATG,R2,R2,False
complete_case,AUS,R2,R2,False
complete_case,AUT,R2,R2,False
complete_case,AZE,R1,R1,False
complete_case,BEL,R2,R2,False
complete_case,BEN,R1,R1,False
complete_case,BFA,R1,R1,False
complete_case,BGD,R1,R1,False
complete_case,BHR,R2,R2,False
complete_case,BHS,R2,R2,False
complete_case,BIH,R1,R1,False
complete_case,BLR,R1,R1,False
complete_case,BLZ,R2,R2,False
complete_case,BMU,R2,R2,False
complete_case,BOL,R1,R1,False
complete_case,BRA,R1,R1,False
complete_case,BRN,R2,R2,False
complete_case,BTN,R2,R2,False
complete_case,BWA,R2,R2,False
complete_case,CAN,R2,R2,False
complete_case,CHE,R2,R2,False
complete_case,CHL,R2,R2,False
complete_case,CIV,R1,R1,False
complete_case,CMR,R1,R1,False
complete_case,COD,R1,R1,False
complete_case,COG,R1,R1,False
complete_case,COL,R1,R1,False
complete_case,COM,R1,R1,False
complete_case,CPV,R2,R2,False
complete_case,CRI,R2,R2,False
complete_case,CUB,R1,R1,False
complete_case,CYM,R2,R2,False
complete_case,CYP,R2,R2,False
complete_case,CZE,R2,R2,False
complete_case,DEU,R2,R2,False
complete_case,DJI,R2,R2,False
complete_case,DNK,R2,R2,False
complete_case,DOM,R1,R1,False
complete_case,DZA,R1,R1,False
complete_case,ECU,R1,R1,False
complete_case,EGY,R1,R1,False
complete_case,ESP,R2,R2,False
complete_case,EST,R2,R2,False
complete_case,ETH,R1,R1,False
complete_case,FIN,R2,R2,False
complete_case,FRA,R2,R2,False
complete_case,FSM,R2,R2,False
complete_case,GAB,R1,R1,False
complete_case,GBR,R2,R2,False
complete_case,GEO,R2,R2,False
complete_case,GHA,R1,R1,False
complete_case,GIN,R1,R1,False
complete_case,GMB,R1,R1,False
complete_case,GNB,R1,R1,False
complete_case,GNQ,R1,R1,False
complete_case,GRC,R2,R2,False
complete_case,GRL,R2,R2,False
complete_case,GTM,R1,R1,False
complete_case,HKG,R2,R2,False
complete_case,HND,R1,R1,False
complete_case,HRV,R2,R2,False
complete_case,HTI,R1,R1,False
complete_case,HUN,R2,R2,False
complete_case,IDN,R1,R1,False
complete_case,IND,R1,R1,False
complete_case,IRL,R2,R2,False
complete_case,IRN,R1,R1,False
complete_case,IRQ,R1,R1,False
complete_case,ISL,R2,R2,False
complete_case,ISR,R2,R2,False
complete_case,ITA,R2,R2,False
complete_case,JOR,R1,R1,False
complete_case,JPN,R2,R2,False
complete_case,KAZ,R1,R1,False
complete_case,KEN,R1,R1,False
complete_case,KGZ,R1,R1,False
complete_case,KHM,R1,R1,False
complete_case,KIR,R2,R2,False
complete_case,KOR,R2,R2,False
complete_case,KWT,R1,R1,False
complete_case,LAO,R1,R1,False
complete_case,LBN,R1,R1,False
complete_case,LBY,R1,R1,False
complete_case,LKA,R1,R1,False
complete_case,LSO,R1,R1,False
complete_case,LTU,R2,R2,False
complete_case,LUX,R2,R2,False
complete_case,LVA,R2,R2,False
complete_case,MAC,R2,R2,False
complete_case,MAR,R1,R1,False
complete_case,MDA,R1,R1,False
complete_case,MDG,R1,R1,False
complete_case,MDV,R2,R2,False
complete_case,MEX,R1,R1,False
complete_case,MHL,R2,R2,False
complete_case,MKD,R2,R2,False
complete_case,MLI,R1,R1,False
complete_case,MLT,R2,R2,False
complete_case,MNE,R2,R2,False
complete_case,MNG,R1,R1,False
complete_case,MOZ,R1,R1,False
complete_case,MRT,R1,R1,False
complete_case,MUS,R2,R2,False
complete_case,MWI,R1,R1,False
complete_case,MYS,R1,R1,False
complete_case,NAM,R2,R2,False
complete_case,NER,R1,R1,False
complete_case,NIC,R1,R1,False
complete_case,NLD,R2,R2,False
complete_case,NOR,R2,R2,False
complete_case,NPL,R1,R1,False
complete_case,NZL,R2,R2,False
complete_case,OMN,R1,R1,False
complete_case,PAK,R1,R1,False
complete_case,PAN,R2,R2,False
complete_case,PER,R1,R1,False
complete_case,PHL,R1,R1,False
complete_case,PLW,R2,R2,False
complete_case,POL,R2,R2,False
complete_case,PRT,R2,R2,False
complete_case,PRY,R1,R1,False
complete_case,PSE,R1,R1,False
complete_case,QAT,R2,R2,False
complete_case,ROU,R1,R1,False
complete_case,RUS,R1,R1,False
complete_case,RWA,R1,R1,False
complete_case,SAU,R1,R1,False
complete_case,SEN,R1,R1,False
complete_case,SGP,R2,R2,False
complete_case,SLB,R1,R1,False
complete_case,SLE,R1,R1,False
complete_case,SLV,R1,R1,False
complete_case,SMR,R2,R2,False
complete_case,SRB,R1,R1,False
complete_case,SSD,R1,R1,False
complete_case,SVK,R2,R2,False
complete_case,SVN,R2,R2,False
complete_case,SWE,R2,R2,False
complete_case,SWZ,R1,R1,False
complete_case,SYC,R2,R2,False
complete_case,TCD,R1,R1,False
complete_case,TGO,R1,R1,False
complete_case,THA,R1,R1,False
complete_case,TJK,R1,R1,False
complete_case,TLS,R1,R1,False
complete_case,TON,R2,R2,False
complete_case,TUN,R1,R1,False
complete_case,TUR,R1,R1,False
complete_case,TZA,R1,R1,False
complete_case,UGA,R1,R1,False
complete_case,UKR,R1,R1,False
complete_case,URY,R2,R2,False
complete_case,UZB,R1,R1,False
complete_case,VNM,R1,R1,False
complete_case,VUT,R2,R2,False
complete_case,WSM,R2,R2,False
complete_case,ZMB,R1,R1,False
complete_case,ZWE,R1,R1,False
broad_legacy,ABW,R2,R2,False
broad_legacy,AFG,R1,R1,False
broad_legacy,AGO,R1,R1,False
broad_legacy,AIA,,R2,False
broad_legacy,ALB,R1,R2,True
broad_legacy,AND,R2,R2,False
broad_legacy,ANS,,R1,False
broad_legacy,ARE,R2,R2,False
broad_legacy,ARG,R1,R1,False
broad_legacy,ARM,R1,R1,False
broad_legacy,ASM,R2,R2,False
broad_legacy,ATA,,R2,False
broad_legacy,ATF,,R1,False
broad_legacy,ATG,R2,R2,False
broad_legacy,AUS,R2,R2,False
broad_legacy,AUT,R2,R2,False
broad_legacy,AZE,R1,R1,False
broad_legacy,BDI,R1,R1,False
broad_legacy,BEL,R2,R2,False
broad_legacy,BEN,R1,R1,False
broad_legacy,BES,,R1,False
broad_legacy,BFA,R1,R1,False
broad_legacy,BGD,R1,R1,False
broad_legacy,BGR,R2,R2,False
broad_legacy,BHR,R2,R2,False
broad_legacy,BHS,R2,R2,False
broad_legacy,BIH,R1,R2,True
broad_legacy,BLM,,R2,False
broad_legacy,BLR,R1,R1,False
broad_legacy,BLZ,R2,R2,False
broad_legacy,BMU,R2,R2,False
broad_legacy,BOL,R1,R1,False
broad_legacy,BRA,R1,R1,False
broad_legacy,BRB,R2,R2,False
broad_legacy,BRN,R2,R2,False
broad_legacy,BTN,R2,R2,False
broad_legacy,BVT,,R2,False
broad_legacy,BWA,R2,R2,False
broad_legacy,CAF,,R1,False
broad_legacy,CAN,R2,R2,False
broad_legacy,CCK,,R1,False
broad_legacy,CHE,R2,R2,False
broad_legacy,CHL,R2,R2,False
broad_legacy,CIV,R1,R1,False
broad_legacy,CMR,R1,R1,False
broad_legacy,COD,R1,R1,False
broad_legacy,COG,R1,R1,False
broad_legacy,COK,,R2,False
broad_legacy,COL,R1,R1,False
broad_legacy,COM,R1,R1,False
broad_legacy,CPV,R2,R2,False
broad_legacy,CRI,R2,R2,False
broad_legacy,CUB,R1,R1,False
broad_legacy,CUW,R2,R2,False
broad_legacy,CXR,,R1,False
broad_legacy,CYM,R2,R2,False
broad_legacy,CYP,R2,R2,False
broad_legacy,CZE,R2,R2,False
broad_legacy,DEU,R2,R2,False
broad_legacy,DJI,R2,R2,False
broad_legacy,DMA,R2,R2,False
broad_legacy,DNK,R2,R2,False
broad_legacy,DOM,R1,R1,False
broad_legacy,DZA,R1,R1,False
broad_legacy,ECU,R1,R1,False
broad_legacy,EGY,R1,R1,False
broad_legacy,ERI,,R1,False
broad_legacy,ESP,R2,R2,False
broad_legacy,EST,R2,R2,False
broad_legacy,ETH,R1,R1,False
broad_legacy,FIN,R2,R2,False
broad_legacy,FJI,R2,R2,False
broad_legacy,FLK,,R2,False
broad_legacy,FRA,R2,R2,False
broad_legacy,FRO,R2,R2,False
broad_legacy,FSM,R2,R2,False
broad_legacy,GAB,R1,R1,False
broad_legacy,GBR,R2,R2,False
broad_legacy,GEO,R2,R2,False
broad_legacy,GHA,R1,R1,False
broad_legacy,GIB,,R2,False
broad_legacy,GIN,R1,R1,False
broad_legacy,GMB,R1,R1,False
broad_legacy,GNB,R1,R1,False
broad_legacy,GNQ,R1,R1,False
broad_legacy,GRC,R2,R2,False
broad_legacy,GRD,R2,R2,False
broad_legacy,GRL,R2,R2,False
broad_legacy,GTM,R1,R1,False
broad_legacy,GUM,R2,R2,False
broad_legacy,GUY,R2,R2,False
broad_legacy,HKG,R2,R2,False
