country_iso3_code,consensus_cluster_numeric,assignment_probability,pre_log_real_gdp_pc,wb_region,exposure_tercile,cluster_imputed_fields,structural_profile,structural_regime,sample,selected_k
ECU,1,1.0,8.683911133555865,Latin America & Caribbean,high,0,R1,R1,cleaned_primary,2
EGY,1,1.0,8.102033526943385,"Middle East, North Africa, Afghanistan & Pakistan",middle,0,R1,R1,cleaned_primary,2
ESP,0,1.0,10.15426897714124,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
EST,0,1.0,9.777517062400664,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
ETH,1,1.0,6.353295660864473,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
FIN,0,1.0,10.675914981327244,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
FJI,1,1.0,8.506470583336181,East Asia & Pacific,middle,1,R1,R1,cleaned_primary,2
FRA,0,1.0,10.509835782888496,Europe & Central Asia,middle,0,R2,R2,cleaned_primary,2
FRO,0,1.0,10.849350510526014,Europe & Central Asia,low,1,R2,R2,cleaned_primary,2
FSM,0,1.0,7.957111996473458,East Asia & Pacific,high,0,R2,R2,cleaned_primary,2
GAB,1,1.0,8.844462795487546,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
GBR,0,1.0,10.712172975370946,Europe & Central Asia,middle,0,R2,R2,cleaned_primary,2
GEO,0,1.0,8.297200287122802,Europe & Central Asia,middle,0,R2,R2,cleaned_primary,2
GHA,1,1.0,7.456320654905997,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
GIN,1,1.0,6.641989675094628,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
GMB,1,1.0,6.438416756768535,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
GNB,1,1.0,6.469893306594794,Sub-Saharan Africa,low,0,R1,R1,cleaned_primary,2
GNQ,1,1.0,9.146068187727666,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
GRC,0,1.0,9.796723009722497,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
GRD,0,1.0,9.034711929194469,Latin America & Caribbean,high,1,R2,R2,cleaned_primary,2
GRL,0,1.0,10.714875100791971,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
GTM,1,1.0,8.249897975245064,Latin America & Caribbean,high,0,R1,R1,cleaned_primary,2
GUM,0,1.0,10.45610705767014,East Asia & Pacific,low,1,R2,R2,cleaned_primary,2
GUY,1,1.0,8.643843888001948,Latin America & Caribbean,high,1,R1,R1,cleaned_primary,2
HKG,0,1.0,10.646994624241092,East Asia & Pacific,high,0,R2,R2,cleaned_primary,2
HND,1,1.0,7.725137449475824,Latin America & Caribbean,high,0,R1,R1,cleaned_primary,2
HRV,0,1.0,9.420135547179774,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
HTI,1,1.0,7.246400387659221,Latin America & Caribbean,high,0,R1,R1,cleaned_primary,2
HUN,0,1.0,9.433082541405664,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
IDN,1,1.0,8.079920373817043,East Asia & Pacific,middle,0,R1,R1,cleaned_primary,2
IND,1,1.0,7.338979914908141,South Asia,middle,0,R1,R1,cleaned_primary,2
IRL,0,1.0,10.948564231672838,Europe & Central Asia,middle,0,R2,R2,cleaned_primary,2
IRN,1,1.0,8.540628658040413,"Middle East, North Africa, Afghanistan & Pakistan",middle,0,R1,R1,cleaned_primary,2
IRQ,1,1.0,8.427439595652094,"Middle East, North Africa, Afghanistan & Pakistan",middle,0,R1,R1,cleaned_primary,2
ISL,0,1.0,10.884613976268739,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
ISR,0,1.0,10.498368396051042,"Middle East, North Africa, Afghanistan & Pakistan",high,0,R2,R2,cleaned_primary,2
ITA,0,1.0,10.336033243378408,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
JAM,0,1.0,8.590192603852119,Latin America & Caribbean,high,1,R2,R2,cleaned_primary,2
JOR,1,1.0,8.34967051411733,"Middle East, North Africa, Afghanistan & Pakistan",middle,0,R1,R1,cleaned_primary,2
JPN,0,1.0,10.454306527639467,East Asia & Pacific,high,0,R2,R2,cleaned_primary,2
KAZ,1,1.0,9.21776128093128,Europe & Central Asia,middle,0,R1,R1,cleaned_primary,2
KEN,1,1.0,7.29126269798228,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
KGZ,1,1.0,6.991960110308066,Europe & Central Asia,high,0,R1,R1,cleaned_primary,2
KHM,1,1.0,7.317096454103949,East Asia & Pacific,middle,0,R1,R1,cleaned_primary,2
KIR,0,1.0,7.367165452485879,East Asia & Pacific,middle,0,R2,R2,cleaned_primary,2
KNA,0,1.0,9.896354644523715,Latin America & Caribbean,high,1,R2,R2,cleaned_primary,2
KOR,0,1.0,10.304057461039948,East Asia & Pacific,high,0,R2,R2,cleaned_primary,2
KWT,1,1.0,10.324984179188043,"Middle East, North Africa, Afghanistan & Pakistan",middle,0,R1,R1,cleaned_primary,2
LAO,1,1.0,7.627377113664259,East Asia & Pacific,middle,0,R1,R1,cleaned_primary,2
LBN,1,1.0,9.011357387375048,"Middle East, North Africa, Afghanistan & Pakistan",middle,0,R1,R1,cleaned_primary,2
LBR,1,1.0,6.534005889571816,Sub-Saharan Africa,middle,2,R1,R1,cleaned_primary,2
LBY,1,1.0,9.093699102962551,"Middle East, North Africa, Afghanistan & Pakistan",middle,0,R1,R1,cleaned_primary,2
LCA,0,1.0,9.260574729245642,Latin America & Caribbean,high,1,R2,R2,cleaned_primary,2
LKA,1,1.0,8.284774162795399,South Asia,middle,0,R1,R1,cleaned_primary,2
LSO,1,1.0,7.009988971832535,Sub-Saharan Africa,middle,0,R1,R1,cleaned_primary,2
LTU,0,1.0,9.546450221972597,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
LUX,0,1.0,11.5716963655316,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
LVA,0,1.0,9.477709689604326,Europe & Central Asia,low,0,R2,R2,cleaned_primary,2
MAC,0,1.0,11.316883115981836,East Asia & Pacific,high,0,R2,R2,cleaned_primary,2
MAR,1,1.0,8.03324507787982,"Middle East, North Africa, Afghanistan & Pakistan",low,0,R1,R1,cleaned_primary,2
MDA,1,1.0,7.9148226228322995,Europe & Central Asia,low,0,R1,R1,cleaned_primary,2
MDG,1,1.0,6.101729951777922,Sub-Saharan Africa,high,0,R1,R1,cleaned_primary,2
MDV,0,1.0,9.167595082814804,South Asia,middle,0,R2,R2,cleaned_primary,2
MEX,1,1.0,9.205173988791378,Latin America & Caribbean,high,0,R1,R1,cleaned_primary,2
MHL,0,1.0,8.229381293958062,East Asia & Pacific,middle,0,R2,R2,cleaned_primary,2
