test_id,variant,outcome_key,outcome,event_year,term,estimate,se,p_cluster,ci_low_95,ci_high_95,n_obs,n_countries
corrected_event_regime_R1_gvc_2016,regime_R1,gvc,Adverse forward-GVC deviation stability,2016,event_eci_exposure_2016,-0.1936738555864353,0.40237033347612783,0.6334567689023469,-1.012302454283409,0.6249547431105384,374,34
corrected_event_regime_R1_gvc_2018,regime_R1,gvc,Adverse forward-GVC deviation stability,2018,event_eci_exposure_2018,0.18397358290277466,0.1812668562332894,0.3175220284883014,-0.18481660902440256,0.5527637748299519,374,34
corrected_event_regime_R1_gvc_2019,regime_R1,gvc,Adverse forward-GVC deviation stability,2019,event_eci_exposure_2019,0.40139172851713834,0.35302278880632854,0.2637216435505964,-0.31683853565756415,1.1196219926918407,374,34
corrected_event_regime_R1_gvc_2020,regime_R1,gvc,Adverse forward-GVC deviation stability,2020,event_eci_exposure_2020,0.025655434737001215,0.21217287716094868,0.9044895638202449,-0.40601352955078823,0.45732439902479066,374,34
corrected_event_regime_R1_gvc_2021,regime_R1,gvc,Adverse forward-GVC deviation stability,2021,event_eci_exposure_2021,0.10976595480378912,0.27271234514134673,0.6899136491345588,-0.4450714831895646,0.6646033927971429,374,34
corrected_event_regime_R1_gvc_2022,regime_R1,gvc,Adverse forward-GVC deviation stability,2022,event_eci_exposure_2022,-0.2997682674376272,0.2507174306106313,0.2403575941079864,-0.8098567153521495,0.21032018047689516,374,34
corrected_event_regime_R2_gvc_2012,regime_R2,gvc,Adverse forward-GVC deviation stability,2012,event_eci_exposure_2012,-0.5472107444407641,0.9641657256285289,0.5734364819756402,-2.4943829296429163,1.3999614407613883,462,42
corrected_event_regime_R2_gvc_2013,regime_R2,gvc,Adverse forward-GVC deviation stability,2013,event_eci_exposure_2013,-0.682106548484542,0.9633460683188451,0.4829143169508821,-2.6276234021680662,1.2634103051989825,462,42
corrected_event_regime_R2_gvc_2014,regime_R2,gvc,Adverse forward-GVC deviation stability,2014,event_eci_exposure_2014,-0.587404370864414,0.8589389891139495,0.49790314895184773,-2.322066850489534,1.147258108760706,462,42
corrected_event_regime_R2_gvc_2015,regime_R2,gvc,Adverse forward-GVC deviation stability,2015,event_eci_exposure_2015,-0.054252623479361196,0.18724835974062537,0.7734783267818938,-0.4324083576234996,0.32390311066477717,462,42
corrected_event_regime_R2_gvc_2016,regime_R2,gvc,Adverse forward-GVC deviation stability,2016,event_eci_exposure_2016,-0.09079117144411371,0.3310899360307015,0.7852932087191122,-0.7594408621589297,0.5778585192707022,462,42
