outcome_key,regime,min_leave_one_out_estimate,max_leave_one_out_estimate,proportion_retaining_original_sign,maximum_absolute_coefficient_change,country_producing_largest_change,baseline_estimate,baseline_p_lt_05,any_leave_one_out_p_lt_05
gvc,R1,0.06009680931970565,0.4135284641143321,1.0,0.1986017994432092,CIV,0.25869860876291484,False,False
gvc,R2,-0.33369150493143485,0.0414658216693021,0.995,0.20142428896221992,KOR,-0.13226721596921492,False,False
recovery,R1,-0.0074522282931827,0.0479464443050311,0.995,0.035364400908184865,SSD,0.027912172615002163,False,False
recovery,R2,-0.1692709538165686,-0.0557721934042736,1.0,0.08543612937266189,DJI,-0.14120832277693549,False,False
diversification,R1,-0.02366192892590625,0.0020760990475767096,0.995,0.019888117813224505,SSD,-0.017812018765647798,False,False
diversification,R2,0.014929350446011552,0.03093331030218354,1.0,0.01156929044176453,DJI,0.026498640887776082,False,False
