outcome_key,outcome,excluded_country,regime,estimate,se,p_cluster,n_obs,n_countries
gvc,Adverse forward-GVC deviation stability,ABW,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,ABW,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,AFG,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,AFG,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,AGO,R1,0.5595349156040024,0.24663265547669277,0.02612517130315002,847,77
gvc,Adverse forward-GVC deviation stability,AGO,R2,-0.13599125688630187,0.30348045714804117,0.6553519184052051,847,77
gvc,Adverse forward-GVC deviation stability,AIA,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,AIA,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,ALB,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,ALB,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,AND,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,AND,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,ANS,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,ANS,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,ARE,R1,0.3877419734441226,0.2676043841178296,0.1514687447636478,847,77
gvc,Adverse forward-GVC deviation stability,ARE,R2,-0.031879412130303264,0.29313742786289826,0.9136854662185317,847,77
gvc,Adverse forward-GVC deviation stability,ARG,R1,0.3894278730131146,0.26670073458994215,0.14836552291473926,847,77
gvc,Adverse forward-GVC deviation stability,ARG,R2,-0.1359912568863056,0.30348045714804106,0.6553519184051964,847,77
gvc,Adverse forward-GVC deviation stability,ARM,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,ARM,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,ASM,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,ASM,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,ATA,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,ATA,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,ATF,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,ATF,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,ATG,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,ATG,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,AUS,R1,0.38774197344411687,0.26760438411782667,0.1514687447636494,847,77
gvc,Adverse forward-GVC deviation stability,AUS,R2,-0.11971383208662312,0.30473371463766263,0.695531961924966,847,77
gvc,Adverse forward-GVC deviation stability,AUT,R1,0.3877419734441257,0.26760438411783133,0.1514687447636472,847,77
gvc,Adverse forward-GVC deviation stability,AUT,R2,-0.12558341524053235,0.3098690188953019,0.6864110219120346,847,77
gvc,Adverse forward-GVC deviation stability,AZE,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,AZE,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BDI,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BDI,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BEL,R1,0.38774197344413325,0.2676043841178349,0.15146874476364477,847,77
gvc,Adverse forward-GVC deviation stability,BEL,R2,-0.12852033949144576,0.3037112506037351,0.6733690658088459,847,77
gvc,Adverse forward-GVC deviation stability,BEN,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BEN,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BES,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BES,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BFA,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BFA,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BGD,R1,0.38826906703069264,0.26766118246346376,0.15100641211387467,847,77
gvc,Adverse forward-GVC deviation stability,BGD,R2,-0.13599125688631009,0.30348045714804156,0.6553519184051863,847,77
gvc,Adverse forward-GVC deviation stability,BGR,R1,0.38774197344412237,0.26760438411782744,0.15146874476364486,847,77
gvc,Adverse forward-GVC deviation stability,BGR,R2,-0.17695759283950746,0.3094060444427718,0.5690594161901297,847,77
gvc,Adverse forward-GVC deviation stability,BHR,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BHR,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BHS,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BHS,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BIH,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BIH,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BLM,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BLM,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BLR,R1,0.4172115543330777,0.2731367280215256,0.13079245829948422,847,77
gvc,Adverse forward-GVC deviation stability,BLR,R2,-0.13599125688631425,0.3034804571480414,0.6553519184051761,847,77
gvc,Adverse forward-GVC deviation stability,BLZ,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BLZ,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BMU,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BMU,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BOL,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BOL,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BRA,R1,0.38771895539645795,0.2675739604453977,0.15144681844145919,847,77
gvc,Adverse forward-GVC deviation stability,BRA,R2,-0.1359912568863093,0.3034804571480415,0.6553519184051879,847,77
gvc,Adverse forward-GVC deviation stability,BRB,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BRB,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BRN,R1,0.3877419734441374,0.2676043841178339,0.15146874476363897,847,77
gvc,Adverse forward-GVC deviation stability,BRN,R2,-0.23827493906882524,0.29000706439174373,0.41386456822393175,847,77
gvc,Adverse forward-GVC deviation stability,BTN,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BTN,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BVT,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BVT,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,BWA,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,BWA,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,CAF,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,CAF,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,CAN,R1,0.387741973444131,0.26760438411783327,0.15146874476364455,847,77
gvc,Adverse forward-GVC deviation stability,CAN,R2,-0.12822959177643894,0.31564704804855825,0.685705255961257,847,77
gvc,Adverse forward-GVC deviation stability,CCK,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,CCK,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,CHE,R1,0.38774197344413874,0.26760438411783555,0.15146874476364,847,77
gvc,Adverse forward-GVC deviation stability,CHE,R2,-0.150321483441893,0.30443418622525703,0.6228902876424763,847,77
gvc,Adverse forward-GVC deviation stability,CHL,R1,0.38774197344413847,0.26760438411783494,0.1514687447636394,847,77
gvc,Adverse forward-GVC deviation stability,CHL,R2,-0.1280226162376616,0.35076362021607455,0.7161381165877541,847,77
gvc,Adverse forward-GVC deviation stability,CIV,R1,0.1889126321524493,0.23222916762284665,0.41848703086690814,847,77
gvc,Adverse forward-GVC deviation stability,CIV,R2,-0.13599125688630886,0.3034804571480405,0.6553519184051879,847,77
gvc,Adverse forward-GVC deviation stability,CMR,R1,0.3847989230683297,0.27157315060038884,0.1605910021918729,847,77
gvc,Adverse forward-GVC deviation stability,CMR,R2,-0.13599125688631947,0.30348045714804045,0.6553519184051628,847,77
gvc,Adverse forward-GVC deviation stability,COD,R1,0.4321921704618823,0.277705032829067,0.12379162632044086,847,77
gvc,Adverse forward-GVC deviation stability,COD,R2,-0.1359912568863082,0.30348045714804206,0.6553519184051912,847,77
gvc,Adverse forward-GVC deviation stability,COG,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,COG,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,COK,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,COK,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,COL,R1,0.3950076693254945,0.26956076051975586,0.14694357381356746,847,77
gvc,Adverse forward-GVC deviation stability,COL,R2,-0.13599125688630503,0.3034804571480411,0.6553519184051978,847,77
gvc,Adverse forward-GVC deviation stability,COM,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,COM,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,CPV,R1,0.38774197344412326,0.2675215331383827,0.1512905216270863,858,78
gvc,Adverse forward-GVC deviation stability,CPV,R2,-0.13599125688629649,0.3033864988476103,0.6552356879389306,858,78
gvc,Adverse forward-GVC deviation stability,CRI,R1,0.3877419734441293,0.26760438411783233,0.15146874476364505,847,77
gvc,Adverse forward-GVC deviation stability,CRI,R2,-0.1272899704361906,0.32193055804897625,0.6936585289553819,847,77
