source,test_id,outcome_key,estimate,se,equivalence_bound_abs,mde_80pct,mde_90pct,tost_pvalue,equivalent_within_bound
tariff_weighted_confirmatory,H1_gvc_adverse_deviation_stability,gvc,0.1434462673777329,0.0825565025051424,0.11808744727705928,0.2311582070143987,0.2674830681166614,0.6202281236065678,False
tariff_weighted_confirmatory,H2_log_export_recovery,recovery,0.036835988878521,0.0378515425778459,0.0498415878161688,0.10598431921796851,0.12263899795222072,0.3657344749682624,False
tariff_weighted_confirmatory,H3_partner_diversification_excl_us_china,diversification,-0.0064064371382462,0.0084832129000971,0.016758746415325963,0.023752996120271878,0.027485609796314606,0.11180321926608129,False
tariff_weighted_confirmatory,H1_sensitivity_gvc_signed_change,gvc,-0.2756037437151562,0.0828058086249576,0.11808744727705928,0.23185626414988125,0.26829081994486265,0.9695601885036582,False
tariff_weighted_confirmatory,H1_sensitivity_gvc_absolute_deviation_stability,gvc,-0.3666612795719903,0.1908806656545029,0.11808744727705928,0.5344658638326081,0.6184533567205894,0.9016431238241823,False
tariff_weighted_confirmatory,H3_sensitivity_destination_entropy_excl_us_china,diversification,-0.0104823482910066,0.0198266439337675,0.016758746415325963,0.05551460301454899,0.0642383263454067,0.3759327557354871,False
tariff_weighted_confirmatory,H3_sensitivity_effective_destinations_excl_us_china,diversification,-0.0681596776853574,0.0934504388533347,0.016758746415325963,0.2616612287893372,0.30277942188480444,0.7085816251096577,False
tariff_weighted_confirmatory,H4_gvc_adverse_deviation_stability,gvc,-0.1607849694754699,0.0871656984884856,0.11808744727705928,0.24406395576775966,0.28241686310269337,0.687181189248618,False
tariff_weighted_confirmatory,H4_log_export_recovery,recovery,-0.0525472191465279,0.0312730261283573,0.0498415878161688,0.08756447315940043,0.10132460465587766,0.5344339292654787,False
tariff_weighted_confirmatory,H4_partner_diversification_excl_us_china,diversification,0.0044183015372043,0.0064241623333849,0.016758746415325963,0.01798765453347772,0.02081428596016708,0.02799582160273776,True
clean_primary_final,focal_2018_gvc_eci_exposure_post,gvc,0.23079135951473873,0.22020379807898924,0.11808744727705928,0.6165706346211698,0.7134603057759252,0.6948682327028707,False
clean_primary_final,focal_2018_gvc_eci_exposure_post_x_moderator,gvc,0.09913985612586616,0.20107603579243621,0.11808744727705928,0.5630129002188213,0.6514863559674934,0.4625868361731141,False
clean_primary_final,focal_2018_recovery_eci_exposure_post,recovery,-0.052508028999043645,0.05362318850287011,0.0498415878161688,0.1501449278080363,0.17373913074929917,0.5198047534517725,False
clean_primary_final,focal_2018_recovery_eci_exposure_post_x_moderator,recovery,-0.008567592321939974,0.037454743572858,0.0498415878161688,0.10487328200400241,0.12135336917605993,0.13589628575473842,False
clean_primary_final,focal_2018_diversification_eci_exposure_post,diversification,-0.013137820287150031,0.013254891627136021,0.016758746415325963,0.03711369655598086,0.04294584887192071,0.3924989731613279,False
clean_primary_final,focal_2018_diversification_eci_exposure_post_x_moderator,diversification,0.006601582559768757,0.008663059900954324,0.016758746415325963,0.024256567722672106,0.02806831407909201,0.12119838778481451,False
common_sample_adjusted,eci_exposure_post,gvc,0.10338980837129995,0.22498586400227943,0.11808744727705928,0.6299604192063823,0.7289541993673854,0.474047368847559,False
common_sample_adjusted,eci_exposure_post_x_moderator,gvc,0.15729220940031446,0.20273236723883287,0.11808744727705928,0.567650628268732,0.6568528698538185,0.5763977881154034,False
common_sample_adjusted,eci_exposure_post,recovery,-0.005986891195989618,0.05937362506862787,0.0498415878161688,0.16624615019215802,0.1923705452223543,0.23059279275589048,False
common_sample_adjusted,eci_exposure_post_x_moderator,recovery,0.011068146352475598,0.038096490394977825,0.0498415878161688,0.1066701731059379,0.12343262887972817,0.15513879387250357,False
common_sample_adjusted,eci_exposure_post,diversification,-0.02537093635486192,0.01113037093452719,0.016758746415325963,0.031165038616676133,0.0360624018278681,0.7799088232116339,False
common_sample_adjusted,eci_exposure_post_x_moderator,diversification,0.009392000565571691,0.007815373533837003,0.016758746415325963,0.021883045894743606,0.02532181024963189,0.17363263146383767,False
final_cleaned_profile_regime_difference,pairwise_2018_gvc_R2_minus_R1,gvc,-0.3487580852926048,0.37264151437536547,0.11808744727705928,1.0433962402510233,1.2073585065761843,0.7311211546041979,False
final_cleaned_profile_regime_difference,pairwise_2018_recovery_R2_minus_R1,recovery,-0.13362107374505197,0.11185308394166583,0.0498415878161688,0.31318863503666433,0.3624039919709973,0.7726376886034694,False
final_cleaned_profile_regime_difference,pairwise_2018_diversification_R2_minus_R1,diversification,0.04348021840011206,0.021612087286912874,0.016758746415325963,0.06051384440335604,0.07002316280959772,0.8911261034416177,False
