estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,p_wild_bootstrap,bootstrap_reps_requested,bootstrap_reps_success,pvalue_for_fdr,n_obs,n_countries,n_years,outcome_key,outcome,sample_type,model,term,common_sample_n_countries,common_sample_n_obs,adjustment_evidence
0.23079135951473873,0.22020379807898924,1.048080739424629,0.297923093845693,-0.20778251365890849,0.6693652326883859,,0,0,,847,77,11,gvc,Adverse forward-GVC deviation stability,maximum_available,A_FE,eci_exposure_post,73,803,Models A-D; no weighting model
0.09913985612586616,0.20107603579243621,0.49304660167562075,0.6234012764501513,-0.30133777681785917,0.4996174890695915,,0,0,,847,77,11,gvc,Adverse forward-GVC deviation stability,maximum_available,A_FE,eci_exposure_post_x_moderator,73,803,Models A-D; no weighting model
0.06318008602968275,0.29417703808922285,0.214768924318697,0.830554629356241,-0.5232511215496848,0.6496112936090502,,0,0,,803,73,11,gvc,Adverse forward-GVC deviation stability,maximum_available,B_structural_x_year,eci_exposure_post,73,803,Models A-D; no weighting model
0.2157581021140161,0.25117134045969897,0.8590076468084742,0.3931872115849871,-0.2849428140820187,0.716459018310051,,0,0,,803,73,11,gvc,Adverse forward-GVC deviation stability,maximum_available,B_structural_x_year,eci_exposure_post_x_moderator,73,803,Models A-D; no weighting model
0.23465431068336234,0.2191555771030422,1.0707202334761163,0.2876838572709691,-0.20183184948363614,0.6711404708503608,,0,0,,847,77,11,gvc,Adverse forward-GVC deviation stability,maximum_available,C_region_x_year,eci_exposure_post,73,803,Models A-D; no weighting model
0.06739379286802498,0.2281387553123215,0.29540703321433925,0.7684885214979885,-0.3869839172859519,0.5217715030220018,,0,0,,847,77,11,gvc,Adverse forward-GVC deviation stability,maximum_available,C_region_x_year,eci_exposure_post_x_moderator,73,803,Models A-D; no weighting model
0.23933807337284355,0.21471910725726923,1.1146566154733342,0.2685100987013617,-0.1883120913188144,0.6669882380645015,,0,0,,847,77,11,gvc,Adverse forward-GVC deviation stability,maximum_available,D_country_trends,eci_exposure_post,73,803,Models A-D; no weighting model
-0.1782449950289575,0.2660422052262826,-0.6699876618348993,0.5048963047690426,-0.7081139681876091,0.35162397812969404,,0,0,,847,77,11,gvc,Adverse forward-GVC deviation stability,maximum_available,D_country_trends,eci_exposure_post_x_moderator,73,803,Models A-D; no weighting model
-0.052508028999043645,0.05362318850287011,-0.9792037822635858,0.3286564001034113,-0.15824418969894094,0.053228131700853644,,0,0,,2222,202,11,recovery,Log export recovery,maximum_available,A_FE,eci_exposure_post,166,1826,Models A-D; no weighting model
-0.008567592321939974,0.037454743572858,-0.22874518698209897,0.8192995349264852,-0.08242222305097967,0.06528703840709972,,0,0,,2222,202,11,recovery,Log export recovery,maximum_available,A_FE,eci_exposure_post_x_moderator,166,1826,Models A-D; no weighting model
-0.021915569797260767,0.04673244687230525,-0.4689583204822183,0.6397184538255145,-0.1141862453078083,0.07035510571328676,,0,0,,1826,166,11,recovery,Log export recovery,maximum_available,B_structural_x_year,eci_exposure_post,166,1826,Models A-D; no weighting model
