dv,stratifier,group,coef,pvalue,n,pooled_coef,reversal_vs_pooled
H1_DV1_Stability,_pooled,ALL,0.044348800851031406,0.7521548996748009,800,0.044348800851031406,0
H1_DV1_Stability,size_q,Q4,-0.19078562873571459,0.22046419449014357,530,0.044348800851031406,1
H1_DV1_Stability,size_q,Q3,0.952193660641676,0.036968399101939026,230,0.044348800851031406,0
H1_DV1_Stability,income_q,I2,0.8752611458684431,0.05152863230738159,126,0.044348800851031406,0
H1_DV1_Stability,income_q,I4,-0.9480633404864629,0.030055986417920007,327,0.044348800851031406,1
H1_DV1_Stability,income_q,I3,-0.5140935544737686,0.11303196317999367,234,0.044348800851031406,1
H1_DV1_Stability,income_q,I1,1.523657687303302,0.016920569993942976,103,0.044348800851031406,0
H1_DV1_Stability,eci_t,E1,1.3396622098147235,0.06611803393771316,115,0.044348800851031406,0
H1_DV1_Stability,eci_t,E2,2.4288336053273323,0.04156017572154321,206,0.044348800851031406,0
H1_DV1_Stability,eci_t,E3,-0.9293514672845312,0.019436750829781895,479,0.044348800851031406,1
H1_DV1_Stability,exposed,1,0.021751534906837428,0.8904981679826905,220,0.044348800851031406,0
H2_DV2_ExportRecovery,_pooled,ALL,0.35731708007379265,0.5650332523782716,2529,0.35731708007379265,0
H2_DV2_ExportRecovery,size_q,Q1,2.730881113797476,0.3936576586668848,626,0.35731708007379265,0
H2_DV2_ExportRecovery,size_q,Q2,-0.24797693871976292,0.00165529721727351,638,0.35731708007379265,1
H2_DV2_ExportRecovery,size_q,Q4,0.06234132679418046,0.11466989416750732,638,0.35731708007379265,0
H2_DV2_ExportRecovery,size_q,Q3,-0.28038998917711216,1.5166883573818266e-05,627,0.35731708007379265,1
H2_DV2_ExportRecovery,income_q,I4,-0.08914518085259668,0.4474281712205085,558,0.35731708007379265,1
H2_DV2_ExportRecovery,income_q,I1,-0.3247524496769795,0.0029143576399892597,559,0.35731708007379265,1
H2_DV2_ExportRecovery,income_q,I2,0.5903924314820694,0.001758640106542123,558,0.35731708007379265,0
H2_DV2_ExportRecovery,income_q,I3,-0.6318439932098466,1.7397294872510093e-05,558,0.35731708007379265,1
H2_DV2_ExportRecovery,eci_t,E2,0.3478447584885293,0.3847732646379884,845,0.35731708007379265,0
H2_DV2_ExportRecovery,eci_t,E3,0.42700129596947856,0.3165525372312142,841,0.35731708007379265,0
H2_DV2_ExportRecovery,eci_t,E1,0.6032246803320213,0.8539414237992685,843,0.35731708007379265,0
H2_DV2_ExportRecovery,exposed,1,1.3622550789818504,0.2745128443777038,847,0.35731708007379265,0
H3_DV3_Diversification,_pooled,ALL,-0.01557736641902367,0.11255818804901206,2529,-0.01557736641902367,0
H3_DV3_Diversification,size_q,Q1,-0.03822331478746078,0.19629302485086159,626,-0.01557736641902367,0
H3_DV3_Diversification,size_q,Q2,-0.02079753603689758,0.32562767860364716,638,-0.01557736641902367,0
H3_DV3_Diversification,size_q,Q4,0.0029226128424431376,0.832038593219244,638,-0.01557736641902367,1
H3_DV3_Diversification,size_q,Q3,0.06789768822724973,0.00039543133168762785,627,-0.01557736641902367,1
H3_DV3_Diversification,income_q,I4,0.06072525050717121,0.06737234316791656,558,-0.01557736641902367,1
H3_DV3_Diversification,income_q,I1,-0.009031338745915997,0.7516451822949779,559,-0.01557736641902367,0
H3_DV3_Diversification,income_q,I2,0.14478109790280086,0.00011185806860685709,558,-0.01557736641902367,1
H3_DV3_Diversification,income_q,I3,0.02749361734305039,0.27347006779325594,558,-0.01557736641902367,1
H3_DV3_Diversification,eci_t,E2,-0.08813357882284693,0.18463260007751198,845,-0.01557736641902367,0
H3_DV3_Diversification,eci_t,E3,0.09088935870354688,0.05629759471607567,841,-0.01557736641902367,1
H3_DV3_Diversification,eci_t,E1,0.018379554904390066,0.5402946455070992,843,-0.01557736641902367,1
H3_DV3_Diversification,exposed,1,-0.02720206342497409,0.032469234462228824,847,-0.01557736641902367,0
