model_id,dv,n_obs,n_countries,years_min,years_max,coef_post_exposed_eci,se_post_exposed_eci,pvalue_post_exposed_eci,r2,adj_r2
M1_GVC_Linkage_Change,dv_gvc_linkage_change,597,75,2013,2021,-0.015001513835921083,0.356149643828913,0.9664019379708698,0.22217945067559486,0.07836769901124163
M2_Export_Recovery,dv_export_recovery,665,75,2012,2021,0.06579565602856603,0.06646590494820334,0.3222152278338021,0.6511462012381696,0.5936159256528852
M3_Partner_Diversification,dv_partner_diversification,665,75,2012,2021,0.01586950140205846,0.00709354306479233,0.025274865986409094,0.9802756819808517,0.9770228997110272
