dv,spec,coef_z_eci_pe,se,pvalue,n_obs,n_countries
DV1_GVC_Linkage_Change,Unweighted_FE,0.35190352067303227,0.4249759994718575,0.40763932671851133,679,76
DV1_GVC_Linkage_Change,Weighted_logBaselineExport_FE,0.3156329943821544,0.41442850687676475,0.4462926616908055,679,76
DV2_Export_Recovery,Unweighted_FE,-0.1030868624149686,0.07736823487694293,0.18272272769443443,1729,180
DV2_Export_Recovery,Weighted_logBaselineExport_FE,-0.10111233326643224,0.06685190192901885,0.13041115553033233,1729,180
DV3_Partner_Diversification,Unweighted_FE,0.0005757448508210013,0.012420918880851315,0.9630290252515152,1729,180
DV3_Partner_Diversification,Weighted_logBaselineExport_FE,0.0008586982672977609,0.011385053902526268,0.9398779260893337,1729,180
