dv,dropped_country,coef_z_eci_pe,pvalue_z_eci_pe,delta_vs_full
DV3_Partner_Diversification,ABW,0.0026481775692935444,0.8319476994862971,0.002072432718472543
DV3_Partner_Diversification,AFG,0.0005760412678148439,0.9630005430494305,2.964169938425576e-07
DV3_Partner_Diversification,AGO,-0.0016011022706745625,0.8974115695797734,-0.0021768471214955636
DV3_Partner_Diversification,ALB,0.0005677102754539048,0.9635627608291627,-8.034575367096494e-06
DV3_Partner_Diversification,ARE,0.0005661716963854273,0.9636479826136264,-9.573154435574055e-06
DV3_Partner_Diversification,ARG,0.0005537463302859645,0.9644320795280554,-2.1998520535036802e-05
DV3_Partner_Diversification,ARM,0.0005978115784322491,0.9616238530176847,2.2066727611247785e-05
DV3_Partner_Diversification,ASM,0.0005091925895498426,0.9672566835269333,-6.655226127115868e-05
DV3_Partner_Diversification,ATG,-0.0001872731437689246,0.9879729735160565,-0.0007630179945899259
DV3_Partner_Diversification,AUS,0.0006772255384135009,0.9565332098848625,0.00010148068759249958
DV3_Partner_Diversification,AUT,0.0005574873026270529,0.9642137860308803,-1.825754819394839e-05
DV3_Partner_Diversification,AZE,0.000553284225246533,0.9644513352422414,-2.2460625574468283e-05
DV3_Partner_Diversification,BEL,0.0005723534250982665,0.9632687347682142,-3.3914257227347835e-06
DV3_Partner_Diversification,BEN,5.3331667996432686e-05,0.9966116179208035,-0.0005224131828245686
DV3_Partner_Diversification,BFA,0.0006098044991150577,0.9607535629443116,3.405964829405637e-05
DV3_Partner_Diversification,BGD,0.0007012269796597245,0.9551836713501145,0.00012548212883872322
DV3_Partner_Diversification,BGR,0.0005652066237929309,0.9637176459415426,-1.0538227028070429e-05
DV3_Partner_Diversification,BHR,0.0005227670853023456,0.9664404857326258,-5.2977765518655686e-05
DV3_Partner_Diversification,BHS,0.00013800141545467588,0.9911741828154971,-0.00043774343536632544
DV3_Partner_Diversification,BIH,0.0005756089638133163,0.9630525582143505,-1.3588700768503263e-07
DV3_Partner_Diversification,BLR,0.0005684826051518138,0.9635023803646948,-7.262245669187534e-06
DV3_Partner_Diversification,BLZ,0.0005213879794477986,0.9665081186162142,-5.435687137320274e-05
DV3_Partner_Diversification,BMU,0.0030211364830847643,0.8072951056366628,0.002445391632263763
DV3_Partner_Diversification,BOL,0.0005428429981150587,0.9651576153937315,-3.290185270594264e-05
DV3_Partner_Diversification,BRA,0.0007979154632675347,0.9489697282754637,0.00022217061244653342
DV3_Partner_Diversification,BRN,0.0005614417873336878,0.9639732981540062,-1.4303063487313512e-05
DV3_Partner_Diversification,BTN,0.00021675978372342987,0.9859805595525879,-0.00035898506709757146
DV3_Partner_Diversification,BWA,0.0007957112046845182,0.9490971092395505,0.00021996635386351687
DV3_Partner_Diversification,CAF,0.0005231843479297559,0.9664582895417119,-5.256050289124546e-05
DV3_Partner_Diversification,CAN,-9.854812674344685e-05,0.9937516948403521,-0.0006742929775644482
DV3_Partner_Diversification,CHE,0.0005542175903877518,0.9644251545189173,-2.1527260433249536e-05
DV3_Partner_Diversification,CHL,0.0005694304636696616,0.9634563801009185,-6.314387151339735e-06
