dv,dropped_country,coef_z_eci_pe,pvalue_z_eci_pe,delta_vs_full
DV2_Export_Recovery,ABW,-0.07747313873292706,0.31369911469513345,0.02561372368204154
DV2_Export_Recovery,AFG,-0.1030731487043312,0.18278093917446503,1.371371063740856e-05
DV2_Export_Recovery,AGO,-0.11075703188086404,0.14549594832518833,-0.007670169465895438
DV2_Export_Recovery,ALB,-0.10294606215764497,0.18347242083517312,0.0001408002573236311
DV2_Export_Recovery,ARE,-0.10303428667187618,0.18380626461627447,5.257574309242008e-05
DV2_Export_Recovery,ARG,-0.10271655345412334,0.1848587048096506,0.0003703089608452642
DV2_Export_Recovery,ARM,-0.10330819100183507,0.18183485813110378,-0.00022132858686646495
DV2_Export_Recovery,ASM,-0.1022249234349152,0.1875025546965492,0.0008619389800534061
DV2_Export_Recovery,ATG,-0.09979680477681169,0.20098602337708626,0.003290057638156915
DV2_Export_Recovery,AUS,-0.10356535285565452,0.18267223833752722,-0.0004784904406859164
DV2_Export_Recovery,AUT,-0.10284435245823721,0.1837472116440103,0.00024250995673139042
DV2_Export_Recovery,AZE,-0.10317840866296965,0.1821280435028032,-9.154624800104816e-05
DV2_Export_Recovery,BEL,-0.10297563328727834,0.18377545286970887,0.0001112291276902655
DV2_Export_Recovery,BEN,-0.10226415863845806,0.18847732275025697,0.0008227037765105444
DV2_Export_Recovery,BFA,-0.1028653258474747,0.1833828871292894,0.00022153656749390738
DV2_Export_Recovery,BGD,-0.10594243246448057,0.16904201824200493,-0.0028555700495119657
DV2_Export_Recovery,BGR,-0.10287916900881071,0.18387902660664135,0.0002076934061578939
DV2_Export_Recovery,BHR,-0.10289584381708522,0.1834869656077358,0.00019101859788338282
DV2_Export_Recovery,BHS,-0.0966713898951885,0.21916370335166258,0.006415472519780099
DV2_Export_Recovery,BIH,-0.1029651675831316,0.1834430641465501,0.00012169483183700758
DV2_Export_Recovery,BLR,-0.10313723671602289,0.18271384903673105,-5.037430105428453e-05
DV2_Export_Recovery,BLZ,-0.10306744318269018,0.18192183876447154,1.9419232278425347e-05
