country_iso3_code,n_obs,flagged_obs,max_cooks,max_abs_dffits,max_leverage,flag_rate
TCD,10,8,0.023325415882799846,2.174194961928387,0.12770412448683793,0.8
BTN,10,7,0.01275866318198602,1.599826961961114,0.11181154830789364,0.7
TLS,7,6,0.06882451760840848,3.752365636351333,0.2133158756175286,0.8571428571428571
PLW,10,6,0.03127355771381161,2.521868929983671,0.13021720136948517,0.6
SLE,10,6,0.028048813453109642,2.390917975574034,0.11071592529348599,0.6
FSM,10,6,0.01090791558138074,1.4773516233304473,0.12090235695630544,0.6
MLI,10,6,0.007745548751552651,1.2432349100580022,0.11498638041216269,0.6
VUT,10,5,0.009360262447661753,1.367667017270809,0.11618330930178468,0.5
SSD,4,4,0.06213022782666155,3.543345565262519,0.2782248542663319,1.0
CYM,4,4,0.017750020329969907,1.8804097536615072,0.256284483136688,1.0
BMU,10,4,0.008855629026514305,1.3297868284961596,0.11395647605185012,0.4
DJI,9,3,0.04575342977380436,3.06910789435054,0.14656210014412085,0.3333333333333333
SDN,10,3,0.019017367092805108,1.9597228004403615,0.12147867591543501,0.3
NRU,9,3,0.018922174639511354,1.9524851348379049,0.13848677727202127,0.3333333333333333
NPL,10,3,0.012930125620251436,1.6104738210269667,0.11095925574502803,0.3
GNB,10,3,0.007240420396958205,1.2015223290058346,0.1163945501158315,0.3
MAC,10,3,0.004776215537273321,0.9741194854518133,0.16729799673517662,0.3
COG,10,3,0.004757936884958696,0.972536269745556,0.12749630430826986,0.3
KIR,10,3,0.004706296764984258,0.9672388003152862,0.11776022298595304,0.3
AGO,10,3,0.002950343216609281,0.7650822927387373,0.12869366344342476,0.3
ABW,10,3,0.0026674222921891,0.7274505901059932,0.1184140166464466,0.3
PYF,3,3,0.0021709572158705743,0.6555948764572498,0.33847503276011,1.0
VEN,3,3,0.00044728876612704343,0.29751524530653334,0.34161717810317627,1.0
NER,10,2,0.007328027861753593,1.2088958116554733,0.11148719219925161,0.2
BFA,10,2,0.006975821778823402,1.1792475101906479,0.11134745591097993,0.2
GIN,10,2,0.006904374906745365,1.1721626342522848,0.137212274219517,0.2
BLZ,10,2,0.0034655988241360596,0.8296540186001498,0.11137548178971667,0.2
AFG,2,2,8.164415086413835e-05,0.12710293754111152,0.5054665361260654,1.0
BWA,10,1,0.016873634431587656,1.8432927791412974,0.11169493226975882,0.1
