dv,country_iso3_code,year,abs_dffits,cooks_d,leverage,is_high_dffits,is_high_cooks,is_high_leverage,is_any_flag
DV1_GVC_Linkage_Change,AGO,2013,0.04689135862866563,2.368312723012079e-05,0.2833796324256898,False,False,True,True
DV1_GVC_Linkage_Change,AGO,2014,0.7663813265544818,0.0063121990869958325,0.3102458347857858,True,True,True,True
DV1_GVC_Linkage_Change,AGO,2015,1.871129395835937,0.03697044765021458,0.22980349629404928,True,True,False,True
DV1_GVC_Linkage_Change,AGO,2016,1.5053336479155355,0.024031764381630922,0.19829079415496745,True,True,False,True
DV1_GVC_Linkage_Change,AGO,2017,0.229392491224936,0.0005664921150543333,0.14935095284705213,False,False,False,False
DV1_GVC_Linkage_Change,AGO,2018,0.4575185924212019,0.0022507314982122403,0.17101593043114233,False,False,False,False
DV1_GVC_Linkage_Change,AGO,2019,0.8338711376585148,0.0074492633509819755,0.17994910901556732,True,True,False,True
DV1_GVC_Linkage_Change,AGO,2020,0.7540695391204084,0.00609808783677118,0.18225893164660156,True,True,False,True
DV1_GVC_Linkage_Change,AGO,2021,0.33465930440518776,0.0012054113968046796,0.2018656747486963,False,False,False,False
DV1_GVC_Linkage_Change,ARE,2013,2.1072688221324176,0.046139374811871005,0.1713949393709982,True,True,False,True
DV1_GVC_Linkage_Change,ARE,2014,2.0008345732733748,0.04146592468066338,0.14621138288612903,True,True,False,True
DV1_GVC_Linkage_Change,ARE,2015,0.3478963972960301,0.0013019317795588247,0.13606325937219862,False,False,False,False
DV1_GVC_Linkage_Change,ARE,2016,0.2551567540725835,0.0007007728920112367,0.14078225679149714,False,False,False,False
DV1_GVC_Linkage_Change,ARE,2017,0.5421804467972381,0.003155706886200932,0.1305433971513139,False,False,False,False
DV1_GVC_Linkage_Change,ARE,2018,0.10692797453181466,0.00012313531785211514,0.12827358794321186,False,False,False,False
DV1_GVC_Linkage_Change,ARE,2019,0.07954094957328467,6.814075601943646e-05,0.12733981221140395,False,False,False,False
DV1_GVC_Linkage_Change,ARE,2020,0.3347029453572796,0.0012053756609408173,0.1544786610618242,False,False,False,False
DV1_GVC_Linkage_Change,ARE,2021,0.05298932103009062,3.0242789166761872e-05,0.14365765088084612,False,False,False,False
