country_iso3_code,n_obs,flagged_obs,max_cooks,max_abs_dffits,max_leverage,flag_rate
BRN,9,6,0.10835536838921396,3.3549497886537534,0.17233415096806204,0.6666666666666666
COD,9,6,0.07565826773319348,2.6851370238138688,0.3175569317514597,0.6666666666666666
AGO,9,6,0.03697044765021458,1.871129395835937,0.3102458347857858,0.6666666666666666
NOR,9,4,0.03255120430315892,1.769113581265435,0.130378804380374,0.4444444444444444
KAZ,9,3,0.010091010715151694,0.9717356841098829,0.16934489622612656,0.3333333333333333
ISL,9,2,0.05787794143279871,2.3875633464703387,0.13782884302201456,0.2222222222222222
ARE,9,2,0.046139374811871005,2.1072688221324176,0.1713949393709982,0.2222222222222222
PER,9,2,0.042862371916432426,2.0335628728511854,0.15730656484009653,0.2222222222222222
LAO,4,2,0.02434425483039593,1.511059423684652,0.2756488895025809,0.5
ZAF,9,2,0.0076729917162422475,0.8473987454661903,0.13769308997066682,0.2222222222222222
CMR,9,1,0.01924500937523218,1.3504826440788684,0.15159335478923858,0.1111111111111111
RUS,9,1,0.012803898533821936,1.0975994339512083,0.1408450735988988,0.1111111111111111
GRC,9,1,0.012634878905690382,1.089818478424762,0.13952686279384166,0.1111111111111111
CIV,9,1,0.009685309451761558,0.9531369653996301,0.14379042813525883,0.1111111111111111
COL,9,1,0.007717981460489624,0.8500754381048946,0.13787108272586363,0.1111111111111111
CHL,9,1,0.0074311668856912256,0.8339331650256798,0.17793436046182248,0.1111111111111111
DNK,9,0,0.0057070677030271345,0.7301299137087592,0.1296222343548096,0.0
EGY,9,0,0.005358144609575659,0.7072860650637112,0.13228181683011708,0.0
HRV,9,0,0.005335958641755185,0.7058606480067886,0.13155519951187689,0.0
SAU,9,0,0.004756504475228227,0.6652908292245675,0.24815510347615027,0.0
HKG,9,0,0.004637386906010539,0.65732680102607,0.19843835533415646,0.0
KHM,9,0,0.0036965497317434266,0.5867873991748701,0.15362524106118397,0.0
AUS,9,0,0.0034307164821834567,0.5652415309777629,0.14989326528011127,0.0
CYP,9,0,0.0030941935978539524,0.5367445348277496,0.1489477930211609,0.0
JPN,9,0,0.0030586839464183126,0.5335375047428278,0.16806994597175612,0.0
FIN,9,0,0.0029901693606752904,0.5277579012618439,0.12881984003160107,0.0
UKR,9,0,0.0028613700600331185,0.5161435232393498,0.14536517003404148,0.0
KOR,9,0,0.002758039395278494,0.5067272797806688,0.16746319537631238,0.0
SEN,9,0,0.0026228173426557236,0.49416431188633764,0.13202113197124657,0.0
SGP,9,0,0.002333968769646607,0.4659742048833068,0.15353906397583328,0.0
BRA,9,0,0.002242786883127966,0.45687212521789294,0.1489547067440234,0.0
TUN,9,0,0.0022118231881453603,0.45370458776850514,0.13351084640669764,0.0
IDN,9,0,0.0022110859540967515,0.4536220285730379,0.13152129350106406,0.0
ARG,9,0,0.0022093071058266055,0.45337211775053804,0.15431192526914178,0.0
LUX,9,0,0.0021432058312016024,0.44645311094798545,0.16528610343010458,0.0
IRL,9,0,0.001888227992465684,0.41903879419964835,0.1880739272910039,0.0
