dv,country_iso3_code,year,abs_dffits,cooks_d,leverage,is_high_dffits,is_high_cooks,is_high_leverage,is_any_flag
DV3_Partner_Diversification,ABW,2012,0.2507778627109752,0.00031772672387583026,0.11087697564694232,False,False,False,False
DV3_Partner_Diversification,ABW,2013,0.7055637202830718,0.0025091703154855732,0.1083359358771285,True,True,False,True
DV3_Partner_Diversification,ABW,2014,0.41983022767495265,0.0008899320276062054,0.10889408057311459,False,False,False,False
DV3_Partner_Diversification,ABW,2015,0.3584754388921804,0.0006489886689570216,0.10828458309297585,False,False,False,False
DV3_Partner_Diversification,ABW,2016,0.029337476392145588,4.349725597547255e-06,0.10734643900941095,False,False,False,False
DV3_Partner_Diversification,ABW,2017,0.50740457778442,0.0012993404214272565,0.10777352045164133,False,False,False,False
DV3_Partner_Diversification,ABW,2018,0.34571558310003464,0.0006036351363790445,0.10736500157085078,False,False,False,False
DV3_Partner_Diversification,ABW,2019,0.027708062773549515,3.879976442121469e-06,0.1184140166464466,False,False,False,False
DV3_Partner_Diversification,ABW,2020,0.7274505901059932,0.0026674222921891,0.11680050283504495,True,True,False,True
DV3_Partner_Diversification,ABW,2021,0.7243070379886458,0.002644317112527745,0.11442219543223062,True,True,False,True
DV3_Partner_Diversification,AFG,2020,0.12710293754066526,8.1644150863565e-05,0.5054665361260654,False,False,True,True
DV3_Partner_Diversification,AFG,2021,0.12710293754111152,8.164415086413835e-05,0.5054665361260643,False,False,True,True
DV3_Partner_Diversification,AGO,2012,0.5344858909430711,0.0014417003796744548,0.11620894772173535,False,False,False,False
DV3_Partner_Diversification,AGO,2013,0.7650822927387373,0.002950343216609281,0.12486960777988668,True,True,False,True
DV3_Partner_Diversification,AGO,2014,0.7140420229226987,0.0025709156756468596,0.12869366344342476,True,True,False,True
DV3_Partner_Diversification,AGO,2015,0.5076371587053629,0.0013008013995680454,0.12440343256135429,False,False,False,False
DV3_Partner_Diversification,AGO,2016,0.20326196783244213,0.00020875776069942064,0.11750968547465543,False,False,False,False
DV3_Partner_Diversification,AGO,2017,0.2478324298613376,0.000310308524981815,0.10999902476752876,False,False,False,False
DV3_Partner_Diversification,AGO,2018,0.2747993466730334,0.00038148682468222626,0.11175005332055635,False,False,False,False
DV3_Partner_Diversification,AGO,2019,0.6568121648696047,0.0021756259924887965,0.11768337591535348,False,False,False,False
DV3_Partner_Diversification,AGO,2020,0.3392090014583198,0.0005811731787153694,0.1164582608510987,False,False,False,False
DV3_Partner_Diversification,AGO,2021,0.7067288987934064,0.002518226411135597,0.12086711259551802,True,True,False,True
DV3_Partner_Diversification,ALB,2012,0.0785467410146235,3.117888004894653e-05,0.10962629820992256,False,False,False,False
DV3_Partner_Diversification,ALB,2013,0.24259797789685653,0.00029734143992539284,0.10839856010704439,False,False,False,False
DV3_Partner_Diversification,ALB,2014,0.03926866653915584,7.793042144001789e-06,0.10655988681976575,False,False,False,False
DV3_Partner_Diversification,ALB,2015,0.09176000618392498,4.255055937816358e-05,0.1067807466537722,False,False,False,False
DV3_Partner_Diversification,ALB,2016,0.13955888266711552,9.842080175954085e-05,0.10628756369368096,False,False,False,False
DV3_Partner_Diversification,ALB,2017,0.23732806844244453,0.00028456577937784657,0.10657375728690752,False,False,False,False
DV3_Partner_Diversification,ALB,2018,0.1920506596862724,0.00018636402642374184,0.10635176095460262,False,False,False,False
DV3_Partner_Diversification,ALB,2019,0.027530668599075336,3.8304525825938575e-06,0.10611899278244047,False,False,False,False
DV3_Partner_Diversification,ALB,2020,0.10007990229032093,5.061609579460038e-05,0.1079151895365304,False,False,False,False
DV3_Partner_Diversification,ALB,2021,0.15056333070732092,0.00011455237712042656,0.10873562366899907,False,False,False,False
DV3_Partner_Diversification,ARE,2012,0.018839001744367742,1.7936320525800923e-06,0.11168482418971372,False,False,False,False
DV3_Partner_Diversification,ARE,2013,0.028923040810799494,4.227702162528374e-06,0.11097577379418933,False,False,False,False
DV3_Partner_Diversification,ARE,2014,0.043075688328634086,9.377314696457978e-06,0.10803984248413032,False,False,False,False
DV3_Partner_Diversification,ARE,2015,0.03468803017774866,6.080997298322416e-06,0.10693467425252551,False,False,False,False
DV3_Partner_Diversification,ARE,2016,0.05302415034454827,1.4208859849378544e-05,0.10795694612610957,False,False,False,False
DV3_Partner_Diversification,ARE,2017,0.05350095918646601,1.4465542356634488e-05,0.10667285163390867,False,False,False,False
DV3_Partner_Diversification,ARE,2018,0.026559479932622598,3.564969619810269e-06,0.10616815178931198,False,False,False,False
DV3_Partner_Diversification,ARE,2019,0.0020646217802378574,2.1542662778754718e-08,0.10635415594727113,False,False,False,False
DV3_Partner_Diversification,ARE,2020,0.126174069325143,8.044943032685817e-05,0.11248087753114364,False,False,False,False
DV3_Partner_Diversification,ARE,2021,0.08163878570638167,3.36818637126327e-05,0.10970369191615564,False,False,False,False
DV3_Partner_Diversification,ARG,2012,0.15731492083915313,0.00012505541044449306,0.11186787396542287,False,False,False,False
DV3_Partner_Diversification,ARG,2013,0.11193021899711073,6.331182609820984e-05,0.11173614372197534,False,False,False,False
DV3_Partner_Diversification,ARG,2014,0.07560174523297396,2.888478843546971e-05,0.11214756120398586,False,False,False,False
DV3_Partner_Diversification,ARG,2015,0.01747511486535606,1.5433263581030164e-06,0.11168032821024926,False,False,False,False
DV3_Partner_Diversification,ARG,2016,0.005935896225788694,1.780700583090529e-07,0.10746852861099475,False,False,False,False
DV3_Partner_Diversification,ARG,2017,0.01035256998669464,5.41644695685506e-07,0.1123591862160293,False,False,False,False
DV3_Partner_Diversification,ARG,2018,0.011280161607957648,6.430559108003544e-07,0.10958966400456949,False,False,False,False
DV3_Partner_Diversification,ARG,2019,0.0423523009021376,9.065008319446484e-06,0.10813955843693468,False,False,False,False
DV3_Partner_Diversification,ARG,2020,0.16442629946803786,0.00013661587213495386,0.11367827526763412,False,False,False,False
DV3_Partner_Diversification,ARG,2021,0.15050993242200028,0.00011447145833564141,0.11094729075997738,False,False,False,False
DV3_Partner_Diversification,ARM,2012,0.0003327381580079472,5.595302878945177e-10,0.11180713191701694,False,False,False,False
DV3_Partner_Diversification,ARM,2013,0.08923694899493145,4.024286719125217e-05,0.10677902540765659,False,False,False,False
DV3_Partner_Diversification,ARM,2014,0.07180986306978913,2.6060002594395484e-05,0.10763718605150291,False,False,False,False
DV3_Partner_Diversification,ARM,2015,0.17018608553630132,0.00014635169859135585,0.10678828858221072,False,False,False,False
DV3_Partner_Diversification,ARM,2016,0.15190859319336097,0.00011660812106570192,0.10762889015623278,False,False,False,False
DV3_Partner_Diversification,ARM,2017,0.040562463869964066,8.315017298807497e-06,0.10732647153774706,False,False,False,False
DV3_Partner_Diversification,ARM,2018,0.1132749786600819,6.484196439014138e-05,0.10755929648648796,False,False,False,False
DV3_Partner_Diversification,ARM,2019,0.05433849640110855,1.4921990838794847e-05,0.10896376077153114,False,False,False,False
DV3_Partner_Diversification,ARM,2020,0.028727164520878954,4.170632964047219e-06,0.10787093424234757,False,False,False,False
DV3_Partner_Diversification,ARM,2021,0.24843231117064693,0.0003118102244627671,0.10825624692065387,False,False,False,False
DV3_Partner_Diversification,ASM,2012,0.39887087298923946,0.0008033861208184421,0.11171392555057312,False,False,False,False
DV3_Partner_Diversification,ASM,2013,0.3750344837768708,0.0007102895985953733,0.10920386837193309,False,False,False,False
DV3_Partner_Diversification,ASM,2014,0.14360295325415165,0.00010420679593079954,0.10648075563510828,False,False,False,False
DV3_Partner_Diversification,ASM,2015,0.20285462474514035,0.00020791685546732314,0.10592778694069355,False,False,False,False
DV3_Partner_Diversification,ASM,2016,0.5475319579693241,0.0015126826282699781,0.10971620991721784,False,False,False,False
DV3_Partner_Diversification,ASM,2017,0.402210760303958,0.0008168503616986927,0.10689263220584289,False,False,False,False
DV3_Partner_Diversification,ASM,2018,0.6336380207747562,0.0020246424339976283,0.10669561172061394,False,False,False,False
DV3_Partner_Diversification,ASM,2019,0.053943448239927645,1.4705811532036723e-05,0.10828228479452855,False,False,False,False
DV3_Partner_Diversification,ASM,2020,0.050286110427720944,1.2779341396281173e-05,0.10676063702111147,False,False,False,False
DV3_Partner_Diversification,ASM,2021,0.10883643446892802,5.986045577353278e-05,0.1107590028506273,False,False,False,False
DV3_Partner_Diversification,ATG,2014,0.5873406472041615,0.0017408502987554034,0.13306612714344637,False,False,False,False
DV3_Partner_Diversification,ATG,2015,0.2529414856376836,0.0003232521522956515,0.13418366362624798,False,False,False,False
DV3_Partner_Diversification,ATG,2016,0.587087817259933,0.0017393541389983367,0.13306954309260483,False,False,False,False
DV3_Partner_Diversification,ATG,2017,0.09204011959499594,4.2811171121612554e-05,0.13329603256603406,False,False,False,False
DV3_Partner_Diversification,ATG,2018,0.35893392058313245,0.0006507408617305124,0.13244924344523953,False,False,False,False
DV3_Partner_Diversification,ATG,2019,0.3237770871461308,0.000529569535704484,0.13679126680072465,False,False,False,False
DV3_Partner_Diversification,ATG,2020,0.12144841106815608,7.45376817470907e-05,0.13780292610120484,False,False,False,False
DV3_Partner_Diversification,ATG,2021,1.5390749098339707,0.011856839215506869,0.1382307529193564,True,True,False,True
