country_iso3_code,n_obs,flagged_obs,max_cooks,max_abs_dffits,max_leverage,flag_rate
DJI,9,9,0.4232661103128117,11.43604235966323,0.14656210014412085,1.0
NRU,9,8,0.11802693680894952,5.079626521671528,0.13848677727202127,0.8888888888888888
YEM,7,7,0.021489122338165682,2.076809565460312,0.17158609479303066,1.0
FSM,10,5,0.006568793993798784,1.1439025775165876,0.12090235695630544,0.5
ABW,10,4,0.050621288044559946,3.251318446475887,0.1184140166464466,0.4
MAC,10,4,0.012692774088374346,1.5912902120182106,0.16729799673517662,0.4
SSD,4,4,0.012564226366419677,1.580066503310173,0.2782248542663319,1.0
CYM,4,4,0.0024244167079141717,0.6929341730341837,0.256284483136688,1.0
GUM,10,3,0.03502141318604026,2.682720898818988,0.11022200690088892,0.3
NER,10,3,0.010527601644195144,1.4514713927969387,0.11148719219925161,0.3
PYF,3,3,0.00046034626242095025,0.3018272382317308,0.33847503276011,1.0
VEN,3,3,0.0002029454503872125,0.20039717637718568,0.34161717810317627,1.0
SLE,10,2,0.00810745822652878,1.2720530868702384,0.11071592529348599,0.2
ASM,10,2,0.004205659835514226,0.9142151765488349,0.11171392555057312,0.2
TLS,7,2,0.004029283272745076,0.8938950185762848,0.2133158756175286,0.2857142857142857
ATG,8,2,0.0034614007874113886,0.8288015796846077,0.1382307529193564,0.25
CRI,10,2,0.0033441637550030053,0.8149327997214612,0.11056894890762102,0.2
AFG,2,2,0.0026495923138473926,0.7241909601362523,0.5054665361260654,1.0
SDN,10,1,0.009789402205907585,1.3990631085763692,0.12147867591543501,0.1
GIN,10,1,0.008710834174182412,1.3175885745257565,0.137212274219517,0.1
MLI,10,1,0.00809946688914121,1.2710880572887588,0.11498638041216269,0.1
SYC,10,1,0.00799570361170035,1.2632092759061053,0.11487938498866447,0.1
BHS,10,1,0.00484076671180335,0.981242997245198,0.11440805499760402,0.1
VUT,10,1,0.0030478561913615675,0.77782938534475,0.11618330930178468,0.1
IRN,10,1,0.0027397997551839117,0.737335912901878,0.11552700329575948,0.1
PAN,10,0,0.0022856907065891374,0.6732639457809382,0.1234683167105286,0.0
BMU,10,0,0.0022575658880391466,0.6691360943817406,0.11395647605185012,0.0
COD,10,0,0.0020731386413274894,0.6409820557505508,0.1458909373056842,0.0
LBY,10,0,0.0017350577204075165,0.5862125397699596,0.19026421973536034,0.0
BFA,10,0,0.0016379311025022227,0.5697929777738969,0.11134745591097993,0.0
MLT,10,0,0.0016087939124610896,0.5646796934762497,0.11430357740543688,0.0
RWA,10,0,0.0015573275044923208,0.5555726569527113,0.11058380201092322,0.0
DZA,10,0,0.0015396521302262164,0.5524085785381087,0.10829365613000945,0.0
MHL,10,0,0.001380557694268607,0.5230023476298157,0.12088365828474149,0.0
NPL,10,0,0.0013599816837215899,0.5191190078056738,0.11095925574502803,0.0
ZMB,10,0,0.0010859665522968888,0.4637649637069422,0.13292081655960059,0.0
