dv,country_iso3_code,year,abs_dffits,cooks_d,leverage,is_high_dffits,is_high_cooks,is_high_leverage,is_any_flag
DV2_Export_Recovery,ABW,2012,3.251318446475887,0.050621288044559946,0.11087697564694232,True,True,False,True
DV2_Export_Recovery,ABW,2013,0.3920599901564565,0.0007761840376115548,0.1083359358771285,False,False,False,False
DV2_Export_Recovery,ABW,2014,0.3839108754218455,0.0007442814858374757,0.10889408057311459,False,False,False,False
DV2_Export_Recovery,ABW,2015,0.04600573870965926,1.0696395613730281e-05,0.10828458309297585,False,False,False,False
DV2_Export_Recovery,ABW,2016,0.37079594874809735,0.0006943271471218428,0.10734643900941095,False,False,False,False
DV2_Export_Recovery,ABW,2017,0.42809032958426085,0.000925249930621091,0.10777352045164133,False,False,False,False
DV2_Export_Recovery,ABW,2018,0.6861924226525411,0.002373565135344283,0.10736500157085078,True,True,False,True
DV2_Export_Recovery,ABW,2019,0.9435943793598515,0.00448035856637946,0.1184140166464466,True,True,False,True
DV2_Export_Recovery,ABW,2020,0.5494212486352119,0.0015232889022183487,0.11680050283504495,False,False,False,False
DV2_Export_Recovery,ABW,2021,0.9776865405203743,0.004807553596182185,0.11442219543223062,True,True,False,True
DV2_Export_Recovery,AFG,2020,0.7241909601362523,0.0026495923138473926,0.5054665361260654,True,True,True,True
DV2_Export_Recovery,AFG,2021,0.7241909601356886,0.002649592313843267,0.5054665361260643,True,True,True,True
DV2_Export_Recovery,AGO,2012,0.3574562341720047,0.0006453399763898372,0.11620894772173535,False,False,False,False
DV2_Export_Recovery,AGO,2013,0.3722028293794607,0.0006996847349247099,0.12486960777988668,False,False,False,False
DV2_Export_Recovery,AGO,2014,0.14373242600918892,0.00010439704876624767,0.12869366344342476,False,False,False,False
DV2_Export_Recovery,AGO,2015,0.12440573880465974,7.82110856946528e-05,0.12440343256135429,False,False,False,False
DV2_Export_Recovery,AGO,2016,0.027518152439672535,3.826972270684745e-06,0.11750968547465543,False,False,False,False
DV2_Export_Recovery,AGO,2017,0.06808815674318985,2.3428846054275212e-05,0.10999902476752876,False,False,False,False
DV2_Export_Recovery,AGO,2018,0.11311170171867412,6.465537128483164e-05,0.11175005332055635,False,False,False,False
DV2_Export_Recovery,AGO,2019,0.1932578679931528,0.00018871800130807872,0.11768337591535348,False,False,False,False
DV2_Export_Recovery,AGO,2020,0.29122032619327654,0.00042842940541779225,0.1164582608510987,False,False,False,False
