dv,model,term,coef,se,pvalue,coef_fmt,n_obs,n_countries
DV2_Export_Recovery,Model4_PSM_DiD,z_trade_open,0.38926172528703457,0.12068360524956469,0.0012576464306078186,0.389*** (0.121),1261,118
DV2_Export_Recovery,Model4_PSM_DiD,z_wgi,0.17195682432809128,0.2529596040695552,0.496643910714226,0.172 (0.253),1261,118
DV2_Export_Recovery,Model4_PSM_DiD,z_intensity,-2.0184919334434577,0.5239600907266755,0.00011697661992638831,-2.018*** (0.524),1261,118
DV3_Partner_Diversification,Model1_Baseline,z_eci,0.06547621678108541,0.021989044748568626,0.0029044430221833372,0.065*** (0.022),2529,230
DV3_Partner_Diversification,Model1_Baseline,pe,0.006558260574857331,0.013687432094549859,0.6318356901930791,0.007 (0.014),2529,230
DV3_Partner_Diversification,Model1_Baseline,z_eci:pe,-0.004422409496259607,0.012965181016998627,0.7330290995090096,-0.004 (0.013),2529,230
DV3_Partner_Diversification,Model2_Controls,z_eci,0.033360088977381776,0.021409547462220794,0.11918881012381934,0.033 (0.021),1924,180
DV3_Partner_Diversification,Model2_Controls,pe,-0.005710972773694674,0.010823065888445739,0.5977306054407812,-0.006 (0.011),1924,180
DV3_Partner_Diversification,Model2_Controls,z_eci:pe,0.0013772129167645602,0.011809399933116783,0.9071611414183451,0.001 (0.012),1924,180
DV3_Partner_Diversification,Model2_Controls,z_log_gdp_pc,0.0014848524897334188,0.042388742896442545,0.9720562925658343,0.001 (0.042),1924,180
DV3_Partner_Diversification,Model2_Controls,z_trade_open,-0.02027467183203993,0.011985209420336023,0.09071444119440003,-0.020* (0.012),1924,180
DV3_Partner_Diversification,Model2_Controls,z_wgi,0.015580316119045194,0.0254744773896167,0.5407991714016167,0.016 (0.025),1924,180
DV3_Partner_Diversification,Model3_Full_DiD,z_eci,0.03336008897738097,0.021415748634678818,0.11929577241995125,0.033 (0.021),1924,180
DV3_Partner_Diversification,Model3_Full_DiD,pe,-0.005710972773694445,0.010826200737429268,0.5978366765482074,-0.006 (0.011),1924,180
DV3_Partner_Diversification,Model3_Full_DiD,z_eci:pe,0.001377212916764639,0.011812820469012759,0.9071879023647206,0.001 (0.012),1924,180
DV3_Partner_Diversification,Model3_Full_DiD,z_log_gdp_pc,0.0014848524897320692,0.0424010205919634,0.9720643806751178,0.001 (0.042),1924,180
DV3_Partner_Diversification,Model3_Full_DiD,z_trade_open,-0.02027467183203894,0.011988680878604408,0.09080793212648043,-0.020* (0.012),1924,180
DV3_Partner_Diversification,Model3_Full_DiD,z_wgi,0.0155803161190445,0.025481855949478986,0.5409163771421925,0.016 (0.025),1924,180
DV3_Partner_Diversification,Model3_Full_DiD,z_intensity,-0.029501719378734206,0.018762866335602552,0.11587031125010891,-0.030 (0.019),1924,180
DV3_Partner_Diversification,Model4_PSM_DiD,z_eci,0.04595329372449798,0.026643515444202535,0.0845732772495291,0.046* (0.027),1261,118
DV3_Partner_Diversification,Model4_PSM_DiD,pe,-0.003357576017182507,0.012507646858818774,0.7883592200039704,-0.003 (0.013),1261,118
DV3_Partner_Diversification,Model4_PSM_DiD,z_eci:pe,0.0006490617933602724,0.011860299537878684,0.9563570885131751,0.001 (0.012),1261,118
DV3_Partner_Diversification,Model4_PSM_DiD,z_log_gdp_pc,-0.0030558859276760115,0.052968412633700224,0.9539934809312973,-0.003 (0.053),1261,118
DV3_Partner_Diversification,Model4_PSM_DiD,z_trade_open,-0.02615334815479632,0.016714884615020915,0.11765932876573687,-0.026 (0.017),1261,118
DV3_Partner_Diversification,Model4_PSM_DiD,z_wgi,0.021916271879795078,0.033879374427438304,0.5177023099953239,0.022 (0.034),1261,118
DV3_Partner_Diversification,Model4_PSM_DiD,z_intensity,-0.060921233107414964,0.03666617233010318,0.09661094663156038,-0.061* (0.037),1261,118
