variable,n,mean,sd,min,max
dv1_gvc_linkage_change,800,0.17071874999999997,1.678508765138996,-9.172000000000004,11.576999999999998
dv2_export_recovery,2529,1.5253659691618153,10.692263758375029,0.0008609349845457,415.1237853504892
dv3_partner_diversification,2529,0.8026755643255161,0.17331572404738116,0.0,0.9701349082297046
eci,2529,0.00354527481217873,0.9980296276313176,-4.414,2.1
coi,2529,-0.1880023724792408,0.888604166634819,-2.421,3.068
post_exposed,2533,0.12159494670351362,0.32681740412603993,0.0,1.0
log_gdp_pc,2233,8.757207956792763,1.4210060579872017,5.538917993469318,11.61614235190341
trade_openness,1971,91.22547473015338,57.7616282260479,2.69883443585856,442.620019127299
institutional_quality_wgi,2209,-0.02496152796665102,0.9113701509500869,-2.1616975166666634,1.924366433333333
natural_resource_rents,2017,5.691157306130593,9.059927495147612,0.0,79.4309494383903
us_china_trade_intensity,2533,0.22507920139989787,0.1683276376524478,0.0,0.8464649054996305
