specification,DV1_coef,DV1_coef_fmt,DV2_coef,DV2_coef_fmt,DV3_coef,DV3_coef_fmt,N
Main specification (Model3 equivalent),0.5825730492714843,0.583,-0.11237271766981244,-0.112,0.001377212916764639,0.001,754
Placebo: Pre-period shock (2014-2015),0.10400644066109432,0.104,0.035185538557095,0.035,0.006783033330983325,0.007,754
Alternative exposure threshold (top quartile),-0.3559011370290967,-0.356,0.003369292220770752,0.003,-0.01258177666365037,-0.013,754
Exclude resource-rich countries (>20% rents),0.09542726572707506,0.095,-0.07582118536808655,-0.076,-0.001744192244326879,-0.002,648
Exclude OECD countries,1.1415249722043153,1.142,-0.06499155103690679,-0.065,-0.0015361601726027194,-0.002,374
Lagged ECI (t-1),0.5813807601850878,0.581,-0.17039435378968135,-0.170***,0.006972294301152449,0.007,754
Cluster SE by region,0.5825730492714843,0.583,-0.11237271766981244,-0.112,0.001377212916764639,0.001,754
Poisson pseudo-max. likelihood (PPML),0.06183422662392883,0.062,-0.0829469059020287,-0.083,0.002318462652319585,0.002,754
