year,observed_country_gpr_rows,observed_country_gpr_countries,all_panel_rows,observed_share
2012,44,44,229,0.19213973799126638
2013,44,44,230,0.19130434782608696
2014,44,44,230,0.19130434782608696
2015,44,44,230,0.19130434782608696
2016,44,44,231,0.19047619047619047
2017,44,44,230,0.19130434782608696
2018,44,44,230,0.19130434782608696
2019,44,44,230,0.19130434782608696
2020,44,44,231,0.19047619047619047
2021,44,44,231,0.19047619047619047
2022,44,44,231,0.19047619047619047
