income_group,reference_group,group_specific_eci_exposure_effect,se,pvalue_two_sided,n_obs,n_countries
HIC,HIC,-0.09458386171690572,0.11317559825720155,0.4042769918154797,2277,207
LIC,HIC,-0.1653835406304911,0.04742862652702277,0.0005969927242499927,2277,207
LMC,HIC,0.00010752832795041245,0.12137901450848287,0.9992940202638159,2277,207
UMC,HIC,-0.08124895582808306,0.060700203519426066,0.1821995906874986,2277,207
