country_iso3_code,eci_pre_raw,coi_pre_raw,baseline_log_gdp_pc,baseline_trade_open,baseline_wgi,baseline_rents,baseline_export_value,nexus_exposure_pre,z_eci_pre_raw,z_coi_pre_raw,z_baseline_log_gdp_pc,z_baseline_trade_open,z_baseline_wgi,z_baseline_rents,z_nexus_exposure_pre,exposed_top_tercile_pre,exposed_top_quartile_pre,exposure_tercile_threshold,exposure_quartile_threshold,us_export_market_dependence_pre,china_export_market_dependence_pre,china_import_dependence_pre,wb_income_id,wb_income_name,wb_region
ABW,0.8849999999999999,0.07100000000000001,10.234967730966828,138.6989615165197,1.1789619777777778,0.0028528641389486335,300604043.3333333,0.4475506686847455,0.9002486319663799,0.3022453255286476,1.0420957229105636,0.8852977023291011,1.3252997428131654,-0.6520764069067637,1.32423737721177,1,1,0.26917599908681505,0.317817685580497,0.09199032602445012,0.0005054242967162711,0.01557475757050082,HIC,High income,Latin America & Caribbean
AFG,-1.4253333333333333,-0.976,6.335177243409859,,-1.6036923222222172,0.5967695277875674,900148066.6666666,0.112989740455886,-1.4277008606724713,-0.8899463115449194,-1.7003429335172104,,-1.7449747223188266,-0.5737170864532848,-0.6608772802777427,0,0,0.26917599908681505,0.317817685580497,0.021970128661692664,0.007612739778248709,0.04478966690330599,LIC,Low income,"Middle East, North Africa, Afghanistan & Pakistan"
AGO,-0.6973333333333334,-1.2636666666666667,8.152636118267052,49.21976312416896,-1.093438694444443,20.047041688403834,29834914306.666668,0.4702183907848021,-0.6941499023802695,-1.2175048543002485,-0.42225645918497,-0.7105548417674729,-1.181980359667646,1.9924848782769438,1.4587361294448458,1,1,0.26917599908681505,0.317817685580497,0.07708148122938464,0.48756844988648834,0.177898443551778,LMC,Lower middle income,Sub-Saharan Africa
AIA,0.852,-0.2856666666666667,,,,,30083587.33333333,0.5144204805249987,0.8669970088569807,-0.10388172052952396,,,,,1.7210088840652162,1,1,0.26917599908681505,0.317817685580497,0.24826737140557856,0.0,0.0,,,
ALB,-0.42133333333333334,-0.25333333333333335,8.394492713674516,74.02709330172728,-0.04052983888888883,1.379795096702037,2136102937.3333333,0.10813723774581659,-0.4160454181925666,-0.06706459579340936,-0.25217632829748926,-0.2681185919196594,-0.02024094657433697,-0.4704073879159534,-0.6896695672499888,0,0,0.26917599908681505,0.317817685580497,0.04272962506251631,0.05507784398581162,0.10250623089478368,UMC,Upper middle income,Europe & Central Asia
AND,1.1079999999999999,0.8106666666666666,10.580573821265189,,1.4065832,0.0,89246982.33333333,0.0075082148144855,1.1249489941905022,1.1444844986156406,1.2851353182311949,,1.5764483049292086,-0.6524528039822401,-1.2867510897318546,0,0,0.26917599908681505,0.317817685580497,0.07295407069538265,0.000757609723450744,0.0009184934168692238,HIC,High income,Europe & Central Asia
ANS,,,,,,,0.0,0.0,,,,,,,-1.3313010237564857,0,0,0.26917599908681505,0.317817685580497,,,0.0,,,
ARE,0.6023333333333333,0.20099999999999998,10.702108371879172,165.052581460766,0.6700927722222222,13.393390324526434,155524867089.33334,0.1716374011784639,0.6154266481606165,0.4502729404470465,1.3706017171977105,1.35531187534135,0.7638328987609855,1.114625017930848,-0.3128918429339606,0,0,0.26917599908681505,0.317817685580497,0.022916014909349053,0.05437733805257692,0.1390187718562734,HIC,High income,"Middle East, North Africa, Afghanistan & Pakistan"
ARG,0.24033333333333332,0.15766666666666665,9.509515885305017,24.623238358512335,-0.02950993888888867,1.0223408745494844,55873179628.333336,0.22967574386156,0.2506664188999338,0.4009304021409136,0.5319382692556226,-1.149231398201209,-0.008082009843206341,-0.5175686676972402,0.031478210576295414,0,0,0.26917599908681505,0.317817685580497,0.06756796139832381,0.07583372395081024,0.1571685471155271,UMC,Upper middle income,Latin America & Caribbean
ARM,-0.07866666666666666,-0.5996666666666667,8.193666760945547,78.3208061139831,-0.23577803888888868,0.409221689363609,1592818319.3333333,0.1037333032830861,-0.07076593782425905,-0.461425344255503,-0.3934025961534538,-0.191540653827131,-0.2356703525278486,-0.5984615027509136,-0.7158002780262611,0,0,0.26917599908681505,0.317817685580497,0.031458089933145444,0.13294420841613827,0.048946041069710046,UMC,Upper middle income,Europe & Central Asia
ASM,0.6133333333333333,-0.21733333333333335,9.428336598384506,161.003488493204,0.9773983666666667,0.0,33166329.0,0.0,0.6265105225304163,-0.02607233320062195,0.4748507884634128,1.283096707686029,1.1029021534704142,-0.6524528039822401,-1.3313010237564857,0,0,0.26917599908681505,0.317817685580497,0.0,0.0,0.0,HIC,High income,East Asia & Pacific
ATA,1.1843333333333332,-0.313,,,,,7706049.333333333,0.0,1.2018643648172946,-0.13500547546108477,,,,,-1.3313010237564857,0,0,0.26917599908681505,0.317817685580497,0.0,0.0,0.0,,,
ATF,0.37399999999999994,-0.7146666666666667,,,,,7622367.0,0.140026886326793,0.385352286242046,-0.5923728497602406,,,,,-0.5004525861894216,0,0,0.26917599908681505,0.317817685580497,0.007778102930535744,0.0,0.0,,,
ATG,0.293,-0.5219999999999999,9.715018405533511,129.92059711298333,0.5091916222222223,0.0,261637801.66666663,0.38489995213551725,0.30373466588261144,-0.37298833329143377,0.6764532264734929,0.728736452138153,0.5863007158177528,-0.6524528039822401,0.9524998393513472,1,1,0.26917599908681505,0.317817685580497,0.044875920728893716,8.085364252574045e-05,0.07301874809803043,HIC,High income,Latin America & Caribbean
AUS,0.21566666666666667,-0.015999999999999997,10.96006447760224,41.44785547883217,1.5634773333333332,4.128896793514507,180519922309.0,0.36654466641764766,0.22581167031311014,0.20318069092941135,1.5520034612795268,-0.8491660364488348,1.7495592987390929,-0.10770037192426354,0.8435888947474826,1,1,0.26917599908681505,0.317817685580497,0.04617213501734599,0.3469550827026202,0.21085375010010168,HIC,High income,East Asia & Pacific
