metric,value
panel_rows,2533.0
countries,231.0
countries_with_frozen_eci,230.0
log_export_recovery_rows,2529.0
ratio_export_recovery_max,415.1237853504892
gpr_observed_rows,484.0
gpr_observed_countries,44.0
