period,test,estimate,se,tvalue,p_cluster,ci_low_95,ci_high_95,n_obs,n_countries,qvalue_bh_temporal_exploration
tariff_implementation_2019,H6a_beta_low_lt_0,-0.035059132211227396,0.061109421862769846,-0.5737107493826044,0.28336328460163934,-0.15546774884682374,0.08534948442436893,2529,230,0.6462752872952144
tariff_implementation_2019,H6b_beta_high_minus_low_gt_0,0.015150865941815136,0.10590559299495324,0.14306011149512307,0.4431842529248447,-0.1935231086726262,0.22382484055625648,2529,230,0.6462752872952144
covid_2020_2021,H6a_beta_low_lt_0,0.016573633984713176,0.1079541914270167,0.15352469196082966,0.560940139633362,-0.1961368524429236,0.22928412041234994,2529,230,0.6462752872952144
covid_2020_2021,H6b_beta_high_minus_low_gt_0,-0.0438392731029648,0.16476175567645185,-0.26607675381326623,0.6047902484779863,-0.36848209364877954,0.2808035474428499,2529,230,0.6462752872952144
later_shock_2022,H6a_beta_low_lt_0,0.044993104674233064,0.14092616579327658,0.3192672164247559,0.6250925319012657,-0.23268461103109445,0.3226708203795606,2529,230,0.6462752872952144
later_shock_2022,H6b_beta_high_minus_low_gt_0,-0.07012454822222669,0.18662475904607181,-0.37575158076916865,0.6462752872952144,-0.4378457339528238,0.2975966375083704,2529,230,0.6462752872952144
